"importId";"company.code";"journal.code";"reference";"date";"technicalOriginSelect";"period.code";"statusSelect";"currency.code";"companyCurrency.code";"partner.importId"
1000;"AXE";"VTE";"EP_VTE91000";"2019-01-05";4;"01/AF2019_AXE";3;"EUR";"EUR";1012
1001;"AXE";"ACH";"EP_ACH91001";"2019-01-09";4;"01/AF2019_AXE";3;"EUR";"EUR";20
1002;"AXE";"VTE";"EP_VTE91002";"2019-01-14";4;"01/AF2019_AXE";3;"EUR";"EUR";1033
1003;"AXE";"ACH";"EP_ACH91003";"2019-01-18";4;"01/AF2019_AXE";3;"EUR";"EUR";44
1004;"AXE";"VTE";"EP_VTE91004";"2019-01-22";4;"01/AF2019_AXE";3;"EUR";"EUR";70
1005;"AXE";"ACH";"EP_ACH91005";"2019-01-25";4;"01/AF2019_AXE";3;"EUR";"EUR";77
1006;"AXE";"VTE";"EP_VTE91006";"2019-02-05";4;"02/AF2019_AXE";3;"EUR";"EUR";136
1007;"AXE";"ACH";"EP_ACH91007";"2019-02-09";4;"02/AF2019_AXE";3;"EUR";"EUR";88
1008;"AXE";"VTE";"EP_VTE91008";"2019-02-14";4;"02/AF2019_AXE";3;"EUR";"EUR";1012
1009;"AXE";"ACH";"EP_ACH91009";"2019-02-18";4;"02/AF2019_AXE";3;"EUR";"EUR";20
1010;"AXE";"VTE";"EP_VTE91010";"2019-02-22";4;"02/AF2019_AXE";3;"EUR";"EUR";1033
1011;"AXE";"ACH";"EP_ACH91011";"2019-02-25";4;"02/AF2019_AXE";3;"EUR";"EUR";44
1012;"AXE";"VTE";"EP_VTE91012";"2019-03-05";4;"03/AF2019_AXE";3;"EUR";"EUR";70
1013;"AXE";"ACH";"EP_ACH91013";"2019-03-09";4;"03/AF2019_AXE";3;"EUR";"EUR";77
1014;"AXE";"VTE";"EP_VTE91014";"2019-03-14";4;"03/AF2019_AXE";3;"EUR";"EUR";136
1015;"AXE";"ACH";"EP_ACH91015";"2019-03-18";4;"03/AF2019_AXE";3;"EUR";"EUR";88
1016;"AXE";"VTE";"EP_VTE91016";"2019-03-22";4;"03/AF2019_AXE";3;"EUR";"EUR";1012
1017;"AXE";"ACH";"EP_ACH91017";"2019-03-25";4;"03/AF2019_AXE";3;"EUR";"EUR";20
1018;"AXE";"VTE";"EP_VTE91018";"2019-04-05";4;"04/AF2019_AXE";3;"EUR";"EUR";1033
1019;"AXE";"ACH";"EP_ACH91019";"2019-04-09";4;"04/AF2019_AXE";3;"EUR";"EUR";44
1020;"AXE";"VTE";"EP_VTE91020";"2019-04-14";4;"04/AF2019_AXE";3;"EUR";"EUR";70
1021;"AXE";"ACH";"EP_ACH91021";"2019-04-18";4;"04/AF2019_AXE";3;"EUR";"EUR";77
1022;"AXE";"VTE";"EP_VTE91022";"2019-04-22";4;"04/AF2019_AXE";3;"EUR";"EUR";136
1023;"AXE";"ACH";"EP_ACH91023";"2019-04-25";4;"04/AF2019_AXE";3;"EUR";"EUR";88
1024;"AXE";"VTE";"EP_VTE91024";"2019-05-05";4;"05/AF2019_AXE";3;"EUR";"EUR";1012
1025;"AXE";"ACH";"EP_ACH91025";"2019-05-09";4;"05/AF2019_AXE";3;"EUR";"EUR";20
1026;"AXE";"VTE";"EP_VTE91026";"2019-05-14";4;"05/AF2019_AXE";3;"EUR";"EUR";1033
1027;"AXE";"ACH";"EP_ACH91027";"2019-05-18";4;"05/AF2019_AXE";3;"EUR";"EUR";44
1028;"AXE";"VTE";"EP_VTE91028";"2019-05-22";4;"05/AF2019_AXE";3;"EUR";"EUR";70
1029;"AXE";"ACH";"EP_ACH91029";"2019-05-25";4;"05/AF2019_AXE";3;"EUR";"EUR";77
1030;"AXE";"VTE";"EP_VTE91030";"2019-06-05";4;"06/AF2019_AXE";3;"EUR";"EUR";136
1031;"AXE";"ACH";"EP_ACH91031";"2019-06-09";4;"06/AF2019_AXE";3;"EUR";"EUR";88
1032;"AXE";"VTE";"EP_VTE91032";"2019-06-14";4;"06/AF2019_AXE";3;"EUR";"EUR";1012
1033;"AXE";"ACH";"EP_ACH91033";"2019-06-18";4;"06/AF2019_AXE";3;"EUR";"EUR";20
1034;"AXE";"VTE";"EP_VTE91034";"2019-06-22";4;"06/AF2019_AXE";3;"EUR";"EUR";1033
1035;"AXE";"ACH";"EP_ACH91035";"2019-06-25";4;"06/AF2019_AXE";3;"EUR";"EUR";44
1036;"AXE";"VTE";"EP_VTE91036";"2019-07-05";4;"07/AF2019_AXE";3;"EUR";"EUR";70
1037;"AXE";"ACH";"EP_ACH91037";"2019-07-09";4;"07/AF2019_AXE";3;"EUR";"EUR";77
1038;"AXE";"VTE";"EP_VTE91038";"2019-07-14";4;"07/AF2019_AXE";3;"EUR";"EUR";136
1039;"AXE";"ACH";"EP_ACH91039";"2019-07-18";4;"07/AF2019_AXE";3;"EUR";"EUR";88
1040;"AXE";"VTE";"EP_VTE91040";"2019-07-22";4;"07/AF2019_AXE";3;"EUR";"EUR";1012
1041;"AXE";"ACH";"EP_ACH91041";"2019-07-25";4;"07/AF2019_AXE";3;"EUR";"EUR";20
1042;"AXE";"VTE";"EP_VTE91042";"2019-08-05";4;"08/AF2019_AXE";3;"EUR";"EUR";1033
1043;"AXE";"ACH";"EP_ACH91043";"2019-08-09";4;"08/AF2019_AXE";3;"EUR";"EUR";44
1044;"AXE";"VTE";"EP_VTE91044";"2019-08-14";4;"08/AF2019_AXE";3;"EUR";"EUR";70
1045;"AXE";"ACH";"EP_ACH91045";"2019-08-18";4;"08/AF2019_AXE";3;"EUR";"EUR";77
1046;"AXE";"VTE";"EP_VTE91046";"2019-08-22";4;"08/AF2019_AXE";3;"EUR";"EUR";136
1047;"AXE";"ACH";"EP_ACH91047";"2019-08-25";4;"08/AF2019_AXE";3;"EUR";"EUR";88
1048;"AXE";"VTE";"EP_VTE91048";"2019-09-05";4;"09/AF2019_AXE";3;"EUR";"EUR";1012
1049;"AXE";"ACH";"EP_ACH91049";"2019-09-09";4;"09/AF2019_AXE";3;"EUR";"EUR";20
1050;"AXE";"VTE";"EP_VTE91050";"2019-09-14";4;"09/AF2019_AXE";3;"EUR";"EUR";1033
1051;"AXE";"ACH";"EP_ACH91051";"2019-09-18";4;"09/AF2019_AXE";3;"EUR";"EUR";44
1052;"AXE";"VTE";"EP_VTE91052";"2019-09-22";4;"09/AF2019_AXE";3;"EUR";"EUR";70
1053;"AXE";"ACH";"EP_ACH91053";"2019-09-25";4;"09/AF2019_AXE";3;"EUR";"EUR";77
1054;"AXE";"VTE";"EP_VTE91054";"2019-10-05";4;"10/AF2019_AXE";3;"EUR";"EUR";136
1055;"AXE";"ACH";"EP_ACH91055";"2019-10-09";4;"10/AF2019_AXE";3;"EUR";"EUR";88
1056;"AXE";"VTE";"EP_VTE91056";"2019-10-14";4;"10/AF2019_AXE";3;"EUR";"EUR";1012
1057;"AXE";"ACH";"EP_ACH91057";"2019-10-18";4;"10/AF2019_AXE";3;"EUR";"EUR";20
1058;"AXE";"VTE";"EP_VTE91058";"2019-10-22";4;"10/AF2019_AXE";3;"EUR";"EUR";1033
1059;"AXE";"ACH";"EP_ACH91059";"2019-10-25";4;"10/AF2019_AXE";3;"EUR";"EUR";44
1060;"AXE";"VTE";"EP_VTE91060";"2019-11-05";4;"11/AF2019_AXE";3;"EUR";"EUR";70
1061;"AXE";"ACH";"EP_ACH91061";"2019-11-09";4;"11/AF2019_AXE";3;"EUR";"EUR";77
1062;"AXE";"VTE";"EP_VTE91062";"2019-11-14";4;"11/AF2019_AXE";3;"EUR";"EUR";136
1063;"AXE";"ACH";"EP_ACH91063";"2019-11-18";4;"11/AF2019_AXE";3;"EUR";"EUR";88
1064;"AXE";"VTE";"EP_VTE91064";"2019-11-22";4;"11/AF2019_AXE";3;"EUR";"EUR";1012
1065;"AXE";"ACH";"EP_ACH91065";"2019-11-25";4;"11/AF2019_AXE";3;"EUR";"EUR";20
1066;"AXE";"VTE";"EP_VTE91066";"2019-12-05";4;"12/AF2019_AXE";3;"EUR";"EUR";1033
1067;"AXE";"ACH";"EP_ACH91067";"2019-12-09";4;"12/AF2019_AXE";3;"EUR";"EUR";44
1068;"AXE";"VTE";"EP_VTE91068";"2019-12-14";4;"12/AF2019_AXE";3;"EUR";"EUR";70
1069;"AXE";"ACH";"EP_ACH91069";"2019-12-18";4;"12/AF2019_AXE";3;"EUR";"EUR";77
1070;"AXE";"VTE";"EP_VTE91070";"2019-12-22";4;"12/AF2019_AXE";3;"EUR";"EUR";136
1071;"AXE";"ACH";"EP_ACH91071";"2019-12-25";4;"12/AF2019_AXE";3;"EUR";"EUR";88
