"importId";"company.code";"paymentMode.code";"journal.code";"reference";"date";"technicalOriginSelect";"period.code";"statusSelect";"currency.code";"companyCurrency.code";"partner.importId"
5000;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195000";"2019-01-05";4;"01/AF2019_AXE";3;"EUR";"EUR";1012
5001;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195001";"2019-01-09";4;"01/AF2019_AXE";3;"EUR";"EUR";20
5002;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195002";"2019-01-14";4;"01/AF2019_AXE";3;"EUR";"EUR";1033
5003;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195003";"2019-01-18";4;"01/AF2019_AXE";3;"EUR";"EUR";44
5004;"AXE";"ENC_CHQ";"ENC_CHQ";"EP_CHQ195004";"2019-01-22";4;"01/AF2019_AXE";3;"EUR";"EUR";70
5005;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195005";"2019-01-25";4;"01/AF2019_AXE";3;"EUR";"EUR";77
5006;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195006";"2019-02-05";4;"02/AF2019_AXE";3;"EUR";"EUR";136
5007;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195007";"2019-02-09";4;"02/AF2019_AXE";3;"EUR";"EUR";88
5008;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195008";"2019-02-14";4;"02/AF2019_AXE";3;"EUR";"EUR";1012
5009;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195009";"2019-02-18";4;"02/AF2019_AXE";3;"EUR";"EUR";20
5010;"AXE";"ENC_CHQ";"ENC_CHQ";"EP_CHQ195010";"2019-02-22";4;"02/AF2019_AXE";3;"EUR";"EUR";1033
5011;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195011";"2019-02-25";4;"02/AF2019_AXE";3;"EUR";"EUR";44
5012;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195012";"2019-03-05";4;"03/AF2019_AXE";3;"EUR";"EUR";70
5013;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195013";"2019-03-09";4;"03/AF2019_AXE";3;"EUR";"EUR";77
5014;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195014";"2019-03-14";4;"03/AF2019_AXE";3;"EUR";"EUR";136
5015;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195015";"2019-03-18";4;"03/AF2019_AXE";3;"EUR";"EUR";88
5016;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195016";"2019-03-22";4;"03/AF2019_AXE";3;"EUR";"EUR";1012
5017;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195017";"2019-03-25";4;"03/AF2019_AXE";3;"EUR";"EUR";20
5018;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195018";"2019-04-05";4;"04/AF2019_AXE";3;"EUR";"EUR";1033
5019;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195019";"2019-04-09";4;"04/AF2019_AXE";3;"EUR";"EUR";44
5020;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195020";"2019-04-14";4;"04/AF2019_AXE";3;"EUR";"EUR";70
5021;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195021";"2019-04-18";4;"04/AF2019_AXE";3;"EUR";"EUR";77
5022;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195022";"2019-04-22";4;"04/AF2019_AXE";3;"EUR";"EUR";136
5023;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195023";"2019-04-25";4;"04/AF2019_AXE";3;"EUR";"EUR";88
5024;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195024";"2019-05-05";4;"05/AF2019_AXE";3;"EUR";"EUR";1012
5025;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195025";"2019-05-09";4;"05/AF2019_AXE";3;"EUR";"EUR";20
5026;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195026";"2019-05-14";4;"05/AF2019_AXE";3;"EUR";"EUR";1033
5027;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195027";"2019-05-18";4;"05/AF2019_AXE";3;"EUR";"EUR";44
5028;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195028";"2019-05-22";4;"05/AF2019_AXE";3;"EUR";"EUR";70
5029;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195029";"2019-05-25";4;"05/AF2019_AXE";3;"EUR";"EUR";77
5030;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195030";"2019-06-05";4;"06/AF2019_AXE";3;"EUR";"EUR";136
5031;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195031";"2019-06-09";4;"06/AF2019_AXE";3;"EUR";"EUR";88
5032;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195032";"2019-06-14";4;"06/AF2019_AXE";3;"EUR";"EUR";1012
5033;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195033";"2019-06-18";4;"06/AF2019_AXE";3;"EUR";"EUR";20
5034;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195034";"2019-06-22";4;"06/AF2019_AXE";3;"EUR";"EUR";1033
5035;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195035";"2019-06-25";4;"06/AF2019_AXE";3;"EUR";"EUR";44
5036;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195036";"2019-07-05";4;"07/AF2019_AXE";3;"EUR";"EUR";70
5037;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195037";"2019-07-09";4;"07/AF2019_AXE";3;"EUR";"EUR";77
5038;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195038";"2019-07-14";4;"07/AF2019_AXE";3;"EUR";"EUR";136
5039;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195039";"2019-07-18";4;"07/AF2019_AXE";3;"EUR";"EUR";88
5040;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195040";"2019-07-22";4;"07/AF2019_AXE";3;"EUR";"EUR";1012
5041;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195041";"2019-07-25";4;"07/AF2019_AXE";3;"EUR";"EUR";20
5042;"AXE";"ENC_CHQ";"ENC_CHQ";"EP_CHQ195042";"2019-08-05";4;"08/AF2019_AXE";3;"EUR";"EUR";1033
5043;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195043";"2019-08-09";4;"08/AF2019_AXE";3;"EUR";"EUR";44
5044;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195044";"2019-08-14";4;"08/AF2019_AXE";3;"EUR";"EUR";70
5045;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195045";"2019-08-18";4;"08/AF2019_AXE";3;"EUR";"EUR";77
5046;"AXE";"ENC_CHQ";"ENC_CHQ";"EP_CHQ195046";"2019-08-22";4;"08/AF2019_AXE";3;"EUR";"EUR";136
5047;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195047";"2019-08-25";4;"08/AF2019_AXE";3;"EUR";"EUR";88
5048;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195048";"2019-09-05";4;"09/AF2019_AXE";3;"EUR";"EUR";1012
5049;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195049";"2019-09-09";4;"09/AF2019_AXE";3;"EUR";"EUR";20
5050;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195050";"2019-09-14";4;"09/AF2019_AXE";3;"EUR";"EUR";1033
5051;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195051";"2019-09-18";4;"09/AF2019_AXE";3;"EUR";"EUR";44
5052;"AXE";"ENC_CHQ";"ENC_CHQ";"EP_CHQ195052";"2019-09-22";4;"09/AF2019_AXE";3;"EUR";"EUR";70
5053;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195053";"2019-09-25";4;"09/AF2019_AXE";3;"EUR";"EUR";77
5054;"AXE";"ENC_CHQ";"ENC_CHQ";"EP_CHQ195054";"2019-10-05";4;"10/AF2019_AXE";3;"EUR";"EUR";136
5055;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195055";"2019-10-09";4;"10/AF2019_AXE";3;"EUR";"EUR";88
5056;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195056";"2019-10-14";4;"10/AF2019_AXE";3;"EUR";"EUR";1012
5057;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195057";"2019-10-18";4;"10/AF2019_AXE";3;"EUR";"EUR";20
5058;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195058";"2019-10-22";4;"10/AF2019_AXE";3;"EUR";"EUR";1033
5059;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195059";"2019-10-25";4;"10/AF2019_AXE";3;"EUR";"EUR";44
