"anonymizer_importId";"metaModel";"metaField";"useFakeData";"fakerApiField.name"
"9";"Lead";"name";"true";"name.lastName"
"9";"Lead";"firstName";"true";"name.firstName"
"9";"Lead";"primaryAddress";"true";"address.streetAddress"
"9";"Lead";"fixedPhone";"true";"phoneNumber.phoneNumber"
"9";"Lead";"mobilePhone";"true";"phoneNumber.cellPhone"
"9";"Lead";"primaryPostalCode";"true";"address.zipCode"
"9";"Address";"addressL2";"true";"address.streetAddress"
"9";"EmailAddress";"address";"true";"internet.emailAddress"
"9";"Partner";"mobilePhone";"true";"phoneNumber.cellPhone"
"9";"Partner";"fixedPhone";"true";"phoneNumber.phoneNumber"
"9";"Partner";"firstName";"true";"name.firstName"
"9";"Partner";"name";"true";"name.lastName"
