importId;parent.importId;product.importId;qty;unit.importId;priority
1;1;200;2;1;10
2;1;210;1;1;10
3;1;220;1;1;10
4;1;230;4;1;10
5;1;240;1;1;10
6;1;250;1;1;10
7;1;300;1;1;10
8;1;301;1;1;10
9;20;200;2;1;10
10;20;210;1;1;10
11;20;220;1;1;10
12;20;231;2;1;10
13;20;240;1;1;10
14;20;250;1;1;10
15;20;300;1;1;10
16;20;301;1;1;10
17;40;201;3;1;10
18;40;211;1;1;10
19;40;220;1;1;10
20;40;231;4;1;10
21;40;241;1;1;10
22;40;250;1;1;10
23;40;300;1;1;10
24;40;301;1;1;10
25;60;110;1;1;10
26;60;130;1;1;10
27;60;120;1;1;10
28;60;304;2;1;10
29;80;131;1;1;10
30;80;121;1;1;10
31;80;304;3;1;10
32;84;201;3;1;10
33;84;211;1;1;10
34;84;220;1;1;10
35;84;231;4;1;10
36;84;241;1;1;10
37;84;250;1;1;10
38;84;300;1;1;10
39;84;301;1;1;10
