"importId";"typeSelect";"product_importId";"tax_code";"productFamily_importId";"paymentMode.code";"saleAccount_code";"saleTaxVatSystem1Account_code";"saleTaxVatSystem2Account_code";"saleTax_code";"purchaseAccount_code";"purchaseTaxVatSystem1Account_code";"purchaseTaxVatSystem2Account_code";"purchaseTax_code";"cashAccount_code";"journal_code";"sequence_importId";"bankDetails_importId";"purchFixedAssetsAccount_code";"purchFixedAssetsTaxVatSystem1Account_code";"purchFixedAssetsTaxVatSystem2Account_code";"fixedAssetCategory_importId";"interbankCodeLine_importId";"allowedFinDiscountTaxVatSystem1Account_code";"allowedFinDiscountTaxVatSystem2Account_code";"obtainedFinDiscountTaxVatSystem1Account_code";"obtainedFinDiscountTaxVatSystem2Account_code";"purchVatRegulationAccount_code";"saleVatRegulationAccount_code";"globalAccountingCashAccount_code";"chequeDepositJournal_code";"financialDiscountAccount_code";"vatPendingAccount_code"
"GBR_COA200";2;;"UK_SRT";;;;;;;;2202;2202;;;;;;2202;2202;2202;;;;;;;2550;;;;;2550
"GBR_COA205";2;;"UK_SRS_20";;;2201;2201;2201;;;;;;;;;;2202;2202;2202;;;;;;;;2560;;;;2560
"GBR_COA210";2;;"UK_ZRP_EC";;;;;;;;2204;2204;;;;;;;;;;;;;;;2550;;;;;2550
"GBR_COA215";2;;"UK_STC_EC";;;2203;2203;2203;;;;;;;;;;2204;2204;2204;;;;;;;;2560;;;;2560
"GBR_COA220";2;;"UK_LRP";;;;;;;;2202;2202;;;;;;2202;2202;2202;;;;;;;2550;;;;;2550
"GBR_COA225";2;;"UK_LRS";;;;;;;;2201;2201;;;;;;2202;2202;2202;;;;;;;2550;;;;;2550
"GBR_COA230";2;;"UK_EP";;;;;;;;2204;2204;;;;;;2204;2204;2204;;;;;;;2550;;;;;2550
"GBR_COA235";2;;"UK_ZRP";;;;;;;;2204;2204;;;;;;2204;2204;2204;;;;;;;2550;;;;;2550
"GBR_COA240";2;;"UK_ES";;;2203;2203;2203;;;;;;;;;;2204;2204;2204;;;;;;;;2560;;;;2560
"GBR_COA245";2;;"UK_ZRS";;;2203;2203;2203;;;;;;;;;;2204;2204;2204;;;;;;;;2560;;;;2560
"GBR_COA250";2;;"UK_IM_ZRP";;;;;;;;2204;2204;;;;;;;;;;;;;;;2550;;;;;2550
"GBR_COA255";2;;"UK_EX_ZRS";;;2203;2203;2203;;;;;;;;;;;;;;;;;;;;2560;;;;2560
"GBR_COA300";3;;;;"INC_WT";;;;;;;;;1240;"BNK";6100;;;;;;5;;;;;;;;;;
"GBR_COA305";3;;;;"INC_CHQ";;;;;;;;;1240;"BNK";6110;;;;;;2;;;;;;;1240;"BNK";;
"GBR_COA310";3;;;;"INC_CC";;;;;;;;;1240;"BNK";6120;;;;;;24;;;;;;;;;;
"GBR_COA315";3;;;;"INC_WEB";;;;;;;;;1240;"BNK";6130;;;;;;30;;;;;;;;;;
"GBR_COA320";3;;;;"INC_DBT";;;;;;;;;1240;"BNK";6140;;;;;;89;;;;;;;;;;
"GBR_COA325";3;;;;"INC_CSH";;;;;;;;;1201;"BNK";6150;;;;;;4;;;;;;;;;;
"GBR_COA330";3;;;;"INC_OTH";;;;;;;;;1240;"BNK";6160;;;;;;16;;;;;;;;;;
"GBR_COA335";3;;;;"OUT_WT";;;;;;;;;1240;"BNK";6200;;;;;;6;;;;;;;;;;
"GBR_COA340";3;;;;"OUT_CHQ";;;;;;;;;1240;"BNK";6210;;;;;;1;;;;;;;;;;
"GBR_COA345";3;;;;"OUT_CC";;;;;;;;;1240;"BNK";6220;;;;;;11;;;;;;;;;;
"GBR_COA350";3;;;;"OUT_DBT";;;;;;;;;1240;"BNK";6230;;;;;;95;;;;;;;;;;
"GBR_COA355";3;;;;"OUT_CSH";;;;;;;;;1201;"BNK";6240;;;;;;23;;;;;;;;;;
"GBR_COA360";3;;;;"OUT_OTH";;;;;;;;;1240;"BNK";6260;;;;;;86;;;;;;;;;;
