"importId";"fiscalPosition.importId";"fromTaxSet";"toTaxSet";"reverseCharge";"reverseChargeTaxSet"
"GBR_COAT1";"GBR_COA1";"UK_SRT";"UK_IM_ZRP";"FALSE";
"GBR_COAT2";"GBR_COA1";"UK_SRS_20";"UK_EX_ZRS";"FALSE";
"GBR_COAT3";"GBR_COA1";"UK_ZRP_EC";"UK_IM_ZRP";"FALSE";
"GBR_COAT4";"GBR_COA1";"UK_STC_EC";"UK_EX_ZRS";"FALSE";
"GBR_COAT5";"GBR_COA1";"UK_LRP";"UK_IM_ZRP";"FALSE";
"GBR_COAT6";"GBR_COA1";"UK_LRS";"UK_IM_ZRP";"FALSE";
"GBR_COAT7";"GBR_COA1";"UK_EP";"UK_IM_ZRP";"FALSE";
"GBR_COAT8";"GBR_COA1";"UK_ZRP";"UK_IM_ZRP";"FALSE";
"GBR_COAT9";"GBR_COA1";"UK_ES";"UK_EX_ZRS";"FALSE";
"GBR_COAT10";"GBR_COA1";"UK_ZRS";"UK_EX_ZRS";"FALSE";
