"importId";"tax_code";"startDate";"endDate";"value"
"GBR_COA1";"UK_SRT";"2023-01-01";;"20"
"GBR_COA2";"UK_SRS_20";"2023-01-01";;"20"
"GBR_COA3";"UK_ZRP_EC";"2023-01-01";;
"GBR_COA4";"UK_STC_EC";"2023-01-01";;
"GBR_COA5";"UK_LRP";"2023-01-01";;"5"
"GBR_COA6";"UK_LRS";"2023-01-01";;"5"
"GBR_COA7";"UK_EP";"2023-01-01";;
"GBR_COA8";"UK_ZRP";"2023-01-01";;
"GBR_COA9";"UK_ES";"2023-01-01";;
"GBR_COA10";"UK_ZRS";"2023-01-01";;
"GBR_COA11";"UK_IM_ZRP";"2023-01-01";;
"GBR_COA12";"UK_EX_ZRS";"2023-01-01";;
