"name";"object";"canRead";"canWrite";"canCreate";"canRemove";"canExport";"condition";"conditionParams"
perm.mobile.User.rw;com.axelor.auth.db.User;true;true;false;false;true;;
perm.mobile.Language.r;com.axelor.apps.base.db.Language;true;false;false;false;true;;
perm.mobile.TraceBack.c;com.axelor.apps.base.db.TraceBack;false;false;true;false;true;;
perm.mobile.Company.r;com.axelor.apps.base.db.Company;true;false;false;false;true;;
perm.mobile.MetaModule.r;com.axelor.meta.db.MetaModule;true;false;false;false;true;;
perm.mobile.App.r;com.axelor.studio.db.App;true;false;false;false;true;;
perm.mobile.AppBase.r;com.axelor.studio.db.AppBase;true;false;false;false;true;;
perm.mobile.AppMobileSettings.r;com.axelor.studio.db.AppMobileSettings;true;false;false;false;true;;
perm.mobile.MobileSettings.r;com.axelor.apps.mobilesettings.db.*;true;false;false;false;true;;
perm.mobile.MetaFile.r;com.axelor.meta.db.MetaFile;true;false;false;false;true;;
perm.mobile.Mail.rwc;com.axelor.mail.db.*;true;true;true;false;true;;
perm.mobile.DMSFile.r;com.axelor.dms.db.DMSFile;true;false;false;false;true;;
perm.mobile.MetaJsonField.r;com.axelor.meta.db.MetaJsonField;true;false;false;false;true;;
perm.mobile.MetaTranslation.r;com.axelor.meta.db.MetaTranslation;true;false;false;false;true;;
