"importId";"typeSelect";"subject";"statusSelect";"startDateTimeNow";"endDateTimeNow";"duration";"eventCategory.importId";"prioritySelect";"relatedToSelect";"relatedToSelectId";"description";"user.importId";"team.importId";"clientPartner.importId";"contactPartner.importId";"lead.importId";"meetingType.importId";"location";"progressSelect";"responsibleUser.importId";"project.importId";"task.importId"
1;1;"Appel de 123 Services";2;"NOW[-5M09H00m]";"NOW[-5M09H30m]";1800;;;;;;9;1;88;89;;;;;;;
2;1;"Appeler APOLLO";2;"NOW[-4M09H00m]";"NOW[-4M09H45m]";2700;;;;;;11;2;20;21;;;;;;;
3;1;"Appeler BLUEBERRY TELECOM";2;"NOW[-3M09H15m]";"NOW[-3M09H45m]";1800;;;;;;12;2;44;45;;;;;;;
4;1;"Appeler BOURGEOIS INDUSTRIE";2;"NOW[-2M09H00m]";"NOW[-2M09H45m]";2700;;;;;;8;3;70;71;;;;;;;
5;1;"Appeler GERARD Solutions";2;"NOW[-1M09H00m]";"NOW[-1M10H00m]";3600;;;;;;11;2;77;78;;;;;;;
6;1;"Appeler 123 Services";2;"NOW[-21d09H00m]";"NOW[-21d09H50m]";3000;;;;;;9;1;88;90;;;;;;;
7;1;"Appeler BOURGEOIS INDUSTRIE";2;"NOW[-14d11H00m]";"NOW[-14d12H00m]";3600;;;;;;8;3;132;133;;;;;;;
8;1;"Appeler ESL Banking";2;"NOW[-7d11H00m]";"NOW[-7d11H30m]";1800;;;;;;8;3;136;137;;;;;;;
9;1;"Appeler 123 Services";1;"NOW[11H00m]";"NOW[11H45m]";2700;;;;;;9;1;88;89;;;;;;;
10;1;"Relancer 123 Services";1;"NOW[+1d09H00m]";"NOW[+1d09H30m]";1800;;;"com.axelor.apps.sale.db.SaleOrder";6;;9;1;88;89;;;;;;;
11;1;"Appel de ESL Banking";2;"NOW[09H00m]";"NOW[09H30m]";1800;;;"com.axelor.apps.sale.db.SaleOrder";9;;8;3;136;137;;;;;;;
12;1;"Relancer BOURGEOIS (Fact + Dev)";1;"NOW[+1d14H00m]";"NOW[+1d14H30m]";1800;;;"com.axelor.apps.sale.db.SaleOrder";8;;8;3;132;133;;;;;;;
13;1;"Appeler PORTER Services";1;"NOW[10H00m]";"NOW[10H30m]";1800;;;;;;13;3;;;21;;;;;;
