"name";"roles"
"budget-root-budget-management";"Admin"
"budget-root-budget-management-budgets";"Admin"
"budget-root-budget-management-budgets-sale";"Admin"
"budget-root-budget-management-budgets-purchase";"Admin"
"budget-root-budget-management-budgets-investment";"Admin"
"budget-root-budget-management-budgets-purchase-and-investment";"Admin"
"budget-root-budget-management-budget-detailed-view";"Admin"
"budget-root-budget-management-templates";"Admin"
"budget-root-budget-management-templates-global-budget";"Admin"
"budget-root-budget-management-templates-line";"Admin"
"budget-root-budget-management-account-model";"Admin"
"budget-root-budget-management-templates-import";"Admin"
