"id";"name";"description";"permissions"
101;role.mobile.base;Access to all objects of the mobile base module.;perm.mobile.User.rw|perm.mobile.Language.r|perm.mobile.Localization.r|perm.mobile.TraceBack.c|perm.mobile.Company.r|perm.mobile.MetaModule.r|perm.mobile.App.r|perm.mobile.AppBase.r|perm.mobile.AppMobileSettings.r|perm.mobile.MobileSettings.r|perm.mobile.MetaFile.r|perm.mobile.Mail.rwc|perm.mobile.DMSFile.r|perm.mobile.MetaJsonField.r|perm.mobile.MetaTranslation.r|perm.mobile.PrintingTemplate.r
102;role.mobile.stock;Access to all objects of the mobile stock module.;perm.mobile.stock.Product.rw|perm.mobile.stock.ProductVariant.r|perm.mobile.stock.ProductVariantAttr.r|perm.mobile.stock.ProductVariantValue.r|perm.mobile.stock.StockMove.rwc|perm.mobile.stock.StockMoveLine.rwc|perm.mobile.stock.Inventory.rw|perm.mobile.stock.InventoryLine.rw|perm.mobile.stock.Partner.r|perm.mobile.stock.StockCorrection.rwc|perm.mobile.stock.StockCorrectionReason.r|perm.mobile.stock.StockLocation.r|perm.mobile.stock.StockLocationLine.rw|perm.mobile.stock.SupplierCatalog.r|perm.mobile.stock.TrackingNumber.rc|perm.mobile.stock.Unit.r|perm.mobile.stock.AppStock.r|perm.mobile.stock.AppSupplychain.r|perm.mobile.stock.AlternativeBarcode.r|perm.mobile.stock.ProductCompany.r
103;role.mobile.manuf;Access to all objects of the mobile manufacturing module.;perm.mobile.manuf.ManufOrder.rw|perm.mobile.manuf.ProductionOrder.r|perm.mobile.manuf.OperationOrder.rw|perm.mobile.manuf.ProdProduct.rwc|perm.mobile.manuf.ObjectDescription.r|perm.mobile.manuf.WorkCenter.r|perm.mobile.manuf.Machine.r|perm.mobile.manuf.AppProduction.r
104;role.mobile.crm;Access to all objects of the mobile CRM module.;perm.mobile.crm.Catalog.rc|perm.mobile.crm.CatalogType.r|perm.mobile.crm.Partner.rw|perm.mobile.crm.PartnerStatus.r|perm.mobile.crm.EmailAddress.rwc|perm.mobile.crm.Event.rwc|perm.mobile.crm.Function.r|perm.mobile.crm.Lead.rwc|perm.mobile.crm.LeadStatus.r|perm.mobile.crm.Opportunity.rwc|perm.mobile.crm.OpportunityStatus.r|perm.mobile.crm.AppCrm.r|perm.mobile.crm.PartnerAddress.rwcd|perm.mobile.crm.Tour.r|perm.mobile.crm.TourLine.rw
105;role.mobile.helpdesk;Access to all objects of the mobile helpdesk module.;perm.mobile.helpdesk.Partner.r|perm.mobile.helpdesk.Project.r|perm.mobile.helpdesk.Ticket.rwc|perm.mobile.helpdesk.TicketStatus.r|perm.mobile.helpdesk.TicketType.r|perm.mobile.helpdesk.Timer.rw|perm.mobile.helpdesk.TimerHistory.rwc|perm.mobile.helpdesk.AppHelpdesk.r
106;role.mobile.hr;Access to all objects of the mobile HR module.;perm.mobile.hr.Currency.r|perm.mobile.hr.Employee.r|perm.mobile.hr.Expense.rwcde|perm.mobile.hr.ExpenseLine.rwcde|perm.mobile.hr.Product.r|perm.mobile.hr.KilometricAllowParam.r|perm.mobile.hr.Project.r|perm.mobile.hr.AppExpense.r|perm.mobile.hr.ManufOrder.r|perm.mobile.hr.OperationOrder.r|perm.mobile.hr.ProjectTask.r|perm.mobile.hr.TSTimer.rwcde|perm.mobile.hr.Timesheet.rwcde|perm.mobile.hr.TimesheetLine.rwcde|perm.mobile.hr.AppTimesheet.r|perm.mobile.hr.LeaveRequest.rwcd
107;role.mobile.quality;Access to all objects of the mobile quality module.;perm.mobile.quality.ControlEntry.rwc|perm.mobile.quality.AppQuality.r
108;role.mobile.intervention;Access to all objects of the mobile intervention module.;perm.mobile.intervention.Partner.rw|perm.mobile.intervention.Contract.r|perm.mobile.intervention.Equipment.rwcd|perm.mobile.intervention.EquipmentLine.r|perm.mobile.intervention.EquipmentFamily.r|perm.mobile.intervention.Picture.rwcd|perm.mobile.intervention.Intervention.rw|perm.mobile.intervention.InterventionNote.rwcd|perm.mobile.intervention.InterventionNoteType.r|perm.mobile.intervention.InterventionQuestion.rw|perm.mobile.intervention.InterventionRange.r
109;role.mobile.project;Access to all objects of the mobile project module.;perm.mobile.project.Project.r|perm.mobile.project.ProjectStatus.r|perm.mobile.project.ProjectPriority.r|perm.mobile.project.ProjectTask.rwc|perm.mobile.project.ProjectTaskLink.r|perm.mobile.project.ProjectTaskCategory.r|perm.mobile.project.TaskStatus.r|perm.mobile.project.ProjectVersion.r|perm.mobile.project.Tag.r|perm.mobile.project.Sprint.r|perm.mobile.project.TimesheetLine.r|perm.mobile.project.AppProject.r
110;role.mobile.sale;Access to all objects of the mobile sale module.;perm.mobile.sale.Cart.rw|perm.mobile.sale.CartLine.rwcd|perm.mobile.sale.Partner.r|perm.mobile.sale.Product.r|perm.mobile.sale.ProductCompany.r|perm.mobile.sale.ProductCategory.r|perm.mobile.sale.ProductVariantConfig.r|perm.mobile.sale.ProductVariant.r|perm.mobile.sale.ProductVariantAttr.r|perm.mobile.sale.ProductVariantValue.r|perm.mobile.sale.ComplementaryProduct.r|perm.mobile.sale.PriceList.r|perm.mobile.sale.PriceListLine.r|perm.mobile.sale.SaleOrder.rwc|perm.mobile.sale.SaleOrderLine.rc|perm.mobile.sale.StockMove.r|perm.mobile.sale.SaleConfig.r|perm.mobile.sale.AppSale.r
