"code";"wording";"supplementaryUnit";"parentCode"
"01";"CHAPITRE 1 - ANIMAUX VIVANTS";"";""
"02";"CHAPITRE 2 - VIANDES ET ABATS COMESTIBLES";"";""
"03";"CHAPITRE 3 - POISSONS ET CRUSTACÉS, MOLLUSQUES ET AUTRES INVERTÉBRÉS AQUATIQUES";"";""
"04";"CHAPITRE 4 - LAIT ET PRODUITS DE LA LAITERIE; ŒUFS D'OISEAUX; MIEL NATUREL; PRODUITS COMESTIBLES D'ORIGINE ANIMALE, NON DÉNOMMÉS NI COMPRIS AILLEURS";"";""
"05";"CHAPITRE 5 - AUTRES PRODUITS D'ORIGINE ANIMALE, NON DÉNOMMÉS NI COMPRIS AILLEURS";"";""
"06";"CHAPITRE 6 - PLANTES VIVANTES ET PRODUITS DE LA FLORICULTURE";"";""
"07";"CHAPITRE 7 - LÉGUMES, PLANTES, RACINES ET TUBERCULES ALIMENTAIRES";"";""
"08";"CHAPITRE 8 - FRUITS COMESTIBLES; ÉCORCES D'AGRUMES OU DE MELONS";"";""
"09";"CHAPITRE 9 - CAFÉ, THÉ, MATÉ ET ÉPICES";"";""
"10";"CHAPITRE 10 - CÉRÉALES";"";""
"11";"CHAPITRE 11 - PRODUITS DE LA MINOTERIE; MALT; AMIDONS ET FÉCULES; INULINE; GLUTEN DE FROMENT";"";""
"12";"CHAPITRE 12 - GRAINES ET FRUITS OLÉAGINEUX; GRAINES, SEMENCES ET FRUITS DIVERS; PLANTES INDUSTRIELLES OU MÉDICINALES; PAILLES ET FOURRAGES";"";""
"13";"CHAPITRE 13 - GOMMES, RÉSINES ET AUTRES SUCS ET EXTRAITS VÉGÉTAUX";"";""
"14";"CHAPITRE 14 - MATIÈRES À TRESSER ET AUTRES PRODUITS D'ORIGINE VÉGÉTALE, NON DÉNOMMÉS NI COMPRIS AILLEURS";"";""
"15";"CHAPITRE 15 - GRAISSES ET HUILES ANIMALES OU VÉGÉTALES; PRODUITS DE LEUR DISSOCIATION; GRAISSES ALIMENTAIRES ÉLABORÉES; CIRES D'ORIGINE ANIMALE OU VÉGÉTALE";"";""
"16";"CHAPITRE 16 - PRÉPARATIONS DE VIANDE, DE POISSONS OU DE CRUSTACÉS, DE MOLLUSQUES OU D'AUTRES INVERTÉBRÉS AQUATIQUES";"";""
"17";"CHAPITRE 17 - SUCRES ET SUCRERIES";"";""
"18";"CHAPITRE 18 - CACAO ET SES PRÉPARATIONS";"";""
"19";"CHAPITRE 19 - PRÉPARATIONS À BASE DE CÉRÉALES, DE FARINES, D'AMIDONS, DE FÉCULES OU DE LAIT; PÂTISSERIES";"";""
"20";"CHAPITRE 20 - PRÉPARATIONS DE LÉGUMES, DE FRUITS OU D'AUTRES PARTIES DE PLANTES";"";""
"21";"CHAPITRE 21 - PRÉPARATIONS ALIMENTAIRES DIVERSES";"";""
"22";"CHAPITRE 22 - BOISSONS, LIQUIDES ALCOOLIQUES ET VINAIGRES";"";""
"23";"CHAPITRE 23 - RÉSIDUS ET DÉCHETS DES INDUSTRIES ALIMENTAIRES; ALIMENTS PRÉPARÉS POUR ANIMAUX";"";""
"24";"CHAPITRE 24 - TABACS ET SUCCÉDANÉS DE TABAC FABRIQUÉS";"";""
