importId;code;name;nextNum;padding;prefixe;suffixe;toBeAdded;yearlyResetOk;company.importId;journal.importId
1;accountClearance;Overpayment clearance;1;10;ACCCLR_%Y_;;1;1;1;
2;chequeReject;Cheque reject;1;10;CHQREJ_%Y_;;1;1;1;
3;customerInvoice;Customer Invoice;1;7;INV_%Y;;1;1;1;
4;customerRefund;Customer Refund;1;7;REF_%Y;;1;1;1;
5;supplierInvoice;Supplier Invoice;1;7;SINV_%Y;;1;1;1;
6;supplierRefund;Supplier Refund;1;7;SREF_%Y;;1;1;1;
7;debit;Direct debit (invoice and installments);1;7;DDINV_%Y_;;1;1;1;8
8;debitReject;Direct debit reject;1;7;REJDD_%Y_;;1;1;1;8
9;doubtfulCustomer;Transfer in doubtful receivables;1;7;DBTREC_%Y_;;1;1;1;
10;irrecoverable;Transfer in irrecoverables;1;7;IRRECOV_%Y_;;1;1;1;
11;move;Sales move line;1;7;MVSAL_%Y_;;1;1;1;1
12;move;Refund move line;1;10;MVREF_%Y_;;1;1;1;2
13;move;Purchase move line;1;7;MVPUR_%Y_;;1;1;1;3
14;move;Purchase refund move line;1;10;MVSREF_%Y_;;1;1;1;4
15;move;Virtual move line;1;7;MVVIRT_%Y_;;1;1;1;8
16;move;Move line for payments received in Cash;1;7;MVCSHIN_%Y_;;1;1;1;5
17;move;Move line for payments executed by Cash;1;7;MVCSHOUT_%Y_;;1;1;1;15
18;move;Miscellaneous Operation Automatic;1;10;MVMISCAUTO_%Y_;;1;1;1;23
19;move;Miscellaneous Operation Manual;1;10;MVMISCMANU_%Y_;;1;1;1;24
20;move;Clearance Move Live;1;10;MVCLR_%Y_;;1;1;1;22
21;move;Irrecovrable Move Line;1;10;MVIRREC_%Y_;;1;1;1;28
22;moveLineExport;Accounting Export;1;10;ACCEXP_%Y_;;1;1;1;
23;moveLineReport;Accounting Report;1;10;ACCREPORT_%Y_;;1;1;1;
24;paymentSchedule;Installment N°;1;10;INSTAL_%Y_;;1;1;1;
25;paymentVoucher;N° for inbound payments;1;10;CSH_IN_%Y_;;1;1;1;5
26;paymentVoucher;N° for outbound payments;1;10;CSH_OUT_%Y_;;1;1;1;15
27;paymentVoucherReceiptNo;Voucher Receipt N°;1;10;RECPT_%Y_;;1;1;1;
28;purchaseInterface;Purchase interface;1;10;PURINT_%Y_;;1;1;1;
29;refundInterface;Refund interface;1;10;REFINT_%Y_;;1;1;1;
30;reimbursement;Reimbursement proposals;1;10;REIMB_%Y_;;1;1;1;
31;saleInterface;Sale interface;1;10;SALINT_%Y_;;1;1;1;
32;treasuryInterface;Cash flow interface;1;10;CSHFLWINT_%Y_;;1;1;1;
33;partner;Identifier for accounts and contacts;1;10;P;;1;0;1;
34;saleOrder;Sale Order / Customer Order;1;5;SO;;1;0;1;
35;purchaseOrder;RFQ/Quotes for Suppliers;1;5;PO;;1;0;1;
36;eventTicket;Ticket N°;1;4;TKT;;1;0;1;
37;intStockMove;Internal stock move N°;1;4;ISM;;1;0;1;
38;outStockMove;Delivery order N°;1;4;DO;;1;0;1;
39;inStockMove;Goods receipt order N°;1;4;RO;;1;0;1;
40;inventory;Inventory N°;1;4;INV%M%Y;;1;0;1;
41;productTrackingNumber;Tracking N°;1;5;TN;;1;0;1;
42;productionOrder;Production Order N°;1;5;PDO;;1;0;1;
43;manufOrder;Manufacturing Order N°;1;5;MO;;1;0;1;
