"importId";"parent.importId";"product.importId";"qty";"unit.importId";"billOfMaterial.importId";"priority"
1;1;200;2;1;;10
2;1;210;1;1;;20
3;1;220;1;1;;30
4;1;230;4;1;;40
5;1;240;1;1;;50
6;1;250;1;1;;60
7;1;300;1;1;;70
8;1;301;1;1;;80
9;20;200;2;1;;10
10;20;210;1;1;;20
11;20;220;1;1;;30
12;20;231;2;1;;40
13;20;240;1;1;;50
14;20;250;1;1;;60
15;20;300;1;1;;70
16;20;301;1;1;;80
17;40;201;3;1;;10
18;40;211;1;1;;20
19;40;220;1;1;;30
20;40;231;4;1;;40
21;40;241;1;1;;50
22;40;250;1;1;;60
23;40;300;1;1;;70
24;40;301;1;1;;80
25;60;110;1;1;;10
26;60;130;1;1;;20
27;60;120;1;1;;30
28;60;304;2;1;;40
29;80;131;1;1;;10
30;80;121;1;1;;20
31;80;304;3;1;;30
32;84;201;3;1;;10
33;84;211;1;1;;20
34;84;220;1;1;;30
35;84;231;4;1;;40
36;84;241;1;1;;50
37;84;250;1;1;;60
38;84;300;1;1;;70
39;84;301;1;1;;80
