"importId";"prodProcess.importId";"name";"name_EN";"priority";"workCenter.importId";"description";"minCapacityPerCycle";"maxCapacityPerCycle";"durationPerCycle"
1;1;"Assemblage CM – Proc. – Mém.";;10;10;;1;1;900
2;1;"Montage éléments sur Rack";;10;20;;1;1;600
4;1;"Branchement des connectiques";;30;30;;1;1;1200
5;1;"Contrôle qualité";;40;40;;;;900
6;1;"Nettoyage";;50;50;;;;1200
7;1;"Emballage";;60;60;;;;600
10;2;"Assemblage CM – Proc. – Mém.";;10;10;;1;1;900
11;2;"Montage éléments sur Rack";;20;20;;1;1;600
12;2;"Branchement des connectiques";;30;30;;1;1;1200
14;2;"Contrôle qualité";;40;40;;;;900
15;2;"Tests de performances";;50;70;;2;2;3600
16;2;"Nettoyage";;60;50;;;;1200
17;2;"Emballage";;70;60;;;;600
20;3;"Récupération des articles en stock";;10;80;;;;900
21;3;"Emballage";;20;60;;;;600
30;4;"Récupération des articles en stock";;10;80;;;;900
31;4;"Emballage";;20;60;;;;
