"importId";"company.code";"debitMoveLine";"creditMoveLine";"amount";"reconciliationDate";"reconcileSeq";"mustBeZeroBalanceOk"
100000;"AXE";"1000-1";"5000-1";8000;"2019-01-05";"RECON2001100000";"true"
100001;"AXE";"5001-1";"1001-1";4500;"2019-01-09";"RECON2001100001";"true"
100002;"AXE";"1002-1";"5002-1";12000;"2019-01-14";"RECON2001100002";"true"
100003;"AXE";"5003-1";"1003-1";9500;"2019-01-18";"RECON2001100003";"true"
100004;"AXE";"1004-1";"5004-1";4000;"2019-01-22";"RECON2001100004";"true"
100005;"AXE";"5005-1";"1005-1";4000;"2019-01-25";"RECON2001100005";"true"
100006;"AXE";"1006-1";"5006-1";12000;"2019-02-05";"RECON2002100006";"true"
100007;"AXE";"5007-1";"1007-1";8000;"2019-02-09";"RECON2002100007";"true"
100008;"AXE";"1008-1";"5008-1";7000;"2019-02-14";"RECON2002100008";"true"
100009;"AXE";"5009-1";"1009-1";4500;"2019-02-18";"RECON2002100009";"true"
100010;"AXE";"1010-1";"5010-1";5000;"2019-02-22";"RECON2002100010";"true"
100011;"AXE";"5011-1";"1011-1";7500;"2019-02-25";"RECON2002100011";"true"
100012;"AXE";"1012-1";"5012-1";8000;"2019-03-05";"RECON2003100012";"true"
100013;"AXE";"5013-1";"1013-1";10000;"2019-03-09";"RECON2003100013";"true"
100014;"AXE";"1014-1";"5014-1";12000;"2019-03-14";"RECON2003100014";"true"
100015;"AXE";"5015-1";"1015-1";1000;"2019-03-18";"RECON2003100015";"true"
100016;"AXE";"1016-1";"5016-1";6000;"2019-03-22";"RECON2003100016";"true"
100017;"AXE";"5017-1";"1017-1";1500;"2019-03-25";"RECON2003100017";"true"
100018;"AXE";"1018-1";"5018-1";11000;"2019-04-05";"RECON2004100018";"true"
100019;"AXE";"5019-1";"1019-1";7000;"2019-04-09";"RECON2004100019";"true"
100020;"AXE";"1020-1";"5020-1";8000;"2019-04-14";"RECON2004100020";"true"
100021;"AXE";"5021-1";"1021-1";8500;"2019-04-18";"RECON2004100021";"true"
100022;"AXE";"1022-1";"5022-1";10000;"2019-04-22";"RECON2004100022";"true"
100023;"AXE";"5023-1";"1023-1";9000;"2019-04-25";"RECON2004100023";"true"
100024;"AXE";"1024-1";"5024-1";11000;"2019-05-05";"RECON2005100024";"true"
100025;"AXE";"5025-1";"1025-1";4500;"2019-05-09";"RECON2005100025";"true"
100026;"AXE";"1026-1";"5026-1";6000;"2019-05-14";"RECON2005100026";"true"
100027;"AXE";"5027-1";"1027-1";8000;"2019-05-18";"RECON2005100027";"true"
100028;"AXE";"1028-1";"5028-1";9000;"2019-05-22";"RECON2005100028";"true"
100029;"AXE";"5029-1";"1029-1";7500;"2019-05-25";"RECON2005100029";"true"
100030;"AXE";"1030-1";"5030-1";9000;"2019-06-05";"RECON2006100030";"true"
100031;"AXE";"5031-1";"1031-1";7000;"2019-06-09";"RECON2006100031";"true"
100032;"AXE";"1032-1";"5032-1";10000;"2019-06-14";"RECON2006100032";"true"
100033;"AXE";"5033-1";"1033-1";4500;"2019-06-18";"RECON2006100033";"true"
100034;"AXE";"1034-1";"5034-1";9000;"2019-06-22";"RECON2006100034";"true"
100035;"AXE";"5035-1";"1035-1";7500;"2019-06-25";"RECON2006100035";"true"
100036;"AXE";"1036-1";"5036-1";10000;"2019-07-05";"RECON2007100036";"true"
100037;"AXE";"5037-1";"1037-1";3500;"2019-07-09";"RECON2007100037";"true"
100038;"AXE";"1038-1";"5038-1";10000;"2019-07-14";"RECON2007100038";"true"
100039;"AXE";"5039-1";"1039-1";5000;"2019-07-18";"RECON2007100039";"true"
100040;"AXE";"1040-1";"5040-1";7000;"2019-07-22";"RECON2007100040";"true"
100041;"AXE";"5041-1";"1041-1";1500;"2019-07-25";"RECON2007100041";"true"
100042;"AXE";"1042-1";"5042-1";5000;"2019-08-05";"RECON2008100042";"true"
100043;"AXE";"5043-1";"1043-1";5000;"2019-08-09";"RECON2008100043";"true"
100044;"AXE";"1044-1";"5044-1";12000;"2019-08-14";"RECON2008100044";"true"
100045;"AXE";"5045-1";"1045-1";9500;"2019-08-18";"RECON2008100045";"true"
100046;"AXE";"1046-1";"5046-1";4000;"2019-08-22";"RECON2008100046";"true"
100047;"AXE";"5047-1";"1047-1";5500;"2019-08-25";"RECON2008100047";"true"
