"code";"label";"description"
"060";;"Opérations des entreprises soumises à la déclaration directe générale (DDG)"
"061";;"Compagnies aériennes non résidentes (opérations d’approvisionnement ou de transfert)."
"062";;"Opérations des déclarants directs partiels (DDP : entreprises ou personnes physiques) ayant des comptes bancaires à l’extérieur de la collectivité ou participant à des compensations multilatérales."
"090";;"Règlements de toute nature dont le montant est inférieur à 1 million de francs CFP sauf pour les règlements faisant l’objet de comptes rendus de paiements globaux."
"100";"Exportations - Importations";"- Règlements de toutes marchandises exportées ou importées (c’est-à-dire ayant franchi la frontière douanière), y compris, dans le cas d’exportations, par utilisation de crédits commerciaux bancaires accordés à des acheteurs non résidents.
 - Avances sur commandes de marchandises à exporter ou à importer NB –
1) Les règlements comprennent les paiements, les compensations et les échanges de marchandises
2) Doivent être déclarés sous cette rubrique les règlements de matériels ou matériaux ayant franchi la frontière douanière et destinés à un chantier de grands travaux.
3) En revanche,
° les règlements relatifs aux plans et dessins afférents à des marchandises sont exclus de cette rubrique (voir code 262).
° les règlements de services (frais accessoires, transports, assurances, grands travaux, travail à façon, etc.) associés à des règlements de marchandises doivent être déclarés sous le code du service concerné.
° les règlements de marchandises achetées ou vendues à des nonrésidents sans faire l’objet, auprès des douanes, de formalités d’importation ou d’exportation sont recensés sous les codes 150, 151 ou 152."
"103";"Rabais et ristournes sur marchandises";"Rabais et ristournes relatifs aux opérations sur marchandises avec des non-résidents"
"150";"Négoce";"- Opérations de négoce effectuées à titre habituel ou occasionnel.
- Règlements de marchandises achetées dans le but de les revendre sans franchissement de la frontière douanière – règlements des reventes correspondantes.
- Le bien peut avoir été transféré physiquement sur le territoire de la collectivité, mais il doit rester « sous douane », sous le régime de l’entrepôt, du transit, ou autre, avant revente. Autrement il y aurait franchissement de la frontière douanière, donc importation. Si le bien reste présent physiquement sur un territoire extérieur, son statut vis-à- vis de la douane de la collectivité ne se pose pas.                                        - Sont exclues de cette rubrique les commissions de courtage faisant l’objet de règlements séparés de ceux des marchandises (code 356) "
"151";"Marchandises destinées à un chantier de grands travaux";"- Règlements relatifs à des achats de marchandises auprès de nonrésidents, destinées à des chantiers de grands travaux à l’extérieur de la collectivité.
- Règlements relatifs à leur revente."
"152";"Marchandises autres";"- Règlements de marchandises (paiements ou compensations) avec des non-résidents sans franchissement de la frontière douanière (autres que les opérations prévues sous les codes 150 et 151). Ces opérations concernent notamment les mouvements de marchandises entre maisons mères et filiales, entrant dans le cadre d’une activité industrielle : pièces détachées, produits finis et semi-finis...
-  Achats ou ventes de marchandises – à l’exclusion du négoce – sur le territoire de la collectivité à des non-résidents. "
"200";"Frais accessoires sur marchandises";"Frais accessoires au commerce extérieur qui ne peuvent être imputés à une autre rubrique : frais de manutention, frais de transit, frais de montage de marchandises exportées ou importées, etc. Sont exclus de cette rubrique les frais relatifs aux transports et aux assurances et les commissions (code 356). "
"213";"Frets maritimes";"Frets maritimes payés pour des transports de marchandises par des résidents à des compagnies maritimes non résidentes et par des non résidents à des compagnies maritimes résidentes "
"214";"Transports maritimes de passagers";"Billets de passage payés par des voyageurs résidents à des compagnies maritimes non résidentes et par des voyageurs non résidents à des compagnies maritimes résidentes. "
"215";"Autres frais de transports maritimes (escales, affrètements)";"Règlements afférents aux comptes d’escale et comptes courants d’escale de navires. Affrètements et locations de navires. Tous autres frais portuaires. "
"223";"Frets aériens";"Frets aériens réglés pour des transports de marchandises par des résidents à des compagnies aériennes non résidentes et par des non résidents à des compagnies aériennes résidentes. "
"224";"Transports aériens de passagers";"Billets de passage payés par des voyageurs résidents à des compagnies aériennes non résidentes et par des voyageurs non résidents à des compagnies aériennes résidentes. "
"225";"Autres frais de transports aériens";"Tous règlements relatifs aux transports aériens et notamment les frais d’escale, les redevances sur trafic, les affrètements et locations d’aéronefs. "
"227";"Avitaillement";"Dépenses et recettes de carburéacteurs et de carburants. "
"250";"Assurances sur marchandises : primes";"Primes (y compris les commissions) afférentes à des contrats d’assurance sur marchandises : 
– versées par des résidents qui ont souscrit des contrats auprès de compagnies d’assurances non résidentes,
– reçues par des compagnies d’assurances résidentes au titre de contrats souscrits par des non-résidents. "
"251";"Assurances sur marchandises : indemnités";"Indemnités ou recours d’assurances (y compris les commissions) afférentes à des contrats d’assurance sur marchandises :
– reçues par des résidents qui ont souscrit des contrats auprès de compagnies d’assurances non résidentes,
– versées par des compagnies d’assurances résidentes au titre de contrats souscrits par des non-résidents. "
"252";"Assurances autres : primes";"Primes (y compris les commissions) afférentes à des contrats d’assurance autres que sur marchandises (y compris les assurance vie) :
– versées par des résidents qui ont souscrit des contrats auprès de compagnies d’assurances non résidentes,
– reçues par des compagnies d’assurances résidentes au titre de contrats souscrits par des non-résidents. "
"253";"Assurances autres : indemnités";"Indemnités (y compris les commissions) afférentes à des contrats d’assurance autres que sur marchandises :
 – reçues par des résidents qui ont souscrit des contrats auprès de compagnies d’assurances non résidentes,
 – versées par des compagnies d’assurances résidentes au titre de contrats souscrits par des non-résidents
Règlements d’assurances vie effectués par les compagnies d’assurances non résidentes "
"254";"Réassurances";"Toutes opérations en relation directe avec des traités ou des contrats de réassurances (y compris les règlements relatifs aux provisions en garantie). "
"260";"Achats et ventes de brevets";"Achats et ventes de brevets relatifs à des techniques de production. Sont exclus de cette rubrique les règlements afférents à la protection des brevets (code 359). "
"261";"Redevances sur brevets, échanges de savoir-faire";"- Redevances sur des brevets relatifs à des techniques de production, versées périodiquement au propriétaire qui en a concédé par contrat l’exploitation ou l’utilisation.
- Échanges de savoir-faire.
Sont exclus de cette rubrique les règlements afférents à la protection des brevets (code 359). "
"262";"Cessions et licences de marques, modèles, dessins et droits de propriété – Droits d’auteur";"- Cessions et redevances sur les marques, dessins, modèles d’utilité et modèles industriels, droits de propriété (y compris les plans et dessins afférents à des marchandises) et autres procédés relatifs à des techniques de diffusion et de commercialisation.
- Franchise, pas de porte.
- Droit d’exploitation de ligne maritime, de wagons, de mines, de passage. Sont exclus de cette rubrique : 
° Les règlements afférents à la protection des marques, dessins, modèles (code 359).
° Les droits d'auteurs sur les œuvres audiovisuelles (code 352). "
"263";"Services informatiques";"Tous règlements relatifs aux services informatiques de toute nature (redevances sur logiciels, installation de salle de marché…) "
"264";"Études, recherches et assistance technique";"- Frais d’études, de recherches et d’ingénierie afférents aux phases de conception et d’élaboration d’un projet.
- Frais de maintenance postérieurs à la phase de mise en oeuvre d’un projet et réparations effectuées sur place (si elles sont achetées à l’extérieur de la collectivité, les pièces détachées doivent être déclarées en code 151).
- Frais d’assistance technique générale, contrats de formation, coopération inter-entreprises.
- Contributions à des organismes de recherche scientifique, technique et économique, et notamment frais relatifs à la recherche et au développement. "
"270";"Travail à façon";"- Tous travaux de transformation, de traitement et d’ouvraison : raffinage du pétrole, traitement des métaux et autres produits, montage de véhicules, etc.
- Service d’emballage "
"271";"Réparations";"- Tous règlements afférents à des réparations effectuées dans la collectivité par des résidents sur des biens meubles appartenant à des non-résidents et vice versa (y compris les fournitures utilisées). "
"272";"Grands travaux";"- Règlements afférents aux bâtiments et travaux publics et aux activités de recherche géologique, pétrolière ou minière et notamment aux frais de fonctionnement et bénéfices de chantiers (travaux publics, ensembles industriels, etc.).
- Rénovation et réfection de bâtiments industriels, commerciaux et à usage d'habitation.
- Construction d’une unité de production (hors marchandises).
Sont exclus de cette rubrique les règlements de marchandises destinées à un chantier de grands travaux ou à un complexe industriel à l’extérieur de la collectivité (code 151) "
"350";"Télécommunications et courrier";"Tous règlements relatifs :
– aux services postaux (publics et privés) : levée, transport et distribution de courrier (lettres, journaux, périodiques, etc.) et colis,
– aux télécommunications : transmission de sons, d’images et autres informations par téléphone, télex, télégramme, câble, radio ou télévision, satellite, courrier électronique…, y compris les communications par réseaux (internet), téléconférences et services d’appui. "
"351";"Abonnements, publicité";"- Quel que soit le support, tous règlements relatifs :
° aux abonnements directs à des journaux, périodiques et revues,
° à la publicité : conception et réalisation de supports publicitaires,
° à la location d'espaces (panneaux, presse, audiovisuel),
° à l'organisation des campagnes de promotion.
- Parrainage.
- Participation aux foires. "
"352";"Audiovisuel";"- Redevances cinématographiques.
- Achats/ventes et locations de programmes de radio et de télévision.
- Droit sur oeuvres audiovisuelles.
- Tous services annexes.
Sont exclues de cette rubrique les locations de satellites (code 350) "
"353";"Locations de biens meubles et immeubles (autres qu’affrètements)";"- Loyers et rachats éventuels dans le cas de contrats de crédit-bail.
- Loyers sur biens meubles et immeubles. "
"354";"Commissions et frais bancaires ou financiers du secteur des IFM 1 (FG)";"- Commissions reçues ou versées par les IFM 1 pour toutes opérations bancaires ou financières (y compris la rémunération de conseils financiers et d’assistance aux opérations financières). "
"355";"Commissions et frais bancaires ou financiers des secteurs autres que celui des IFM 2 (FG)";"- Commissions versées par la clientèle résidente pour toutes opérations bancaires ou financières (y compris la rémunération de conseils financiers et d’assistance aux opérations financières). "
"356";"Commissions liées aux opérations commerciales";"- Commissions sur marchandises autres que des rabais et des ristournes.
- Commissions de courtage international.
- Commissions liées à la réalisation de contrats commerciaux. "
"357";"Frais de gestion";"- Participation des filiales ou succursales aux frais de gestion (frais de management, fees...) de leur maison mère (y compris les établissements de crédit et assimilés).
- Financement de l'exploitation de filiales ou d'autres établissements (GIE, sociétés en participations, succursales, agences, bureaux, comptoirs, etc.).
Sont exclus de cette rubrique les versements pour les couvertures de pertes (codes 443, 447, 453, 457). "
"359";"Services divers";"Tous autres paiements de services ne pouvant être classés dans une autre rubrique. Par exemple :
- Frais d’entretien courant d’immeubles et propriétés.
- Frais de protection des brevets à un organisme spécialisé chargé de protéger l’invention (Institut national de la propriété industrielle – INPI par exemple).
- Commissions ni commerciales (356), ni bancaires (354 et 355), ni financières. Exemple : commissions sur opérations immobilières. "
"330";"Négociations de billets de banque libellés en francs CFP avec les correspondants (FG)";"Ventes et achats de billets de banque libellés en francs CFP entre un intermédiaire et ses correspondants non résidents (y compris les banques d’émission non résidentes). "
"332";"Négociations de billets de banque libellés en devises avec les correspondants (FG)";"Ventes et achats de billets de banque libellés en devises entre un intermédiaire et ses correspondants non résidents (y compris les banques d’émission non résidentes). "
"335";"Opérations sur billets de banque libellés en francs CFP par débit ou crédit de comptes de clients non résidents (FG)";"Retraits ou versements de billets de banque libellés en francs CFP par débit ou crédit de comptes de clients non résidents. "
"336";"Opérations sur billets de banque libellés en devises par débit ou crédit de comptes de clients non résidents (FG)";"Retraits ou versements de billets de banque libellés en devises par débit ou crédit de comptes de clients non résidents. "
"340";"Recettes et dépenses touristiques (FG)";"Tous règlements scripturaux en couverture de frais de séjours des touristes non résidents dans la collectivité ou des touristes résidents à l’extérieur de la collectivité (cartes de crédit, chèques de voyage, chèques, virements, ...). NB – Les opérations relatives aux agences de voyage résidentes sont exclues de cette rubrique (cf. code 344). "
"342";"Frais de séjour de nature professionnelle (FG)";"Règlements effectués au titre des voyages officiels, des voyages d’affaires, des frais de délégations à des congrès et à des manifestations commerciales ou autres. "
"343";"Autres frais de séjour privé (FG)";"- Frais de scolarité et d’études.
- Frais de séjour dans les maisons de santé, cures médicales et autres séjours prolongés de nature privée. "
"344";"Agences de voyages résidentes";"Tous règlements relatifs à des frais de tourisme d’ordre ou en faveur des agences de voyage résidentes. "
"280";"Revenus des capitaux des IFM ayant le caractère d’investissement direct";
"281";"Revenus des titres de placement détenus ou émis par les IFM (FG)";
"282";"Intérêts sur crédits commerciaux bancaires (FG)";"Intérêts perçus par les IFM sur les crédits commerciaux accordés à des acheteurs non résidents. NB – Dans le cas de crédits consortiaux, chaque banque participante déclare les intérêts perçus sur sa quote-part. "
"284";"Intérêts bancaires sur des opérations avec des correspondants (FG)";"Intérêts reçus ou versés pour dépôts, placements, prêts, emprunts, pensions livrées et autres à tous correspondants. Sont exclus de cette rubrique les intérêts en devises versés ou reçus par les IFM sur des prêts ou emprunts en devises réalisés avec d’autres intermédiaires résidents (prêts non enregistrés en balance des paiements). "
"286";"Intérêts bancaires sur des opérations avec des clients non résidents (FG)";"Intérêts reçus ou versés sur dépôts, placements, prêts et emprunts, pensions livrées et autres à tous non-résidents. Sont exclus de cette rubrique les intérêts portant sur des opérations de crédits commerciaux bancaires à des non-résidents (code 282 "
"290";"Intérêts sur prêts et emprunts des administrations publiques résidentes";"Règlements d’intérêts sur prêts et emprunts des administrations publiques résidentes. "
"291";"Coupons sur titres émis par les administrations publiques 1 résidentes";"Coupons versés à des non-résidents sur des titres émis par les administrations publiques résidentes *. "
"301";"Intérêts sur titres émis par les organismes internationaux 2 et les administrations publiques non résidentes (FG) 3";"Coupons perçus par la clientèle résidente sur des titres émis par les organismes internationaux et les administrations publiques non résidentes. "
"292";"Coupons sur obligations * et intérêts sur autres titres de créances";"- Coupons et intérêts versés à des non-résidents sur des obligations et autres titres de créances émis par les « autres secteurs 1 ».
- Coupons et intérêts sur obligations et autres titres de créances reversés à des résidents par des dépositaires ou agents financiers non résidents. "
"293";"Dividendes sur actions";"- Dividendes versés à des non-résidents sur des actions et titres assimilés émis par les autres secteurs 1.
- Dividendes reversés à des résidents par des dépositaires ou agents financiers non résidents.
Sont exclus de cette rubrique les dividendes liés aux investissements directs (code 295) "
"294";"Autres intérêts";"Intérêts sur toutes opérations de placements et d’emprunts entre la clientèle résidente et des non-résidents : prêts, emprunts, dépôts de toute nature, hypothèques, pensions livrées.
Sont exclus de cette rubrique les intérêts sur opérations conclues avec les institutions financières monétaires résidentes "
"295";"Revenus d’investissements directs distribués ou perçus par les autres secteurs 1";"- Revenus (bénéfices et autres revenus...) perçus par des sociétés résidentes au titre de leurs participations ≥ 10 % dans des entités non résidentes (filiales, sociétés, agences et succursales, etc.) et vice versa.
- Prélèvements sur réserves.
- Bénéfices d’établissements non résidents appartenant à des personnes physiques résidentes et vice versa. "
"302";"Coupons sur obligations et intérêts sur autres titres de créances émis par des non-résidents (FG) 2";"Coupons et intérêts perçus par la clientèle résidente sur des obligations et autres titres de créances émis par des non-résidents. "
"303";"Dividendes sur actions émises par des nonrésidents (FG) 3";"Dividendes perçus par des résidents sur des actions et titres assimilés émis par des non-résidents.
Sont exclus de cette rubrique les revenus d’investissements directs distribués ou perçus par les « autres secteurs » 4 (cf. code 295). "
"310";"Rémunérations des salariés des administrations publiques 1 et des autorités monétaires (FG)";"Salaires transférés par les administrations publiques et les autorités monétaires résidentes et non résidentes. "
"312";"Transferts de salaires par des employeurs privés (FG)";"Salaires transférés directement par des employeurs privés résidents au profit de salariés non résidents et vice versa. "
"313";"Autres rémunérations du travail (FG)";"- Honoraires des membres des professions libérales, tantièmes et jetons de présence, cachets des artistes et des sportifs.
- Bénéfices et frais d’entretien des tournées théâtrales, cirques ambulants et toutes autres entreprises itinérantes. "
"314";"Pensions, retraites et prestations sociales (FG)";"Pensions, retraites obligatoires, allocations familiales et autres prestations versées par des organismes de protection sociale. "
"360";"Impôts, taxes et droits divers";"- Droits d’enregistrement et de succession perçus sur les non-résidents.
- Taxes, impôts, confiscations et amendes douanières, redevances d’origines diverses, perçus par les administrations publiques résidentes.
- Remboursements de trop-reçus sur taxes, impôts et droits divers. "
"361";"Autres paiements des administrations publiques résidentes";"- Tous paiements (autres que ceux prévus aux codes 290, 291 et 360).
Sont exclus de cette rubrique les transferts effectués d'ordre ou pour compte de la Poste (qui est à considérer comme un intermédiaire). "
