"importId";"journal";"move";"partner.importId";"date";"dueDate";"account.code";"credit";"debit";"taxline.importId";"origin";"description"
"5000-1";"ENC_VIR";5000;1012;"2019-01-05";"2019-01-05";"411100";8000;;;"VIR2019-01-055000";"Paiement recu de PICARD Anna Ref. VIR2019-01-055000"
"5000-2";"ENC_VIR";5000;1012;"2019-01-05";"2019-01-05";"512100";;8000;;"VIR2019-01-055000";"Paiement recu de PICARD Anna Ref. VIR2019-01-055000"
"5001-1";"DEC_VIR";5001;20;"2019-01-09";"2019-01-09";"401100";;4500;;"VIR2019-01-095001";"Paiement pour APOLLO Ref. VIR2019-01-095001"
"5001-2";"DEC_VIR";5001;20;"2019-01-09";"2019-01-09";"512100";4500;;;"VIR2019-01-095001";"Paiement pour APOLLO Ref. VIR2019-01-095001"
"5002-1";"ENC_VIR";5002;1033;"2019-01-14";"2019-01-14";"411100";12000;;;"VIR2019-01-145002";"Paiement recu de MEYER Philippe Ref. VIR2019-01-145002"
"5002-2";"ENC_VIR";5002;1033;"2019-01-14";"2019-01-14";"512100";;12000;;"VIR2019-01-145002";"Paiement recu de MEYER Philippe Ref. VIR2019-01-145002"
"5003-1";"DEC_CHQ";5003;44;"2019-01-18";"2019-01-18";"401100";;9500;;"CHQ20195003";"Paiement pour BLUEBERRRY Ref. CHQ20195003"
"5003-2";"DEC_CHQ";5003;44;"2019-01-18";"2019-01-18";"512100";9500;;;"CHQ20195003";"Paiement pour BLUEBERRRY Ref. CHQ20195003"
"5004-1";"ENC_CHQ";5004;70;"2019-01-22";"2019-01-22";"411100";4000;;;"CHQ20195004";"Paiement recu de MASSON Ref. CHQ20195004"
"5004-2";"ENC_CHQ";5004;70;"2019-01-22";"2019-01-22";"512100";;4000;;"CHQ20195004";"Paiement recu de MASSON Ref. CHQ20195004"
"5005-1";"DEC_VIR";5005;77;"2019-01-25";"2019-01-25";"401100";;4000;;"VIR2019-01-255005";"Paiement pour GERARD Ref. VIR2019-01-255005"
"5005-2";"DEC_VIR";5005;77;"2019-01-25";"2019-01-25";"512100";4000;;;"VIR2019-01-255005";"Paiement pour GERARD Ref. VIR2019-01-255005"
"5006-1";"ENC_VIR";5006;136;"2019-02-05";"2019-02-05";"411100";12000;;;"VIR2019-02-055006";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-02-055006"
"5006-2";"ENC_VIR";5006;136;"2019-02-05";"2019-02-05";"512100";;12000;;"VIR2019-02-055006";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-02-055006"
"5007-1";"DEC_CHQ";5007;88;"2019-02-09";"2019-02-09";"401100";;8000;;"CHQ20195007";"Paiement pour 123 SOLUTIONS Ref. CHQ20195007"
