"importId";"move";"partner.importId";"date";"originDate";"account.code";"credit";"debit";"taxLine.importId";"taxLine.startDate";"origin";"description"
"1000-1";1000;1012;"2019-01-05";"2019-01-05";"411100";;9600;;"";"FC20191000";"Vente divers"
"1000-2";1000;1012;"2019-01-05";"2019-01-05";"445711";1600;;;"";"FC20191000";"Vente divers"
"1000-3";1000;1012;"2019-01-05";"2019-01-05";"701000";8000;;11;"2014-01-01";"FC20191000";"Vente divers"
"1001-1";1001;20;"2019-01-09";"2019-01-09";"401100";5400;;;"";"FC20191001";"Achats divers"
"1001-2";1001;20;"2019-01-09";"2019-01-09";"445511";;900;;"";"FC20191001";"Achats divers"
"1001-3";1001;20;"2019-01-09";"2019-01-09";"601100";;4500;13;"2014-01-01";"FC20191001";"Achats divers"
"1002-1";1002;1033;"2019-01-14";"2019-01-14";"411100";;14400;;"";"FC20191002";"Vente divers"
"1002-2";1002;1033;"2019-01-14";"2019-01-14";"445711";2400;;;"";"FC20191002";"Vente divers"
"1002-3";1002;1033;"2019-01-14";"2019-01-14";"701000";12000;;11;"2014-01-01";"FC20191002";"Vente divers"
"1003-1";1003;44;"2019-01-18";"2019-01-18";"401100";11400;;;"";"FC20191003";"Achats divers"
"1003-2";1003;44;"2019-01-18";"2019-01-18";"445511";;1900;;"";"FC20191003";"Achats divers"
"1003-3";1003;44;"2019-01-18";"2019-01-18";"601100";;9500;13;"2014-01-01";"FC20191003";"Achats divers"
"1004-1";1004;70;"2019-01-22";"2019-01-22";"411100";;4800;;"";"FC20191004";"Vente divers"
"1004-2";1004;70;"2019-01-22";"2019-01-22";"445711";800;;;"";"FC20191004";"Vente divers"
"1004-3";1004;70;"2019-01-22";"2019-01-22";"701000";4000;;11;"2014-01-01";"FC20191004";"Vente divers"
"1005-1";1005;77;"2019-01-25";"2019-01-25";"401100";4800;;;"";"FC20191005";"Achats divers"
"1005-2";1005;77;"2019-01-25";"2019-01-25";"445511";;800;;"";"FC20191005";"Achats divers"
"1005-3";1005;77;"2019-01-25";"2019-01-25";"601100";;4000;13;"2014-01-01";"FC20191005";"Achats divers"
