"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.businessproject.InvoicingProject.r";"com.axelor.apps.businessproject.db.InvoicingProject";"x";;;;;;;"Business Project Read"
"perm.businessproject.ManualElement.r";"com.axelor.apps.businessproject.db.ManualElement";"x";;;;;;;"Business Project Read"
"perm.businessproject.BusinessProject.r";"com.axelor.apps.businessproject.db.BusinessProject";"x";;;;;;;"Business Project Read"
"perm.businessproject.ProjectFolder.r";"com.axelor.apps.businessproject.db.ProjectFolder";"x";;;;;;;"Project Read"
"perm.businessproject.InvoicingProject.rwc";"com.axelor.apps.businessproject.db.InvoicingProject";"x";"x";"x";;;;;"Business Project User"
"perm.businessproject.ManualElement.rwc";"com.axelor.apps.businessproject.db.ManualElement";"x";"x";"x";;;;;"Business Project User"
"perm.businessproject.BusinessProject.rwc";"com.axelor.apps.businessproject.db.BusinessProject";"x";"x";"x";;;;;"Business Project User"
"perm.businessproject.ProjectFolder.rwc";"com.axelor.apps.businessproject.db.ProjectFolder";"x";"x";"x";;;;;"Project User"
"perm.businessproject.InvoicingProject.rwcde";"com.axelor.apps.businessproject.db.InvoicingProject";"x";"x";"x";"x";"x";;;"Business Project Manager"
"perm.businessproject.ManualElement.rwcde";"com.axelor.apps.businessproject.db.ManualElement";"x";"x";"x";"x";"x";;;"Business Project Manager"
"perm.businessproject.BusinessProject.rwcde";"com.axelor.apps.businessproject.db.BusinessProject";"x";"x";"x";"x";"x";;;"Business Project Manager"
"perm.businessproject.ProjectFolder.rwcde";"com.axelor.apps.businessproject.db.ProjectFolder";"x";"x";"x";"x";"x";;;"Project Manager"
