"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.importId"
"accountClearance";"Overpayment clearance";1;10;"ACCCLR_%Y_";;1;1;1
"chequeReject";"Cheque reject";1;10;"CHQREJ_%Y_";;1;1;1
"customerInvoice";"Customer Invoice";1;7;"INV_%Y";;1;1;1
"customerRefund";"Customer Refund";1;7;"REF_%Y";;1;1;1
"supplierInvoice";"Supplier Invoice";1;7;"SINV_%Y";;1;1;1
"supplierRefund";"Supplier Refund";1;7;"SREF_%Y";;1;1;1
"debit";"Direct debit (invoice and installments)";1;7;"DDINV_%Y_";;1;1;1
"debitReject";"Direct debit reject";1;7;"REJDD_%Y_";;1;1;1
"doubtfulCustomer";"Transfer in doubtful receivables";1;7;"DBTREC_%Y_";;1;1;1
"irrecoverable";"Transfer in irrecoverables";1;7;"IRRECOV_%Y_";;1;1;1
"move";"Sales move line";1;7;"MVSAL_%Y_";;1;1;1
"move";"Refund move line";1;10;"MVREF_%Y_";;1;1;1
"move";"Purchase move line";1;7;"MVPUR_%Y_";;1;1;1
"move";"Purchase refund move line";1;10;"MVSREF_%Y_";;1;1;1
"move";"Virtual move line";1;7;"MVVIRT_%Y_";;1;1;1
"move";"Move line for payments received in Cash";1;7;"MVCSH_%Y_";;1;1;1
"move";"Move line for payments received in Cheque";1;10;"MVCHQ_%Y_";;1;1;1
"move";"Move line for payments received in Credit Card";1;10;"MVCC_%Y_";;1;1;1
"move";"Move line for payments received in Internet";1;10;"MVWEB_%Y_";;1;1;1
"move";"Move line for payments received in IPO";1;10;"MVIPO_%Y_";;1;1;1
"move";"Move line for payments received in IPOC";1;10;"MVIPOC_%Y_";;1;1;1
"move";"Move line for payments received in Wire Transfer";1;10;"MVWT_%Y_";;1;1;1
"move";"Move line for payments received in Direct Debit (invoice and installments)";1;10;"MVDD_%Y_";;1;1;1
"move";"Move line for payments received in Other means";1;10;"MVOTH_%Y_";;1;1;1
"move";"Move line for payments received but rejected by the bank";1;10;"MVREJ_%Y_";;1;1;1
"move";"Move line for automatic reimbursement";1;10;"MVCLTRBT_%Y_";;1;1;1
"move";"Move line for payments executed by Cash";1;7;"MVCSH_%Y_";;1;1;1
"move";"Move line for payments executed by Cheque";1;10;"MVCHQ_%Y_";;1;1;1
"move";"Move line for payments executed by Credit Card";1;10;"MVCC_%Y_";;1;1;1
"move";"Move line for payments executed by IPO";1;10;"MVIPO_%Y_";;1;1;1
"move";"Move line for payments executed by Wire Transfer";1;10;"MVWT_%Y_";;1;1;1
"move";"Move line for payments executed by Direct Debit (invoice and installments)";1;10;"MVDD_%Y_";;1;1;1
"move";"Move line for payments executed by Other means";1;10;"MVOTH_%Y_";;1;1;1
"move";"Miscellaneous Operation Automatic";1;10;"MVMISCAUTO_%Y_";;1;1;1
"move";"Miscellaneous Operation Manual";1;10;"MVMISCMANU_%Y_";;1;1;1
"move";"Clearance Move Live";1;10;"MVCLR_%Y_";;1;1;1
"move";"Irrecovrable Move Line";1;10;"MVIRREC_%Y_";;1;1;1
"moveLineExport";"Accounting Export";1;10;"ACCEXP_%Y_";;1;1;1
"moveLineReport";"Accounting Report";1;10;"ACCREPORT_%Y_";;1;1;1
"paymentSchedule";"Installment N°";1;10;"INSTAL_%Y_";;1;1;1
"paymentVoucher";"N° for payments received in Cash";1;10;"CSH_IN_ESP_%Y_";;1;1;1
