"importId";"name_fr";"code_fr";"name_en";"code_en";"description_fr";"description_en";"productCategory.code";"productCategory_code_en";"productFamily.code";"productFamily_code_en";"applicationTypeSelect";"procurementMethodSelect";"isRawMaterial";"unit.code";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"startDate";"endDate";"invoiceLineType.id"
1;"Imprimante LC - Epson Aculaser CX17WF";"IMP-JE-0001";"Printer LC - Epson Aculaser CX17WF";"PRT-IJ-0001";"Résolution impression : 600 dpi / Vitesse impression : - / Recto/verso : non / Wifi : oui / Resolution scanner : 1200x1200 dpi / Ecran : LCD Monochrome x 4 lignes";"Printer resolution : 600 dpi / Printing speed : - / Recto/verso : non / Wifi : oui / Sacanner Resolution : 1200x1200 dpi / Screen : LCD Monochrome x 4 lignes";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"459.26";"EUR";"326.0746";"EUR";"2013-01-01";;1
2;"Imprimante LC - HP LaserJet Pro 400 MFP M475dw";"IMP-JE-0002";"Printer LC - HP LaserJet Pro 400 MFP M475dw";"PRT-IJ-0002";"Résolution impression : 600x600 ppp / Vitesse impression : 20 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : 600 ppp / Ecran : Tactile CGD 8,89 cm";"Printer resolution : 600x600 ppp / Printing speed : 20 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : 600 ppp / Screen : Tactile CGD 8,89 cm";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";699;"EUR";"524.25";"EUR";"2013-01-01";;1
3;"Imprimante LC - Kyocera Mita FS-C2026MFP+";"IMP-JE-0003";"Printer LC - Kyocera Mita FS-C2026MFP+";"PRT-IJ-0003";"Résolution impression : 9600x600 dpi / Vitesse impression : 26 ppm / Recto/verso : Automatique / Wifi : non / Resolution scanner : 600 dpi / Ecran : -";"Printer resolution : 9600x600 dpi / Printing speed : 26 ppm / Recto/verso : Automatique / Wifi : non / Sacanner Resolution : 600 dpi / Screen : -";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"584.99";"EUR";"444.5924";"EUR";"2013-01-01";;1
4;"Imprimante JE - HP Officejet Pro 276 dw";"IMP-JE-0004";"Printer JE - HP Officejet Pro 276 dw";"PRT-IJ-0004";"Résolution impression : 1200x1200 ppp / Vitesse impression : 20 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : 4800 ppp / Ecran : Tactile CGD 10,92 cm";"Printer resolution : 1200x1200 ppp / Printing speed : 20 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : 4800 ppp / Screen : Tactile CGD 10,92 cm";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";329;"EUR";"233.59";"EUR";"2013-01-01";;1
5;"Imprimante JE - CANON PIXMA MG5450";"IMP-JE-0005";"Printer JE - CANON PIXMA MG5450";"PRT-IJ-0005";"Résolution impression : 9600x2400 dpi / Vitesse impression : 15 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : 2400x4800 dpi / Ecran : TFT 7,5 cm";"Printer resolution : 9600x2400 dpi / Printing speed : 15 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : 2400x4800 dpi / Screen : TFT 7,5 cm";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"106.9";"EUR";"82.313";"EUR";"2013-01-01";;1
6;"Imprimante JE - Epson WorkForce Pro  WP-4545DTWF";"IMP-JE-0006";"Printer JE - Epson WorkForce Pro  WP-4545DTWF";"PRT-IJ-0006";"Résolution impression : 4800x1200 dpi / Vitesse impression : 26 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : 1200x2400 dpi / Ecran : LCD 8,8 cm";"Printer resolution : 4800x1200 dpi / Printing speed : 26 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : 1200x2400 dpi / Screen : LCD 8,8 cm";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"399.99";"EUR";"315.9921";"EUR";"2013-01-01";;1
7;"Imprimante GF - HP DesignJet T120 610mm";"IMP-JE-0007";"Printer GF - HP DesignJet T120 610mm";"PRT-IJ-0007";"Résolution impression : 1200x1200 ppp / Vitesse impression : 40 A1 ph / Recto/verso : non / Wifi : oui / Resolution scanner : - / Ecran : couleur";"Printer resolution : 1200x1200 ppp / Printing speed : 40 A1 ph / Recto/verso : non / Wifi : oui / Sacanner Resolution : - / Screen : couleur";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"1052.99";"EUR";"852.9219";"EUR";"2013-01-01";;1
8;"Imprimante GF - Epson Stylus Pro 7900 610 mm";"IMP-JE-0008";"Printer GF - Epson Stylus Pro 7900 610 mm";"PRT-IJ-0008";"Résolution impression : 2880x1440 dpi / Vitesse impression : - / Recto/verso : non / Wifi : non / Resolution scanner : - / Ecran : Couleur 6,3 cm";"Printer resolution : 2880x1440 dpi / Printing speed : - / Recto/verso : non / Wifi : non / Sacanner Resolution : - / Screen : Couleur 6,3 cm";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"4419.22";"EUR";"3712.1448";"EUR";"2013-01-01";;1
9;"Imprimante GF - Canon image PROGRAF IPF750 914 mm";"IMP-JE-0009";"Printer GF - Canon image PROGRAF IPF750 914 mm";"PRT-IJ-0009";"Résolution impression : 2400x1200 dpi / Vitesse impression : 1'14 / Recto/verso : non / Wifi : non / Resolution scanner : - / Ecran : LCD 160x128";"Printer resolution : 2400x1200 dpi / Printing speed : 1'14 / Recto/verso : non / Wifi : non / Sacanner Resolution : - / Screen : LCD 160x128";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";3150;"EUR";"2677.5";"EUR";"2013-01-01";;1
10;"Imprimante LNB - HP LaserJet Pro M1132";"IMP-JE-0010";"Printer LNB - HP LaserJet Pro M1132";"PRT-IJ-0010";"Résolution impression : 600x600 ppp / Vitesse impression : 18 ppm / Recto/verso : Manuelle / Wifi : non / Resolution scanner : 1200 ppp / Ecran : LED Numérique 2 chiffres";"Printer resolution : 600x600 ppp / Printing speed : 18 ppm / Recto/verso : Manuelle / Wifi : non / Sacanner Resolution : 1200 ppp / Screen : LED Numérique 2 chiffres";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";149;"EUR";"108.77";"EUR";"2013-01-01";;1
11;"Imprimante LNB - Kyocera Mita FS-1220MFP";"IMP-JE-0011";"Printer LNB - Kyocera Mita FS-1220MFP";"PRT-IJ-0011";"Résolution impression : 1200 dpi / Vitesse impression : 20 ppm / Recto/verso : non / Wifi : non / Resolution scanner : 600 dpi / Ecran : non";"Printer resolution : 1200 dpi / Printing speed : 20 ppm / Recto/verso : non / Wifi : non / Sacanner Resolution : 600 dpi / Screen : non";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"117.18";"EUR";"82.026";"EUR";"2013-01-01";;1
12;"Imprimante LNB - CANON ImageRUNNER 2520";"IMP-JE-0012";"Printer LNB - CANON ImageRUNNER 2520";"PRT-IJ-0012";"Résolution impression : 600x600 dpi / Vitesse impression : 20 ppm / Recto/verso : Automatique / Wifi : non / Resolution scanner : 600 dpi / Ecran : non";"Printer resolution : 600x600 dpi / Printing speed : 20 ppm / Recto/verso : Automatique / Wifi : non / Sacanner Resolution : 600 dpi / Screen : non";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"1100.69";"EUR";"902.5658";"EUR";"2013-01-01";;1
13;"Imprimante LNB - Epson WorkForce AL-M200DW";"IMP-JE-0013";"Printer LNB - Epson WorkForce AL-M200DW";"PRT-IJ-0013";"Résolution impression : 1200 dpi / Vitesse impression : 30 ppm / Recto/verso : oui / Wifi : oui / Resolution scanner : - / Ecran : Monochrome 2x2";"Printer resolution : 1200 dpi / Printing speed : 30 ppm / Recto/verso : oui / Wifi : oui / Sacanner Resolution : - / Screen : Monochrome 2x2";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"270.3";"EUR";"224.349";"EUR";"2013-01-01";;1
14;"Imprimante LNB - HP LaserJet Pro 400 M401dw";"IMP-JE-0014";"Printer LNB - HP LaserJet Pro 400 M401dw";"PRT-IJ-0014";"Résolution impression : 1200x1200 dpi / Vitesse impression : 33 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : - / Ecran : tactile couleur 8,89 cm";"Printer resolution : 1200x1200 dpi / Printing speed : 33 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : - / Screen : tactile couleur 8,89 cm";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"424.9";"EUR";"348.418";"EUR";"2013-01-01";;1
15;"Imprimante LNB - Kyocera Mita FS-9130DN";"IMP-JE-0015";"Printer LNB - Kyocera Mita FS-9130DN";"PRT-IJ-0015";"Résolution impression : 1200 dpi / Vitesse impression : 40 ppm / Recto/verso : Standard / Wifi : non / Resolution scanner : - / Ecran : -";"Printer resolution : 1200 dpi / Printing speed : 40 ppm / Recto/verso : Standard / Wifi : non / Sacanner Resolution : - / Screen : -";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"2881.33";"EUR";"2218.6241";"EUR";"2013-01-01";;1
16;"Imprimante LC - HP LaserJet Pro 400 M451dw";"IMP-JE-0016";"Printer LC - HP LaserJet Pro 400 M451dw";"PRT-IJ-0016";"Résolution impression : 600x600 ppp / Vitesse impression : 20 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : - / Ecran : LCD 2 lignes";"Printer resolution : 600x600 ppp / Printing speed : 20 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : - / Screen : LCD 2 lignes";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"435.15";"EUR";"361.1745";"EUR";"2013-01-01";;1
