"importId";"code";"name";"country.code"
"1";"01";"GUADELOUPE";"FRA"
"2";"02";"MARTINIQUE";"FRA"
"3";"03";"GUYANE";"FRA"
"4";"04";"LA REUNION";"FRA"
"5";"11";"ILE-DE-FRANCE";"FRA"
"6";"21";"CHAMPAGNE-ARDENNE";"FRA"
"7";"22";"PICARDIE";"FRA"
"8";"23";"HAUTE-NORMANDIE";"FRA"
"9";"24";"CENTRE";"FRA"
"10";"25";"BASSE-NORMANDIE";"FRA"
"11";"26";"BOURGOGNE";"FRA"
"12";"31";"NORD-PAS-DE-CALAIS";"FRA"
"13";"41";"LORRAINE";"FRA"
"14";"42";"ALSACE";"FRA"
"15";"43";"FRANCHE-COMTE";"FRA"
"16";"52";"PAYS DE LA LOIRE";"FRA"
"17";"53";"BRETAGNE";"FRA"
"18";"54";"POITOU-CHARENTES";"FRA"
"19";"72";"AQUITAINE";"FRA"
"20";"73";"MIDI-PYRENEES";"FRA"
"21";"74";"LIMOUSIN";"FRA"
"22";"82";"RHONE-ALPES";"FRA"
"23";"83";"AUVERGNE";"FRA"
"24";"91";"LANGUEDOC-ROUSSILLON";"FRA"
"25";"93";"PROVENCE-ALPES-COTE D'AZUR";"FRA"
"26";"94";"CORSE";"FRA"
"27";"05";"MAYOTTE";"FRA"
