"importId";"inseeCode";"department.code";"canton.code";"artmin";"name";"zip";"nbInhCommune"
"1";"01001";"01";"0110";"(L')";"ABERGEMENT-CLEMENCIAT";"01400";"806"
"2";"01002";"01";"0101";"(L')";"ABERGEMENT-DE-VAREY";"01640";"211"
"3";"01004";"01";"0101";;"AMBERIEU-EN-BUGEY";"01500";"13804"
"4";"01005";"01";"0130";;"AMBERIEUX-EN-DOMBES";"01330";"1614"
"5";"01006";"01";"0104";;"AMBLEON";"01300";"126"
"6";"01007";"01";"0101";;"AMBRONAY";"01500";"2444"
"7";"01008";"01";"0117";;"AMBUTRIX";"01500";"672"
"8";"01009";"01";"0104";;"ANDERT-ET-CONDON";"01300";"352"
"9";"01010";"01";"0131";;"ANGLEFORT";"01350";"971"
"10";"01011";"01";"0122";;"APREMONT";"01100";"369"
"11";"01012";"01";"0115";;"ARANC";"01110";"310"
"12";"01013";"01";"0128";;"ARANDAS";"01230";"166"
"13";"01014";"01";"0123";;"ARBENT";"01100";"3637"
"14";"01015";"01";"0104";;"ARBIGNIEU";"01300";"483"
"15";"01016";"01";"0126";;"ARBIGNY";"01190";"394"
"16";"01017";"01";"0128";;"ARGIS";"01230";"428"
"17";"01019";"01";"0136";;"ARMIX";"01510";"24"
"18";"01021";"01";"0142";;"ARS-SUR-FORMANS";"01480";"1347"
"19";"01022";"01";"0109";;"ARTEMARE";"01510";"1151"
"20";"01023";"01";"0102";;"ASNIERES-SUR-SAONE";"01570";"74"
"21";"01024";"01";"0121";;"ATTIGNAT";"01340";"2916"
"22";"01025";"01";"0102";;"BAGE-LA-VILLE";"01380";"3065"
"23";"01026";"01";"0102";;"BAGE-LE-CHATEL";"01380";"869"
"24";"01027";"01";"0120";;"BALAN";"01360";"2446"
"25";"01028";"01";"0130";;"BANEINS";"01990";"590"
"26";"01029";"01";"0111";;"BEAUPONT";"01270";"609"
"27";"01030";"01";"0134";;"BEAUREGARD";"01480";"886"
"28";"01031";"01";"0141";;"BELLIGNAT";"01810";"3659"
"29";"01032";"01";"0120";;"BELIGNEUX";"01360";"2954"
"30";"01033";"01";"0103";;"BELLEGARDE-SUR-VALSERINE";"01200";"12052"
"31";"01034";"01";"0104";;"BELLEY";"01300";"9186"
"32";"01035";"01";"0123";;"BELLEYDOUX";"01130";"326"
"33";"01036";"01";"0109";;"BELMONT-LUTHEZIEU";"01260";"517"
"34";"01037";"01";"0118";;"BENONCES";"01470";"282"
"35";"01038";"01";"0111";;"BENY";"01370";"757"
"36";"01039";"01";"0109";;"BEON";"01350";"364"
"37";"01040";"01";"0121";;"BEREZIAT";"01340";"426"
"38";"01041";"01";"0101";;"BETTANT";"01500";"738"
"39";"01042";"01";"0127";;"BEY";"01290";"254"
"40";"01043";"01";"0140";;"BEYNOST";"01700";"4470"
"41";"01044";"01";"0103";;"BILLIAT";"01200";"461"
"42";"01045";"01";"0135";;"BIRIEUX";"01330";"227"
"43";"01046";"01";"0110";;"BIZIAT";"01290";"798"
"44";"01047";"01";"0117";;"BLYES";"01150";"911"
"45";"01049";"01";"0120";"(LA)";"BOISSE";"01120";"2961"
"46";"01050";"01";"0126";;"BOISSEY";"01190";"273"
"47";"01051";"01";"0116";;"BOLOZON";"01450";"98"
"48";"01052";"01";"0135";;"BOULIGNEUX";"01330";"318"
"49";"01053";"01";"0199";;"BOURG-EN-BRESSE";"01000";"41683"
"50";"01054";"01";"0119";;"BOURG-SAINT-CHRISTOPHE";"01800";"1165"
"51";"01056";"01";"0124";;"BOYEUX-SAINT-JEROME";"01640";"315"
"52";"01057";"01";"0126";;"BOZ";"01190";"494"
"53";"01058";"01";"0104";;"BREGNIER-CORDON";"01300";"813"
"54";"01059";"01";"0109";;"BRENAZ";"01260";"96"
"55";"01060";"01";"0106";;"BRENOD";"01110";"557"
"56";"01061";"01";"0104";;"BRENS";"01300";"1107"
"57";"01062";"01";"0120";;"BRESSOLLES";"01360";"727"
"58";"01063";"01";"0122";;"BRION";"01460";"520"
"59";"01064";"01";"0118";;"BRIORD";"01470";"888"
"60";"01065";"01";"0143";;"BUELLAS";"01310";"1668"
"61";"01066";"01";"0136";"(LA)";"BURBANCHE";"01510";"71"
"62";"01067";"01";"0116";;"CEIGNES";"01430";"269"
"63";"01068";"01";"0124";;"CERDON";"01450";"768"
"64";"01069";"01";"0125";;"CERTINES";"01240";"1476"
"65";"01071";"01";"0114";;"CESSY";"01170";"3939"
"66";"01072";"01";"0107";;"CEYZERIAT";"01250";"2739"
"67";"01073";"01";"0136";;"CEYZERIEU";"01350";"943"
"68";"01074";"01";"0108";;"CHALAMONT";"01320";"2323"
"69";"01075";"01";"0130";;"CHALEINS";"01480";"1204"
"70";"01076";"01";"0128";;"CHALEY";"01230";"124"
"71";"01077";"01";"0124";;"CHALLES-LA-MONTAGNE";"01450";"191"
"72";"01078";"01";"0112";;"CHALLEX";"01630";"1200"
"73";"01079";"01";"0109";;"CHAMPAGNE-EN-VALROMEY";"01260";"788"
"74";"01080";"01";"0106";;"CHAMPDOR";"01110";"475"
"75";"01081";"01";"0103";;"CHAMPFROMIER";"01410";"695"
"76";"01082";"01";"0131";;"CHANAY";"01420";"634"
"77";"01083";"01";"0130";;"CHANEINS";"01990";"851"
"78";"01084";"01";"0110";;"CHANOZ-CHATENAY";"01400";"697"
"79";"01085";"01";"0135";"(LA)";"CHAPELLE-DU-CHATELARD";"01240";"330"
"80";"01087";"01";"0122";;"CHARIX";"01130";"315"
"81";"01088";"01";"0119";;"CHARNOZ-SUR-AIN";"01800";"922"
"82";"01089";"01";"0101";;"CHATEAU-GAILLARD";"01500";"1793"
"83";"01090";"01";"0108";;"CHATENAY";"01320";"341"
"84";"01091";"01";"0103";;"CHATILLON-EN-MICHAILLE";"01200";"3183"
"85";"01092";"01";"0108";;"CHATILLON-LA-PALUD";"01320";"1613"
"86";"01093";"01";"0110";;"CHATILLON-SUR-CHALARONNE";"01400";"5110"
"87";"01094";"01";"0126";;"CHAVANNES-SUR-REYSSOUZE";"01190";"680"
"88";"01095";"01";"0133";;"CHAVANNES-SUR-SURAN";"01250";"661"
"89";"01096";"01";"0110";;"CHAVEYRIAT";"01660";"943"
"90";"01097";"01";"0109";;"CHAVORNAY";"01510";"199"
"91";"01098";"01";"0104";;"CHAZEY-BONS";"01300";"743"
"92";"01099";"01";"0117";;"CHAZEY-SUR-AIN";"01150";"1459"
"93";"01100";"01";"0136";;"CHEIGNIEU-LA-BALME";"01510";"158"
"94";"01101";"01";"0106";;"CHEVILLARD";"01430";"175"
"95";"01102";"01";"0126";;"CHEVROUX";"01190";"902"
"96";"01103";"01";"0114";;"CHEVRY";"01170";"1266"
"97";"01104";"01";"0112";;"CHEZERY-FORENS";"01200";"433"
"98";"01105";"01";"0142";;"CIVRIEUX";"01390";"1418"
"99";"01106";"01";"0107";;"CIZE";"01250";"169"
"100";"01107";"01";"0128";;"CLEYZIEU";"01230";"133"
"101";"01108";"01";"0111";;"COLIGNY";"01270";"1177"
"102";"01109";"01";"0112";;"COLLONGES";"01550";"1853"
"103";"01110";"01";"0104";;"COLOMIEU";"01300";"115"
"104";"01111";"01";"0128";;"CONAND";"01230";"108"
"105";"01112";"01";"0106";;"CONDAMINE";"01430";"434"
"106";"01113";"01";"0110";;"CONDEISSIAT";"01400";"774"
"107";"01114";"01";"0112";;"CONFORT";"01200";"530"
"108";"01115";"01";"0121";;"CONFRANCON";"01310";"1136"
"109";"01116";"01";"0136";;"CONTREVOZ";"01300";"552"
"110";"01117";"01";"0104";;"CONZIEU";"01300";"133"
"111";"01118";"01";"0131";;"CORBONOD";"01420";"1189"
"112";"01119";"01";"0106";;"CORCELLES";"01110";"245"
"113";"01121";"01";"0115";;"CORLIER";"01110";"123"
"114";"01122";"01";"0115";;"CORMARANCHE-EN-BUGEY";"01110";"930"
"115";"01123";"01";"0127";;"CORMORANCHE-SUR-SAONE";"01290";"1068"
"116";"01124";"01";"0129";;"CORMOZ";"01560";"595"
"117";"01125";"01";"0133";;"CORVEISSIAT";"01250";"598"
"118";"01127";"01";"0133";;"COURMANGOUX";"01370";"507"
"119";"01128";"01";"0129";;"COURTES";"01560";"265"
"120";"01129";"01";"0108";;"CRANS";"01320";"280"
"121";"01130";"01";"0121";;"CRAS-SUR-REYSSOUZE";"01340";"1222"
"122";"01133";"01";"0104";;"CRESSIN-ROCHEFORT";"01350";"372"
"123";"01134";"01";"0127";;"CROTTET";"01620";"1777"
"124";"01135";"01";"0114";;"CROZET";"01170";"1906"
"125";"01136";"01";"0127";;"CRUZILLES-LES-MEPILLAT";"01290";"822"
"126";"01138";"01";"0131";;"CULOZ";"01350";"2974"
"127";"01139";"01";"0129";;"CURCIAT-DONGALON";"01560";"461"
"128";"01140";"01";"0121";;"CURTAFOND";"01310";"703"
"129";"01141";"01";"0136";;"CUZIEU";"01300";"421"
"130";"01142";"01";"0120";;"DAGNEUX";"01120";"4066"
"131";"01143";"01";"0114";;"DIVONNE-LES-BAINS";"01220";"8138"
"132";"01144";"01";"0102";;"DOMMARTIN";"01380";"843"
"133";"01145";"01";"0125";;"DOMPIERRE-SUR-VEYLE";"01240";"1234"
"134";"01146";"01";"0110";;"DOMPIERRE-SUR-CHALARONNE";"01400";"387"
"135";"01147";"01";"0111";;"DOMSURE";"01270";"484"
"136";"01148";"01";"0123";;"DORTAN";"01590";"2130"
"137";"01149";"01";"0101";;"DOUVRES";"01500";"980"
"138";"01150";"01";"0107";;"DROM";"01250";"206"
"139";"01151";"01";"0125";;"DRUILLAT";"01160";"1156"
"140";"01152";"01";"0123";;"ECHALLON";"01130";"804"
"141";"01153";"01";"0114";;"ECHENEVEX";"01170";"1652"
"142";"01154";"01";"0121";;"ETREZ";"01340";"819"
"143";"01155";"01";"0128";;"EVOSGES";"01230";"138"
"144";"01156";"01";"0119";;"FARAMANS";"01800";"675"
"145";"01157";"01";"0130";;"FAREINS";"01480";"2142"
"146";"01158";"01";"0112";;"FARGES";"01550";"863"
"147";"01159";"01";"0102";;"FEILLENS";"01570";"3219"
"148";"01160";"01";"0113";;"FERNEY-VOLTAIRE";"01210";"8197"
"149";"01162";"01";"0136";;"FLAXIEU";"01350";"63"
"150";"01163";"01";"0121";;"FOISSIAT";"01340";"1916"
"151";"01165";"01";"0130";;"FRANCHELEINS";"01090";"1293"
"152";"01166";"01";"0134";;"FRANS";"01480";"2039"
"153";"01167";"01";"0132";;"GARNERANS";"01140";"662"
"154";"01169";"01";"0132";;"GENOUILLEUX";"01090";"600"
"155";"01170";"01";"0122";;"BEARD-GEOVREISSIAT";"01460";"971"
"156";"01171";"01";"0141";;"GEOVREISSET";"01100";"943"
"157";"01172";"01";"0133";;"GERMAGNAT";"01250";"145"
"158";"01173";"01";"0114";;"GEX";"01170";"10137"
"159";"01174";"01";"0103";;"GIRON";"01130";"160"
"160";"01175";"01";"0126";;"GORREVOD";"01190";"796"
"161";"01176";"01";"0106";"(LE)";"GRAND-ABERGEMENT";"01260";"112"
"162";"01177";"01";"0107";;"GRAND-CORENT";"01250";"163"
"163";"01179";"01";"0127";;"GRIEGES";"01290";"1907"
"164";"01180";"01";"0114";;"GRILLY";"01220";"761"
"165";"01181";"01";"0141";;"GROISSIAT";"01810";"1173"
"166";"01182";"01";"0118";;"GROSLEE";"01680";"356"
"167";"01183";"01";"0132";;"GUEREINS";"01090";"1308"
"168";"01184";"01";"0107";;"HAUTECOURT-ROMANECHE";"01250";"780"
