"name","groups"
"admin-root-conf-account-config","ADMINS|ACCO|"
"account-root","ADMINS|MNGMT|ACCO|"
"admin-root-batch-accounting","ADMINS|MNGMT|ACCO|"
"account-root-accounting-accounting-exports","ADMINS|MNGMT|ACCO|"
"account-root-accounting","ADMINS|MNGMT|ACCO|"
"account-root-accounting-accounting-reports","ADMINS|MNGMT|ACCO|"
"top-relations-partners","ADMINS|MNGMT|ACCO|"
"contact-root-partner","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"account-conf-financial-account-type","ADMINS|MNGMT|ACCO|"
"menu-view-action-menus","ADMINS|MNGMT|"
"menu-wkf-nodes-root-NodeTask","ADMINS|MNGMT|"
"menu-wkf-NodeTask","ADMINS|MNGMT|"
"top-menu-crm-activities","ADMINS|MNGMT|"
"contact-conf-address","ADMINS|MNGMT|"
"menu-admin","ADMINS|"
"alarm-conf-alarm-engine-batch","ADMINS|MNGMT|"
"alarm-conf-alarm-engine","ADMINS|MNGMT|"
"alarm-root","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-view-actions","ADMINS|MNGMT|"
"alarm-root-alarm-other","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"mail-root-email","ADMINS|MNGMT|ACCO|"
"mail-root-mail","ADMINS|MNGMT|ACCO|"
"menu-view-charts","ADMINS|MNGMT|"
"mail-root-email-all","ADMINS|MNGMT|ACCO|"
"mail-root-mail-all","ADMINS|MNGMT|ACCO|"
"menu-view-menus","ADMINS|MNGMT|"
"alarm-conf-message","ADMINS|MNGMT|"
"menu-meta-model","ADMINS|MNGMT|"
"menu-meta-module","ADMINS|MNGMT|"
"menu-view-selects","ADMINS|MNGMT|"
"admin-conf-general-status","ADMINS|MNGMT|"
"marketing-root-trackers-all","ADMINS|MNGMT|"
"menu-view-translations","ADMINS|MNGMT|"
"menu-view-all","ADMINS|MNGMT|"
"account-conf-analytic","ADMINS|MNGMT|ACCO|"
"account-conf-analytic-account","ADMINS|MNGMT|ACCO|"
"account-conf-analytic-axis","ADMINS|MNGMT|ACCO|"
"account-conf-analytic-journal","ADMINS|MNGMT|ACCO|"
"menu-meta-auth-profiles","ADMINS|MNGMT|"
"contact-conf-invoice-rib","ADMINS|MNGMT|SALE|PURCH|ACCO|"
"mail-root-mail-reject-import","ADMINS|MNGMT|ACCO|"
"admin-root-batch-base","ADMINS|MNGMT|"
"admin-root-batch","ADMINS|MNGMT|"
"manufacturing-root-bill-of-material","ADMINS|MNGMT|OPTS"
"business-root-project-all-business","ADMINS|MNGMT|SALE|ACCO|OPTS"
"business-root-project","ADMINS|MNGMT|SALE|ACCO|OPTS"
"business-root","ADMINS|MNGMT|SALE|ACCO|OPTS"
"crm-conf-calendar-configuration","ADMINS|MNGMT|"
"crm-conf-calendar","ADMINS|MNGMT|"
"crm-root-create-call","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"crm-root-call","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"hr-root-recruitment-candidate","ADMINS|MNGMT|HRSC|"
"admin-root-organisation-territory-canton","ADMINS|MNGMT|"
"account-root-periodic-processing-cash-register-closure","ADMINS|MNGMT|ACCO|"
"mail-root-email-cash-register","ADMINS|MNGMT|ACCO|"
"mail-root-mail-cash-register","ADMINS|MNGMT|ACCO|"
"account-conf-cash-register","ADMINS|MNGMT|ACCO|"
"account-conf-financial-accounting-plan","ADMINS|MNGMT|ACCO|"
"admin-root-organisation-territory-commune","ADMINS|MNGMT|"
"menu-status-comments","ADMINS|MNGMT|"
"admin-root-user-company","ADMINS|MNGMT|"
"contact-root","ADMINS|MNGMT|ACCO|"
"menu-googleappsconfig","ADMINS|MNGMT|"
"stock-root-conf","ADMINS|MNGMT|OPTS"
"admin-conf-general","ADMINS|MNGMT|"
"marketing-root-conf","ADMINS|MNGMT|"
"alarm-conf","ADMINS|MNGMT|"
"product-conf","ADMINS|MNGMT|SALE|PURCH|OPTS"
"contact-conf","ADMINS|MNGMT|ACCO|"
"debt-recovery-root-conf","ADMINS|MNGMT|ACCO|"
"mail-conf","ADMINS|MNGMT|"
"crm-conf","ADMINS|MNGMT|SALE|"
"account-conf","ADMINS|MNGMT|ACCO|"
"mail-root-email-conf","ADMINS|MNGMT|"
"hr-root-conf","ADMINS|MNGMT|HRSC|"
"menu-config","ADMINS|MNGMT|SALE|"
"manufacturing-conf","ADMINS|MNGMT|OPTS"
"menu-wkf-configurations","ADMINS|MNGMT|"
"contact-root-contact","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"top-relations-contacts","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"admin-root-organisation-country","ADMINS|MNGMT|"
"top-menu-utility","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"crm-root-create","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"top-menu-activity-create-call","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"top-menu-create-contact","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|"
"account-root-payments-new-cust-payment","ADMINS|MNGMT|ACCO|"
"account-root-payments-new-cust-refund","ADMINS|MNGMT|ACCO|"
"menu-consultant-create-expense","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"top-new-partner-individual","ADMINS|MNGMT|SALE|PURCH|"
"top-menu-create-lead","ADMINS|MNGMT|SALE|"
"menu-consultant-create-leave-request","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"top-menu-activity-create-meeting","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"top-menu-create-opportunity","ADMINS|MNGMT|SALE|"
"top-menu-create-partner","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|"
"top-menu-create-so","ADMINS|MNGMT|SALE|"
"account-root-payments-new-suppl-payment","ADMINS|MNGMT|ACCO|"
"account-root-payments-new-suppl-refund","ADMINS|MNGMT|ACCO|"
"top-menu-activity-create-task","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-consultant-create-timesheet","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"crm-root","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"admin-root-batch-crm","ADMINS|MNGMT|SALE|"
"menu-crm-dashboards","ADMINS|MNGMT|SALE|"
"admin-conf-general-currency","ADMINS|MNGMT|"
"invoice-root-sale-custinvoices","ADMINS|MNGMT|SALE|ACCO|"
"top-invoice-custinvoices","ADMINS|MNGMT|SALE|ACCO|"
"top-stock-cust-deliveries","ADMINS|MNGMT|SALE|OPTS"
"stock-root-custdeliveries","ADMINS|MNGMT|SALE|OPTS"
"invoice-root-sale-custrefunds","ADMINS|MNGMT|SALE|ACCO|"
"top-invoice-custrefunds","ADMINS|MNGMT|SALE|ACCO|"
"menu-dashboards","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"account-root-debt-recovery","ADMINS|MNGMT|ACCO|"
"admin-root-organisation-territory-department","ADMINS|MNGMT|"
"menu-googledirectory","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-googledocument","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-createTemplate","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"mail-root-email-draft","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"mail-root-email-conf-mail-account","ADMINS|MNGMT|"
"mail-root-email-conf-email-address","ADMINS|MNGMT|"
"mail-root-email-box","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-wkf-intermediate-email-message-event","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"mail-conf-mail-model-tag","ADMINS|MNGMT|"
"mail-conf-email-model","ADMINS|MNGMT|"
"mail-root","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"hr-root-employee","ADMINS|MNGMT|HRSC|"
"menu-wkf-end-event","ADMINS|MNGMT|"
"admin-root","ADMINS|MNGMT|"
"crm-conf-category","ADMINS|MNGMT|SALE|"
"portal.crm.event.graph","ADMINS|MNGMT|SALE|"
"menu-wkf-nodes-root-event","ADMINS|MNGMT|"
"menu-wkf-exclusive-gateway","ADMINS|MNGMT|"
"hr-root-paymentforms-expenses","ADMINS|MNGMT|ACCO|HRSC|"
"hr-root-validationforms-Expenses-commercial","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"hr-root-validationforms-expenses-manager","ADMINS|MNGMT|ACCO|HRSC|"
"menu-wkf-intermediate-facebook-event","ADMINS|MNGMT|"
"menu-wkf-nodes-root-filter","ADMINS|MNGMT|"
"menu-wkf-filter-event","ADMINS|MNGMT|"
"account-conf-financial","ADMINS|MNGMT|ACCO|"
"account-conf-financial-account","ADMINS|MNGMT|ACCO|"
"account-conf-financial-account-management","ADMINS|MNGMT|ACCO|"
"contact-conf-fiscal-position","ADMINS|MNGMT|ACCO|"
"account-conf-financial-year","ADMINS|MNGMT|ACCO|"
"menu-wkf-nodes-root-gateway","ADMINS|MNGMT|"
"admin-root-general","ADMINS|MNGMT|"
"admin-root-general-general","ADMINS|MNGMT|"
"menu-googleAppsMenu-all","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-auth-groups","ADMINS|"
"hr-root-history","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"hr-root","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-human-resources-dashboard","ADMINS|MNGMT|HRSC|"
"admin-root-import","ADMINS|MNGMT|"
"mail-root-email-inbox","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-wkf-inclusive-gateway","ADMINS|MNGMT|"
"admin-root-indicator-generator","ADMINS|MNGMT|"
"admin-root-indicator-generator-grouping","ADMINS|MNGMT|"
"hr-root-inputforms","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"menu-wkf-instances","ADMINS|MNGMT|"
"top-stock-internal-moves","ADMINS|MNGMT|OPTS"
"stock-root-internal","ADMINS|MNGMT|OPTS"
"menu-wkf-intermediate-internet-site-event","ADMINS|MNGMT|"
"stock-root-inventories-draft","ADMINS|MNGMT|OPTS"
"invoice-root","ADMINS|MNGMT|SALE|PURCH|ACCO|"
"top-invoice","ADMINS|MNGMT|SALE|PURCH|ACCO|"
"account-conf-financial-journal","ADMINS|MNGMT|ACCO|"
"account-conf-financial-journal-type","ADMINS|MNGMT|ACCO|"
"admin-conf-general-keyword","ADMINS|MNGMT|"
"portal.crm.lead.graph","ADMINS|MNGMT|SALE|"
"crm-root-lead","ADMINS|MNGMT|SALE|"
"top-prospection-leads","ADMINS|MNGMT|SALE|"
"crm-conf-lead-source","ADMINS|MNGMT|SALE|"
"hr-root-conf-task-leave-request-reason","ADMINS|MNGMT|HRSC|"
"hr-root-validationforms-leave-request","ADMINS|MNGMT|HRSC|"
"menu-wkf-intermediate-linkedin-event","ADMINS|MNGMT|"
"manufacturing-conf-machine","ADMINS|MNGMT|OPTS"
"menu-wkf-intermediate-mail-event","ADMINS|MNGMT|"
"marketing-root-mailing-list","ADMINS|MNGMT|SALE|"
"mail-conf-mail-model","ADMINS|MNGMT|"
"manufacturing-root","ADMINS|MNGMT|OPTS"
"menu-manufacturing-dashboard","ADMINS|MNGMT|OPTS"
"manufacturing-root-manuf-order","ADMINS|MNGMT|OPTS"
"manufacturing-root-prod-process","ADMINS|MNGMT|OPTS"
"marketing-root","ADMINS|MNGMT|SALE|"
"marketing-root-campaign","ADMINS|MNGMT|SALE|"
"crm-root-create-meeting","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"crm-conf-participant","ADMINS|MNGMT|SALE|"
"crm-root-meeting","ADMINS|MNGMT|SALE|PURCH|ACCO|HRSC|OPTS"
"crm-conf-meeting-type","ADMINS|MNGMT|SALE|"
"menu-wkf-nodes-root-message","ADMINS|MNGMT|"
"stock-root-conf-min-stock-rules","ADMINS|MNGMT|OPTS"
