"name";"stockLocation.importId";"product.importId";"minQty";"idealQty";"maxQty";"reOrderQty";"useIdealQty";"useMaxQty";"useCaseSelect";"orderAlertSelect";"typeSelect"
"Classic server";1;110;5;5;1000;15;"true";"true";1;3;0
"High Performance Server";1;111;1;1;1000;5;"true";"true";1;3;0
"InkJet Printer";1;120;10;10;1000;20;"true";"true";1;2;0
"Laser Printer";1;121;5;5;1000;15;"true";"true";1;2;0
"LED Screen HD 22 inch";1;130;3;3;1000;9;"true";"true";1;2;0
"LED Screen HD 24 inch";1;131;5;5;1000;15;"true";"true";1;2;0
"Hard Disk SATA 1To";1;200;10;10;1000;30;"true";"true";1;2;0
"Hard Disk SSD 100 Go";1;201;5;5;1000;20;"true";"true";1;2;0
"Processor 4x3,4 GHz";1;210;10;10;1000;20;"true";"true";1;2;0
"Processor 6x3,2 GHz";1;211;5;5;1000;15;"true";"true";1;2;0
"Rack Casing";1;220;25;25;1000;60;"true";"true";1;2;0
"Memory 8 Go DDR3";1;230;10;10;1000;30;"true";"true";1;2;0
"Memory 16 Go DDR3";1;231;5;5;1000;15;"true";"true";1;2;0
"Classic MotherBoard";1;240;10;10;1000;30;"true";"true";1;2;0
"High Performance MotherBoard";1;241;5;5;1000;15;"true";"true";1;2;0
"Power Supply";1;250;30;30;1000;60;"true";"true";1;2;0
"Cables set";1;300;40;40;1000;100;"true";"true";2;1;1
"Screws set";1;301;40;40;1000;100;"true";"true";2;1;1
"Ink Cartridge";1;302;20;20;1000;80;"true";"true";1;2;0
"Laser Cartridge";1;303;20;20;1000;80;"true";"true";1;2;0
"Paper ream 500 Sheets A4 Standard 80 g";1;304;10;10;1000;50;"true";"true";1;2;0
"Inkball Pen medium (Box 50)";1;305;2;2;1000;20;"true";"true";2;1;1
"Ground coffee 250g";1;306;4;4;1000;30;"true";"true";2;1;1
"Bottle of Water (1,5L)";1;307;12;12;1000;48;"true";"true";2;1;1
