"inventory.importId";"product.importId";"currentQty";"realQty";"description";"productVariant_importId";"trackingNumber.importId"
1;111;"0.00";"300.00";;;
1;110;"0.00";"35.00";;;
1;120;"0.00";"40.00";;;
1;121;"0.00";"300.00";;;
1;130;"0.00";"150.00";;;
1;131;"0.00";"100.00";;;
1;200;"0.00";"100.00";;;
1;201;"0.00";"50.00";;;
1;210;"0.00";"80.00";;;
1;211;"0.00";"70.00";;;
1;220;"0.00";"300.00";;;
1;230;"0.00";"260.00";;;
1;231;"0.00";"190.00";;;
1;240;"0.00";"130.00";;;
1;241;"0.00";"90.00";;;
1;250;"0.00";"130.00";;;
1;300;"0.00";"500.00";;;
1;301;"0.00";"500.00";;;
1;302;"0.00";"600.00";;;
1;303;"0.00";"400.00";;;
1;304;"0.00";"290.00";;;
1;305;"0.00";"70.00";;;
1;306;"0.00";"100.00";;;
1;307;"0.00";"200.00";;;
