"code";"wording";"supplementaryUnit";"parentCode"
"01";"CHAPTER 1 - LIVE ANIMALS";"";""
"0101";"Live horses, asses, mules and hinnies";"";"01"
"0101 21 00";"Live horses, asses, mules and hinnies > Horses > Pure-bred breeding animals";"p/st";"0101"
"0101 29";"Live horses, asses, mules and hinnies > Horses > Other";"";"0101"
"0101 29 10";"Live horses, asses, mules and hinnies > Horses > Other > For slaughter";"p/st";"0101 29"
"0101 29 90";"Live horses, asses, mules and hinnies > Horses > Other > Other";"p/st";"0101 29"
"0101 30 00";"Live horses, asses, mules and hinnies > Asses";"p/st";"0101"
"0101 90 00";"Live horses, asses, mules and hinnies > Other";"p/st";"0101"
"0102";"Live bovine animals";"";"01"
"0102 21";"Live bovine animals > Cattle > Pure-bred breeding animals";"";"0102"
"0102 21 10";"Live bovine animals > Cattle > Pure-bred breeding animals > Heifers (female bovines that have never calved)";"p/st";"0102 21"
"0102 21 30";"Live bovine animals > Cattle > Pure-bred breeding animals > Cows";"p/st";"0102 21"
"0102 21 90";"Live bovine animals > Cattle > Pure-bred breeding animals > Other";"p/st";"0102 21"
"0102 29";"Live bovine animals > Cattle > Other";"";"0102"
"0102 29 05";"Live bovine animals > Cattle > Other > Of the sub-genus Bibos or of the sub-genus Poephagus";"p/st";"0102 29"
"0102 29 10";"Live bovine animals > Cattle > Other > Other > Of a weight not exceeding 80 kg";"p/st";"0102 29"
"0102 29 21";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 80 kg but not exceeding 160 kg > For slaughter";"p/st";"0102 29"
"0102 29 29";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 80 kg but not exceeding 160 kg > Other";"p/st";"0102 29"
"0102 29 41";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 160 kg but not exceeding 300 kg > For slaughter";"p/st";"0102 29"
"0102 29 49";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 160 kg but not exceeding 300 kg > Other";"p/st";"0102 29"
"0102 29 51";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 300 kg > Heifers (female bovines that have never calved) > For slaughter";"p/st";"0102 29"
"0102 29 59";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 300 kg > Heifers (female bovines that have never calved) > Other";"p/st";"0102 29"
"0102 29 61";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 300 kg > Cows > For slaughter";"p/st";"0102 29"
"0102 29 69";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 300 kg > Cows > Other";"p/st";"0102 29"
"0102 29 91";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 300 kg > Other > For slaughter";"p/st";"0102 29"
"0102 29 99";"Live bovine animals > Cattle > Other > Other > Of a weight exceeding 300 kg > Other > Other";"p/st";"0102 29"
"0102 31 00";"Live bovine animals > Buffalo > Pure-bred breeding animals";"p/st";"0102"
"0102 39";"Live bovine animals > Buffalo > Other";"";"0102"
"0102 39 10";"Live bovine animals > Buffalo > Other > Domestic species";"p/st";"0102 39"
"0102 39 90";"Live bovine animals > Buffalo > Other > Other";"p/st";"0102 39"
"0102 90";"Live bovine animals > Other";"";"0102"
"0102 90 20";"Live bovine animals > Other > Pure-bred breeding animals";"p/st";"0102 90"
"0102 90 91";"Live bovine animals > Other > Other > Domestic species";"p/st";"0102 90"
"0102 90 99";"Live bovine animals > Other > Other > Other";"p/st";"0102 90"
"0103";"Live swine";"";"01"
"0103 10 00";"Live swine > Pure-bred breeding animals";"p/st";"0103"
"0103 91";"Live swine > Other > Weighing less than 50 kg";"";"0103"
"0103 91 10";"Live swine > Other > Weighing less than 50 kg > Domestic species";"p/st";"0103 91"
"0103 91 90";"Live swine > Other > Weighing less than 50 kg > Other";"p/st";"0103 91"
"0103 92";"Live swine > Other > Weighing 50 kg or more";"";"0103"
"0103 92 11";"Live swine > Other > Weighing 50 kg or more > Domestic species > Sows having farrowed at least once, of a weight of not less than 160 kg";"p/st";"0103 92"
"0103 92 19";"Live swine > Other > Weighing 50 kg or more > Domestic species > Other";"p/st";"0103 92"
"0103 92 90";"Live swine > Other > Weighing 50 kg or more > Other";"p/st";"0103 92"
"0104";"Live sheep and goats";"";"01"
"0104 10";"Live sheep and goats > Sheep";"";"0104"
"0104 10 10";"Live sheep and goats > Sheep > Pure-bred breeding animals";"p/st";"0104 10"
"0104 10 30";"Live sheep and goats > Sheep > Other > Lambs (up to a year old)";"p/st";"0104 10"
"0104 10 80";"Live sheep and goats > Sheep > Other > Other";"p/st";"0104 10"
"0104 20";"Live sheep and goats > Goats";"";"0104"
"0104 20 10";"Live sheep and goats > Goats > Pure-bred breeding animals";"p/st";"0104 20"
"0104 20 90";"Live sheep and goats > Goats > Other";"p/st";"0104 20"
"0105";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"";"01"
"0105 11";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Fowls of the species Gallus domesticus";"";"0105"
"0105 11 11";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Fowls of the species Gallus domesticus > Grandparent and parent female chicks > Laying stocks";"p/st";"0105 11"
"0105 11 19";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Fowls of the species Gallus domesticus > Grandparent and parent female chicks > Other";"p/st";"0105 11"
"0105 11 91";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Fowls of the species Gallus domesticus > Other > Laying stocks";"p/st";"0105 11"
"0105 11 99";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Fowls of the species Gallus domesticus > Other > Other";"p/st";"0105 11"
"0105 12 00";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Turkeys";"p/st";"0105"
"0105 13 00";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Ducks";"p/st";"0105"
"0105 14 00";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Geese";"p/st";"0105"
"0105 15 00";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Weighing not more than 185 g > Guinea fowls";"p/st";"0105"
"0105 94 00";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Other > Fowls of the species Gallus domesticus";"p/st";"0105"
"0105 99";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Other > Other";"";"0105"
"0105 99 10";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Other > Other > Ducks";"p/st";"0105 99"
"0105 99 20";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Other > Other > Geese";"p/st";"0105 99"
"0105 99 30";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Other > Other > Turkeys";"p/st";"0105 99"
"0105 99 50";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls > Other > Other > Guinea fowls";"p/st";"0105 99"
"0106";"Other live animals";"";"01"
"0106 11 00";"Other live animals > Mammals > Primates";"p/st";"0106"
"0106 12 00";"Other live animals > Mammals > Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)";"p/st";"0106"
"0106 13 00";"Other live animals > Mammals > Camels and other camelids (Camelidae)";"p/st";"0106"
"0106 14";"Other live animals > Mammals > Rabbits and hares";"";"0106"
"0106 14 10";"Other live animals > Mammals > Rabbits and hares > Domestic rabbits";"p/st";"0106 14"
"0106 14 90";"Other live animals > Mammals > Rabbits and hares > Other";"-";"0106 14"
"0106 19 00";"Other live animals > Mammals > Other";"-";"0106"
"0106 20 00";"Other live animals > Reptiles (including snakes and turtles)";"p/st";"0106"
"0106 31 00";"Other live animals > Birds > Birds of prey";"p/st";"0106"
"0106 32 00";"Other live animals > Birds > Psittaciformes (including parrots, parakeets, macaws and cockatoos)";"p/st";"0106"
"0106 33 00";"Other live animals > Birds > Ostriches; emus (Dromaius novaehollandiae)";"p/st";"0106"
"0106 39";"Other live animals > Birds > Other";"";"0106"
"0106 39 10";"Other live animals > Birds > Other > Pigeons";"p/st";"0106 39"
"0106 39 80";"Other live animals > Birds > Other > Other";"-";"0106 39"
"0106 41 00";"Other live animals > Insects > Bees";"-";"0106"
"0106 49 00";"Other live animals > Insects > Other";"-";"0106"
"0106 90 00";"Other live animals > Other";"-";"0106"
"02";"CHAPTER 2 - MEAT AND EDIBLE MEAT OFFAL";"";""
"0201";"Meat of bovine animals, fresh or chilled";"";"02"
"0201 10 00";"Meat of bovine animals, fresh or chilled > Carcases and half-carcases";"-";"0201"
