"importId","importOrigin","product_importId","unit_importId","qty","lastInventoryDateT","lastInventoryRealQty","avgPrice","rack","stockLocation_importId","detailsStockLocation_importId","trackingNumber_importId"
"1",,"0","1","63.0000000000",,"0E-10","0E-10",,"1",,
"2",,"1","1","198.0000000000",,"0E-10","0E-10","Casier test","1",,
"3",,"2","1","4.0000000000",,"0E-10","2601.0000000000",,"1",,
"4",,"4","1","0E-10",,"0E-10","0E-10",,,"1","81"
"5",,"5","1","0E-10",,"0E-10","0E-10",,"1",,
"6",,"6","1","0E-10",,"0E-10","0E-10",,"1",,
"7",,"7","1","0E-10",,"0E-10","0E-10",,"1",,
"8",,"8","1","0E-10",,"0E-10","1350.0000000000",,"1",,
"9",,"9","1","18.0000000000",,"0E-10","0E-10",,"1",,
"10",,"10","1","0E-10",,"0E-10","0E-10",,,"1","86"
"11",,"11","1","0E-10",,"0E-10","0E-10",,"1",,
"12",,"12","1","0E-10",,"0E-10","0E-10",,"1",,
"13",,"13","1","0E-10",,"0E-10","0E-10",,"1",,
"14",,"14","1","0E-10",,"0E-10","0E-10",,,"1","87"
"15",,"15","1","0E-10",,"0E-10","0E-10",,,"1","88"
"16",,"16","1","94.0000000000",,"0E-10","0E-10",,"1",,
"17",,"17","1","0E-10",,"0E-10","0E-10",,"1",,
"18",,"18","1","0E-10",,"0E-10","0E-10",,,"1","79"
"19",,"19","1","0E-10",,"0E-10","0E-10",,,"1","80"
"20",,"20","1","1.0000000000",,"0E-10","0E-10",,"1",,
"21",,"21","1","12.0000000000",,"0E-10","0E-10",,"1",,
"22",,"22","37","9.8000000000","2025-10-20T17:11:57.722294","10.0000000000","0E-10",,"1",,
"23",,"23","1","0E-10",,"0E-10","0E-10",,,"1","78"
"24",,"24","1","0E-10",,"0E-10","0E-10",,"1",,
"25",,"25","1","0E-10",,"0E-10","0E-10",,"1",,
"26",,"26","1","0E-10",,"0E-10","0E-10",,"1",,
"27",,"27","1","0E-10",,"0E-10","0E-10",,,"1","76"
"28",,"28","1","0E-10",,"0E-10","0E-10",,,"1","77"
"29",,"29","1","0E-10",,"0E-10","0E-10",,,"1","85"
"30",,"30","1","0E-10",,"0E-10","0E-10",,"1",,
