"importId";"tax_code";"startDate";"endDate";"value"
1;"N_C";"2000-01-01";"2013-12-31";19.6
2;"R1_C";"2012-01-01";"2013-12-31";7
3;"R2_C";"2000-01-01";;5.5
4;"U_C";"2000-01-01";;2.1
5;"X_C";"2000-01-01";;0
6;"N_D";"2000-01-01";"2013-12-31";19.6
7;"R1_D";"2012-01-01";"2013-12-31";7
8;"R2_D";"2000-01-01";;5.5
9;"U_D";"2000-01-01";;2.1
10;"X_D";"2000-01-01";;0
11;"N_C";"2014-01-01";;20
12;"R1_C";"2014-01-01";;10
13;"N_D";"2014-01-01";;20
14;"R1_D";"2014-01-01";;10
15;"UE_X_C";"2000-01-01";;0
16;"EXP_X_C";"2000-01-01";;0
17;"UE_N_D";"2000-01-01";"2013-12-31";19.6
18;"UE_N_D";"2014-01-01";;20
19;"UE_R1_D";"2012-01-01";"2013-12-31";7.0
20;"UE_R1_D";"2014-01-01";;10
21;"UE_R2_D";"2000-01-01";;5.5
22;"UE_U_D";"2000-01-01";;2.1
23;"UE_X_D";"2000-01-01";;0
24;"IMP_X_D";"2000-01-01";;0
