"typeSelect";"product_importId";"tax_code";"productFamily_importId";"paymentMode_importId";"saleAccount_code";"saleTaxVatSystem1Account_code";"saleTaxVatSystem2Account_code";"saleTax_code";"purchaseAccount_code";"purchaseTaxVatSystem1Account_code";"purchaseTaxVatSystem2Account_code";"purchaseTax_code";"cashAccount_code";"journal_importId";"sequence_importId";"bankDetails_importId";"purchFixedAssetsAccount_code";"purchFixedAssetsTaxVatSystem1Account_code";"purchFixedAssetsTaxVatSystem2Account_code";"fixedAssetCategory_importId";"interbankCodeLine_importId";"allowedFinDiscountTaxVatSystem1Account_code";"allowedFinDiscountTaxVatSystem2Account_code";"obtainedFinDiscountTaxVatSystem1Account_code";"obtainedFinDiscountTaxVatSystem2Account_code";"purchVatRegulationAccount_code";"saleVatRegulationAccount_code";"globalAccountingCashAccount_code";"chequeDepositJournal_code";"financialDiscountAccount_code"
2;;"N_C";;;445711;445711;445711;"N_C";;;;;;;;;;;;;;445600;445600;445600;445600;;445870;;;
2;;"R1_C";;;445712;445712;445712;"R1_C";;;;;;;;;;;;;;;;;;;445870;;;
2;;"R2_C";;;445713;445713;445713;"R2_C";;;;;;;;;;;;;;;;;;;445870;;;
2;;"U_C";;;445710;445710;445710;"U_C";;;;;;;;;;;;;;;;;;;445870;;;
2;;"X_C";;;445710;445710;445710;"X_C";;;;;;;;;;;;;;;;;;;445870;;;
2;;"N_D";;;;;;;445511;445511;445511;"N_D";;;;;445620;445620;445620;;;445700;445700;445700;445700;445860;;;;
2;;"R1_D";;;;;;;445512;445512;445512;"R1_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"R2_D";;;;;;;445513;445513;445513;"R2_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"U_D";;;;;;;445514;445514;445514;"U_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"X_D";;;;;;;445510;445510;445510;"X_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"UE_X_C";;;445200;445200;445200;"UE_X_C";;;;;;;;;;;;;;;;;;;445870;;;
2;;"EXP_X_C";;;445710;445710;445710;"EXP_X_C";;;;;;;;;;;;;;;;;;;445870;;;
2;;"UE_N_D";;;;;;;445662;445662;445662;"UE_N_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"UE_R1_D";;;;;;;445662;445662;445662;"UE_R1_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"UE_R2_D";;;;;;;445662;445662;445662;"UE_R2_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"UE_U_D";;;;;;;445662;445662;445662;"UE_U_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"UE_X_D";;;;;;;445200;445200;445200;"UE_X_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"IMP_X_D";;;;;;;445203;445203;445203;"IMP_X_D";;;;;445620;445620;445620;;;;;;;445860;;;;
2;;"UE_N_D_AUTOLIQ";;;;;;;445201;445201;445201;"UE_N_D_AUTOLIQ";;;;;445201;445201;445201;;;;;;;;;;;
2;;"UE_R1_D_AUTOLIQ";;;;;;;445202;445202;445202;"UE_R1_D_AUTOLIQ";;;;;445202;445202;445202;;;;;;;;;;;
2;;"UE_R2_D_AUTOLIQ";;;;;;;445202;445202;445202;"UE_R2_D_AUTOLIQ";;;;;445202;445202;445202;;;;;;;;;;;
2;;"UE_U_D_AUTOLIQ";;;;;;;445203;445203;445203;"UE_U_D_AUTOLIQ";;;;;445203;445203;445203;;;;;;;;;;;
