"code";"parent_code";"name";"accountType.technicalTypeSelect";"reconcileOk";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"commonPosition";"serviceType.code";"defaultTax.code";"statusSelect";"manageCutOffPeriod";"isRegulatoryAccount";"isRetrievedOnPaymentSession";"vatSystemSelect"
0;;"Racine PCG";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL1_5";0;"Comptes de bilan";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL6_7";0;"Comptes de gestion";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL1";"CL1_5";"Comptes de capitaux";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL2";"CL1_5";"Comptes d'immobilisations";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL3";"CL1_5";"Comptes de stocks et d'en-cours";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL4";"CL1_5";"Comptes de tiers";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL5";"CL1_5";"Comptes financiers";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL6";"CL6_7";"Comptes de charges";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL7";"CL6_7";"Comptes de produits";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
"CL8";0;"Comptes spéciaux";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
100;"CL1";"Capital et réserves";"view";;;;;;0;"NDAS";;1;"false";"true";"false";0
101000;100;"Capital";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
101100;101000;"Capital souscrit - non appelé";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
101200;101000;"Capital souscrit - appelé non versé";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
101300;101000;"Capital souscrit - appelé versé";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
101310;101300;"Capital non amorti";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
101320;101300;"Capital amorti";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
101800;101000;"Capital souscrit soumis à des réglementations particulières";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
104000;100;"Primes liées au capital social";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
104100;104000;"Primes d'émission";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
104200;104000;"Primes de fusion";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
104300;104000;"Primes d'apport";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
104400;104000;"Primes de conversion d'obligations en actions";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
104500;104000;"Bons de souscription d'actions";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
105000;100;"Écarts de réévaluation";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
105100;105000;"Réserve spéciale de réévaluation";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
105200;105000;"Écart de réévaluation libre";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
105300;105000;"Réserve de réévaluation";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
105500;105000;"Écarts de réévaluation (autres opérations légales)";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
105700;105000;"Autres écarts de réévaluation en France";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
105800;105000;"Autres écarts de réévaluation à l'étranger";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
106000;100;"Réserves";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
106100;106000;"Réserve légale";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106110;106100;"Réserve légale proprement dite";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106120;106100;"Plus-values nettes à long terme";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106200;106000;"Réserves indisponibles";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
106300;106000;"Réserves statutaires ou contractuelles";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
106400;106000;"Réserves réglementées";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106410;106400;"Plus-values nettes à long terme";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106430;106400;"Réserves consécutives à l'octroi de subventions d'investissement";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106480;106400;"Autres réserves réglementées";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106800;106000;"Autres réserves";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106810;106800;"Réserve de propre assureur";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
106880;106800;"Réserves diverses";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
107000;100;"Écarts d'équivalence";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
108000;100;"Compte de l'exploitant";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
109000;100;"Actionnaires: capital souscrit - non appelé";"asset";;;;;;2;"NDAS";;1;"false";"false";"false";0
110;"CL1";"Report à nouveau (solde créditeur ou débiteur)";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
110000;110;"Report à nouveau (solde créditeur)";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
119000;110;"Report à nouveau (solde débiteur)";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
120;"CL1";"Résultat de l'exercice (bénéfice ou perte)";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
120000;120;"Résultat de l'exercice (bénéfice)";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
129000;120;"Résultat de l'exercice (perte)";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
130;"CL1";"Subventions d'investissement";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
131000;130;"Subventions d'équipement";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
131100;131000;"État";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
131200;131000;"Régions";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
131300;131000;"Départements";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
131400;131000;"Communes";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
131500;131000;"Collectivités publiques";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
131600;131000;"Entreprises publiques";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
131700;131000;"Entreprises et organismes privés";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
131800;131000;"Autres";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
138000;130;"Autres subventions d'investissement (même ventilation que celle du compte 131)";"equity";;;;;;1;"NDAS";;1;"false";"false";"false";0
139000;130;"Subventions d'investissement inscrites au compte de résultat";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139100;139000;"Subventions d'équipement";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139110;139100;"Etat";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139120;139100;"Régions";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139130;139100;"Départements";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139140;139100;"Communes";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139150;139100;"Collectivités publiques";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139160;139100;"Entreprises publiques";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139170;139100;"Entreprises et organismes privés ";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139180;139100;"Autres";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
139800;139000;"Autres subventions d'investissement (même ventilation que celle du compte 1391)";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
140;"CL1";"Provisions réglementées";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
142000;140;"Provisions réglementées relatives aux immobilisations";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
142300;142000;"Provisions reconstitution des gisements miniers et pétroliers";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
142400;142000;"Provisions pour investissement (participation des salariés)";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
143000;140;"Provisions réglementées relatives aux stocks";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
143100;143000;"Hausse des prix";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
143200;143000;"Fluctuation des cours";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
144000;140;"Provisions réglementées relatives aux autres éléments de l'actif";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
145000;140;"Amortissements dérogatoires";"equity";;;;;;0;"NDAS";;1;"false";"false";"false";0
146000;140;"Provision spéciale de réévaluation";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
147000;140;"Plus-values réinvesties";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
148000;140;"Autres provisions réglementées";"equity";;;;;;2;"NDAS";;1;"false";"false";"false";0
150;"CL1";"Provisions";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
151000;150;"Provisions pour risques";"provision";;;;;;2;"NDAS";;1;"false";"false";"false";0
151100;151000;"Provisions pour litiges";"provision";;;;;;1;"NDAS";;1;"false";"false";"false";0
151200;151000;"Provisions pour garanties données aux clients";"provision";;;;;;1;"NDAS";;1;"false";"false";"false";0
151300;151000;"Provisions pour pertes sur marchés à terme";"provision";;;;;;1;"NDAS";;1;"false";"false";"false";0
151400;151000;"Provisions pour amendes et pénalités";"provision";;;;;;1;"NDAS";;1;"false";"false";"false";0
151500;151000;"Provisions pour pertes de change";"provision";;;;;;1;"NDAS";;1;"false";"false";"false";0
151600;151000;"Provisions pour pertes sur contrats";"provision";;;;;;1;"NDAS";;1;"false";"false";"false";0
151800;151000;"Autres provisions pour risques";"provision";;;;;;1;"NDAS";;1;"false";"false";"false";0
153000;150;"Provisions pour pensions et obligations similaires";"provision";;;;;;0;"NDAS";;1;"false";"false";"false";0
154000;150;"Provisions pour restructurations";"provision";;;;;;0;"NDAS";;1;"false";"false";"false";0
155000;150;"Provisions pour impôts";"provision";;;;;;2;"NDAS";;1;"false";"false";"false";0
156000;150;"Provisions pour renouvellement des immobilisations (entreprises concessionnaires)";"provision";;;;;;0;"NDAS";;1;"false";"false";"false";0
157000;150;"Provisions pour charges à répartir sur plusieurs exercices";"provision";;;;;;2;"NDAS";;1;"false";"false";"false";0
157200;157000;"Provisions pour gros entretien ou grandes révisions ";"provision";;;;;;2;"NDAS";;1;"false";"false";"false";0
158000;150;"Autres provisions pour charges";"provision";;;;;;2;"NDAS";;1;"false";"false";"false";0
158100;158000;"Provisions pour remises en état";"provision";;;;;;2;"NDAS";;1;"false";"false";"false";0
160;"CL1";"Emprunts et dettes assimilées";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
161000;160;"Emprunts obligataires convertibles";"debt";;;;;;1;"NDAS";;1;"false";"false";"false";0
163000;160;"Autres emprunts obligataires ";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
164000;160;"Emprunts auprès des établissements de crédit";"debt";;;;;;1;"NDAS";;1;"false";"false";"false";0
165000;160;"Dépôts et cautionnements reçus";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
165100;165000;"Dépôts";"debt";;;;;;0;"NDAS";;1;"false";"false";"false";0
165500;165000;"Cautionnements";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
166000;160;"Participation des salariés aux résultats";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
166100;166000;"Comptes bloqués";"debt";;;;;;1;"NDAS";;1;"false";"false";"false";0
166200;166000;"Fonds de participation";"debt";;;;;;0;"NDAS";;1;"false";"false";"false";0
167000;160;"Emprunts et dettes assortis de conditions particulières";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
167100;167000;"Emissions de titres participatifs";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
167400;167000;"Avances conditionnées de l'État";"debt";;;;;;0;"NDAS";;1;"false";"false";"false";0
167500;167000;"Emprunts participatifs";"debt";;;;;;0;"NDAS";;1;"false";"false";"false";0
168000;160;"Autres emprunts et dettes assimilées";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168100;168000;"Autres emprunts";"debt";;;;;;1;"NDAS";;1;"false";"false";"false";0
168500;168000;"Rentes viagères capitalisées";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168700;168000;"Autres dettes";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168800;168000;"Intérêts courus";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168810;168800;"Sur emprunts obligataires convertibles ";"debt";;;;;;1;"NDAS";;1;"false";"false";"false";0
168830;168800;"Sur autres emprunts obligataires";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168840;168800;"Sur emprunts auprès des établissements de crédit";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168850;168800;"Sur dépôts et cautionnements reçus";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168860;168800;"Sur participation des salariés aux résultats";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168870;168800;"Sur emprunts et dettes assortis de conditions particulières";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
168880;168800;"Sur autres emprunts et dettes assimilées";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
169000;160;"Primes de remboursement des obligations";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
170;"CL1";"Dettes rattachées à des participations";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
171000;170;"Dettes rattachées à des participations (groupe)";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
174000;170;"Dettes rattachées à des participations (hors groupe)";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
178000;170;"Dettes rattachées à des sociétés en participation";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
178100;178000;"Principal";"debt";;;;;;1;"NDAS";;1;"false";"false";"false";0
178800;178000;"Intérêts courus";"debt";;;;;;1;"NDAS";;1;"false";"false";"false";0
180;"CL1";"Comptes de liaison des établissements et sociétés en participation";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
181000;180;"Comptes de liaison des établissements";"debt";;;;;;1;"NDAS";;1;"false";"false";"false";0
186000;180;"Biens et prestations de services échangés entre établissements (charges)";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
187000;180;"Biens et prestations de services échangés entre établissements (produits)";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
188000;180;"Comptes de liaison des sociétés en participation";"debt";;;;;;2;"NDAS";;1;"false";"false";"false";0
200;"CL2";"Immobilisations incorporelles";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
201000;200;"Frais d'établissement";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
201100;201000;"Frais de constitution";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
201200;201000;"Frais de premier établissement";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
201210;201200;"Frais de prospection";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
201220;201200;"Frais de publicité";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
201300;201000;"Frais d'augmentation de capital et d'opérations diverses (fusions, scissions, transformations)";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
203000;200;"Frais de recherche et de développement";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
205000;200;"Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires";"immobilisation";;;;;;2;"DAUT";;1;"false";"false";"false";2
206000;200;"Droit au bail";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
207000;200;"Fonds commercial";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";2
208000;200;"Autres immobilisations incorporelles";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";0
210;"CL2";"Immobilisations corporelles";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
211000;210;"Terrains";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";0
211100;211000;"Terrains nus";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
211200;211000;"Terrains aménagés";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
211300;211000;"Sous-sols et sur-sols";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
211400;211000;"Terrains de gisement";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
211410;211400;"Carrières";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
211500;211000;"Terrains bâtis";"immobilisation";;;;;;0;"NDAS";;1;"false";"false";"false";1
211510;211500;"Ensembles immobiliers industriels (A, B, ...)";"immobilisation";;;;;;0;"NDAS";;1;"false";"false";"false";1
211550;211500;"Ensembles immobiliers administratifs et commerciaux (A, B, ...)";"immobilisation";;;;;;0;"NDAS";;1;"false";"false";"false";1
211580;211500;"Autres ensembles immobiliers";"immobilisation";;;;;;0;"NDAS";;1;"false";"false";"false";1
211581;211580;"Affectés aux opérations professionnelles (A, B, ...)";"immobilisation";;;;;;0;"NDAS";;1;"false";"false";"false";1
211588;211580;"Affectés aux opérations non professionnelles (A, B, ...)";"immobilisation";;;;;;0;"NDAS";;1;"false";"false";"false";1
211600;211000;"Compte d'ordre sur immobilisations";"immobilisation";;;;;;0;"NDAS";;1;"false";"false";"false";1
212000;210;"Agencements et aménagements de terrains (même ventilation que celle du compte 211)";"immobilisation";;;;;;0;"NDAS";;1;"false";"false";"false";1
213000;210;"Constructions";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";0
213100;213000;"Bâtiments";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213110;213100;"Ensembles immobiliers industriels (A, B, ...)";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213150;213100;"Ensembles immobiliers administratifs et commerciaux (A, B, ...)";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213180;213100;"Autres ensembles immobiliers";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213181;213180;"Affectés aux opérations professionnelles (A, B, ...)";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213188;213180;"Affectés aux opérations non professionnelles (A, B, ...)";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213500;213000;"Installations générales agencements aménagements des constructions (même ventilation que celle du compte 2131)";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213800;213000;"Ouvrages d'infrastructure";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213810;213800;"Voies de terre";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213820;213800;"Voies de fer";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213830;213800;"Voies d'eau";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213840;213800;"Barrages";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
213850;213800;"Pistes d'aérodromes";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
214000;210;"Constructions sur sol d'autrui (même ventilation que celle du compte 213)";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215000;210;"Installations techniques matériels et outillages industriels";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";0
215100;215000;"Installations complexes spécialisées";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215110;215100;"Sur sol propre";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215140;215100;"Sur sol d'autrui";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215300;215000;"Installations à caractère spécifique";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215310;215300;"Sur sol propre";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215340;215300;"Sur sol d'autrui";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215400;215000;"Matériel industriel";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215500;215000;"Outillage industriel";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
215700;215000;"Agencements et aménagements du matériel et outillage industriels";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
218000;210;"Autres immobilisations corporelles";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";0
218100;218000;"Installations générales agencements aménagements divers";"immobilisation";;;;;;2;"HONO";;1;"false";"false";"false";1
218200;218000;"Matériel de transport";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
218300;218000;"Matériel de bureau et matériel informatique ";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
218400;218000;"Mobilier";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
218500;218000;"Cheptel";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
218600;218000;"Emballages récupérables";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
220;"CL2";"Immobilisations mises en concession";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
230;"CL2";"Immobilisations en cours";"view";;;;;;2;"NDAS";;1;"false";"true";"false";0
231000;230;"Immobilisations corporelles en cours";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
231200;231000;"Terrains";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
231300;231000;"Constructions";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
231500;231000;"Installations techniques matériel et outillage industriels";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
231800;231000;"Autres immobilisations corporelles";"immobilisation";;;;;;2;"NDAS";;1;"false";"false";"false";1
232000;230;"Immobilisations incorporelles en cours ";"immobilisation";;;;;;2;"HONO";;1;"false";"false";"false";1
