"importId";"budget.importId";"fromDate";"toDate";"amountExpected";"availableAmount";"toBeCommittedAmount"
11;11;"TODAY[1d]";"TODAY[15d]";200;200;200
12;11;"TODAY[16d]";"TODAY[30d]";200;200;200
13;12;"TODAY[1d]";"TODAY[15d]";250;250;250
14;12;"TODAY[16d]";"TODAY[30d]";250;250;250
15;13;"TODAY[1d]";"TODAY[15d]";800;800;800
16;13;"TODAY[16d]";"TODAY[30d]";800;800;800
17;14;"TODAY[1d]";"TODAY[15d]";900;900;900
18;14;"TODAY[16d]";"TODAY[30d]";900;900;900
31;31;"TODAY[1d]";"TODAY[15d]";200;200;200
32;31;"TODAY[16d]";"TODAY[30d]";200;200;200
33;32;"TODAY[1d]";"TODAY[15d]";250;250;250
34;32;"TODAY[16d]";"TODAY[30d]";250;250;250
35;33;"TODAY[1d]";"TODAY[15d]";800;800;800
36;33;"TODAY[16d]";"TODAY[30d]";800;800;800
37;34;"TODAY[1d]";"TODAY[15d]";900;900;900
38;34;"TODAY[16d]";"TODAY[30d]";900;900;900
200;200;"TODAY[1d]";"TODAY[30d]";0;0;0
201;201;"TODAY[1d]";"TODAY[30d]";49900;49900;49900
202;202;"TODAY[1d]";"TODAY[30d]";9000;9000;9000
203;203;"TODAY[1d]";"TODAY[30d]";0;0;0
204;204;"TODAY[1d]";"TODAY[30d]";5000;5000;5000
205;205;"TODAY[1d]";"TODAY[30d]";8000;8000;8000
206;206;"TODAY[1d]";"TODAY[30d]";2700;2700;2700
207;207;"TODAY[1d]";"TODAY[30d]";0;0;0
208;208;"TODAY[1d]";"TODAY[30d]";1200;1200;1200
209;209;"TODAY[1d]";"TODAY[30d]";0;0;0
210;210;"TODAY[1d]";"TODAY[30d]";0;0;0
211;211;"TODAY[1d]";"TODAY[30d]";0;0;0
400;400;"TODAY[1d]";"TODAY[30d]";13000;13000;13000
401;401;"TODAY[1d]";"TODAY[30d]";9000;9000;9000
402;402;"TODAY[1d]";"TODAY[30d]";15000;15000;15000
403;403;"TODAY[1d]";"TODAY[30d]";6500;6500;6500
404;404;"TODAY[1d]";"TODAY[30d]";2000;2000;2000
405;405;"TODAY[1d]";"TODAY[30d]";3500;3500;3500
406;406;"TODAY[1d]";"TODAY[30d]";3400;3400;3400
407;407;"TODAY[1d]";"TODAY[30d]";2800;2800;2800
408;408;"TODAY[1d]";"TODAY[30d]";3300;3300;3300
409;409;"TODAY[1d]";"TODAY[30d]";1400;1400;1400
410;410;"TODAY[1d]";"TODAY[30d]";1800;1800;1800
411;411;"TODAY[1d]";"TODAY[30d]";79;79;79
412;412;"TODAY[1d]";"TODAY[30d]";48;48;48
413;413;"TODAY[1d]";"TODAY[30d]";69;69;69
414;414;"TODAY[1d]";"TODAY[30d]";220;220;220
415;415;"TODAY[1d]";"TODAY[30d]";890;890;890
416;416;"TODAY[1d]";"TODAY[30d]";190;190;190
417;417;"TODAY[1d]";"TODAY[30d]";380;380;380
418;418;"TODAY[1d]";"TODAY[30d]";630;630;630
419;419;"TODAY[1d]";"TODAY[30d]";1300;1300;1300
420;420;"TODAY[1d]";"TODAY[30d]";450;450;450
421;421;"TODAY[1d]";"TODAY[30d]";900;900;900
422;422;"TODAY[1d]";"TODAY[30d]";4500;4500;4500
423;423;"TODAY[1d]";"TODAY[30d]";900;900;900
424;424;"TODAY[1d]";"TODAY[30d]";2000;2000;2000
425;425;"TODAY[1d]";"TODAY[30d]";1800;1800;1800
426;426;"TODAY[1d]";"TODAY[30d]";2200;2200;2200
427;427;"TODAY[1d]";"TODAY[30d]";550;550;550
428;428;"TODAY[1d]";"TODAY[30d]";710;710;710
429;429;"TODAY[1d]";"TODAY[30d]";79;79;79
430;430;"TODAY[1d]";"TODAY[30d]";1100;1100;1100
431;431;"TODAY[1d]";"TODAY[30d]";2300;2300;2300
432;432;"TODAY[1d]";"TODAY[30d]";800;800;800
433;433;"TODAY[1d]";"TODAY[30d]";149;149;149
434;434;"TODAY[1d]";"TODAY[30d]";119;119;119
435;435;"TODAY[1d]";"TODAY[30d]";800;800;800
436;436;"TODAY[1d]";"TODAY[30d]";490;490;490
437;437;"TODAY[1d]";"TODAY[30d]";0;0;0
438;438;"TODAY[1d]";"TODAY[30d]";0;0;0
439;439;"TODAY[1d]";"TODAY[30d]";500;500;500
440;440;"TODAY[1d]";"TODAY[30d]";3400;3400;3400
441;441;"TODAY[1d]";"TODAY[30d]";430;430;430
