"importId";"partner.importId";"code";"name";"typeSelect";"inService";"commissioningDate";"customerWarrantyOnPartEndDate";"parentEquipment.importId";"equipmentFamily.importId";"indicatorSelect"
1;20;"HEADQUARTER";"Headquarter";"place";"";"";"";"";"";
2;20;"HEADQUARTER - 1ST FLOOR";"Headquarter - 1st floor";"place";"";"";"";1;"";
3;20;"HEADQUARTER - 2nd FLOOR";"Headquarter - 2nd floor";"place";"";"";"";1;"";
4;20;"MONITORS";"Monitors";"equipment";"true";"TODAY[-3M]";"TODAY[+9M]";2;"1";3
5;20;"STORAGE";"Storage";"equipment";"true";"TODAY[-3M]";"TODAY[+9M]";2;"2";3
6;20;"PRINTERS";"Printers";"equipment";"true";"TODAY[-3M]";"TODAY[+9M]";2;"3";3
7;20;"MONITORS";"Monitors";"equipment";"true";"TODAY[-3M]";"TODAY[+9M]";3;"1";3
8;20;"STORAGE";"Storage";"equipment";"true";"TODAY[-3M]";"TODAY[+9M]";3;"2";3
9;20;"PRINTERS";"Printers";"equipment";"true";"TODAY[-3M]";"TODAY[+9M]";3;"3";3
10;132;"INSTPARC";"Installation of computer equipment";"place";"";"";"";"";"";
11;132;"MONITORS";"Monitors";"equipment";"true";"TODAY[-1M]";"TODAY[+2M]";10;"1";3
12;132;"STORAGE";"Top storage";"equipment";"true";"TODAY[-1M]";"TODAY[+2M]";10;"2";3
13;132;"STORAGE";"Bottom storage";"equipment";"true";"TODAY[-1M]";"TODAY[+2M]";10;"2";3
14;132;"PRINTERS";"Printer 1";"equipment";"true";"TODAY[-1M]";"TODAY[+2M]";10;"3";3
15;132;"PRINTERS";"Printer 2";"equipment";"true";"TODAY[-1M]";"TODAY[+2M]";10;"3";3
