"importId";"rangeVal.importId";"question.importId";"isRequired";"isPrivate";"isConditional";"summary";"conditionalRangeQuestion.importId";"conditionalAnswerValueSet.importId"
1;1;10;"true";"false";"false";"true";;
2;1;11;"true";"false";"false";"true";;
3;2;2;"true";"false";"false";"true";;
4;2;6;"false";"false";"false";"true";;
5;2;7;"false";"true";"false";"false";;
6;2;4;"true";"false";"false";"false";;
7;3;11;"false";"false";"false";"false";;
8;3;6;"false";"false";"false";"false";;
9;4;9;"true";"false";"false";"false";;
10;4;3;"false";"false";"false";"false";;
11;4;6;"false";"true";"false";"false";;
12;4;12;"true";"false";"false";"false";;
13;4;13;"false";"false";"true";"false";12;1

