"name";"value";"fieldTypes"
"equals";"=";"String|Integer|LocalDate|LocalDateTime|BigDecimal|Long|ManyToOne|DateTime|OneToOne|Date|many-to-many|boolean|decimal|many-to-one|one-to-one"
"not equals";"!=";"String|Integer|LocalDate|LocalDateTime|BigDecimal|Long|ManyToOne|DateTime|OneToOne|Date|many-to-many|boolean|decimal|many-to-one|one-to-one"
"greater or equal";">=";"Integer|LocalDate|LocalDateTime|BigDecimal|DateTime|Date"
"less or equal";"<=";"Integer|LocalDate|LocalDateTime|BigDecimal|DateTime|Date"
"greater than";">";"Integer|LocalDate|LocalDateTime|BigDecimal|DateTime|Date"
"less than";"<";"Integer|LocalDate|LocalDateTime|BigDecimal|DateTime|Date"
"is null";"isNull";"String|Integer|LocalDate|LocalDateTime|BigDecimal|Long|ManyToOne|DateTime|OneToOne|Date|many-to-many|boolean|decimal|many-to-one|one-to-one"
"is not null";"notNull";"String|Integer|LocalDate|LocalDateTime|BigDecimal|Long|ManyToOne|DateTime|OneToOne|Date|many-to-many|boolean|decimal|many-to-one|one-to-one"
"is true";"TRUE";"Boolean|boolean"
"is false";"FALSE";"Boolean|boolean"
"is empty";"empty";"ManyToMany|many-to-many"
"include";"include";"ManyToMany|many-to-many"
"is not empty";"notEmpty";"ManyToMany|many-to-many"
"not include";"notInclude";"ManyToMany|many-to-many"
