"domain","name","type","title","title_t","help","help_t","doc"
"crm-conf","Configuration","menu","Configuration","Configuration","","",""
"crm-conf-calendar","Calendars","menu","Calendars","Calendriers","","",""
"crm-conf-calendar-configuration","Calendar Configurations","menu","Calendar Configurations","Configuration Calendriers","","",""
"crm-conf-category","Event Categories","menu","Event Categories","Catégories d’événements","","",""
"crm-conf-crm-batch","Crm batches","menu","Crm batches","Batchs CRM","","",""
"crm-conf-lead-source","Leads Source","menu","Leads Source","Provenances des prospects","","",""
"crm-conf-meeting-type","Meeting Types","menu","Meeting Types","Types de rendez-vous","","",""
"crm-conf-participant","Meeting Participants","menu","Meeting Participants","Participants aux rendez-vous","","",""
"crm-conf-target","Targets","menu","Targets","Objectifs","","",""
"crm-conf-target-configuration","Targets configurations","menu","Targets configurations","Configuration des objectifs","","",""
"crm-root","CRM","menu","CRM","CRM","","",""
"crm-root-call","Calls","menu","Calls","Appels","","",""
"crm-root-create","Create","menu","Create","Créer","","",""
"crm-root-create-call","Call","menu","Call","Appel","","",""
"crm-root-create-meeting","Meeting","menu","Meeting","Rendez-vous","","",""
"crm-root-create-task","Task","menu","Task","Tâche","","",""
"crm-root-create-ticket","Ticket","menu","Ticket","Ticket","","",""
"crm-root-lead","Leads","menu","Leads","Pistes","","",""
"crm-root-meeting","Meetings","menu","Meetings","Rendez-vous","","",""
"crm-root-meeting-my-calendar","My Calendar","menu","My Calendar","Mon Calendrier","","",""
"crm-root-meeting-team-calendar","Team Calendar","menu","Team Calendar","Calendrier de mon équipe","","",""
"crm-root-opportunity","Opportunities","menu","Opportunities","Opportunités","","",""
"crm-root-task","Tasks","menu","Tasks","Tâches","","",""
"crm-root-ticket","Tickets","menu","Tickets","Tickets","","",""
"menu-crm-dashboards","CRM Dashboards","menu","CRM Dashboards","Tableaux de bords CRM","","",""
"menu-target-team-dashboard","Target team Dashboard","menu","Target team Dashboard","Tableau de bord des objectifs équipes","","",""
"menu-target-user-dashboard","Target user Dashboard","menu","Target user Dashboard","Tableau de bord des objectifs utilisateurs","","",""
"portal.base.crm.partner.graph","Partner List Report","menu","Partner List Report","Reporting Tiers","","",""
"portal.crm.event.graph","Event Chart Report","menu","Event Chart Report","Reporting des évènements","","",""
"portal.crm.lead.graph","Lead Chart Report","menu","Lead Chart Report","Graphique des Leads","","",""
"portal.opportunities","Opportunity List Report","menu","Opportunity List Report","Reporting Opportunités","","",""
"portal.opportunities.graph","Opportunity Chart Report","menu","Opportunity Chart Report","Graphique des opportunités","","",""
"top-menu-activity-create-call","Create Call","menu","Create Call","","","",""
"top-menu-activity-create-meeting","Create Meeting","menu","Create Meeting","","","",""
"top-menu-activity-create-task","Create Task","menu","Create Task","","","",""
"top-menu-activity-my-calendar","My Calendar","menu","My Calendar","Mon Calendrier","","",""
"top-menu-activity-team-calendar","My Team Calendar","menu","My Team Calendar","","","",""
"top-menu-create-lead","Create Lead","menu","Create Lead","Créer lead","","",""
"top-menu-create-opportunity","Create Opportunity","menu","Create Opportunity","","","",""
"top-menu-crm-activities","Activity","menu","Activity","Activité","","",""
"top-prospection","Prospection","menu","Prospection","Prospection","","",""
"top-prospection-leads","Leads","menu","Leads","Pistes","","",""
"top-prospection-opportunity","Opportunities","menu","Opportunities","Opportunités","","",""
"crm.calendar.type.select","1","select","ICAL_SERVER","Serveur ICAL","","",""
"crm.calendar.type.select","2","select","CALENDAR_SERVER","Serveur calendrier","","",""
"crm.calendar.type.select","3","select","GCAL","","","",""
"crm.calendar.type.select","4","select","ZIMBRA","","","",""
"crm.calendar.type.select","5","select","KMS","","","",""
"crm.calendar.type.select","6","select","CGP","","","",""
"crm.calendar.type.select","7","select","CHANDLER","","","",""
"crm.event.attendee.status.select","1","select","Non-participant","","","",""
"crm.event.attendee.status.select","2","select","Optional participant","Participant optionnel","","",""
"crm.event.attendee.status.select","3","select","Required participant","Participants requis","","",""
"crm.event.call.duration.minutes.select","0","select","00","00","","",""
"crm.event.call.duration.minutes.select","15","select","15","15","","",""
"crm.event.call.duration.minutes.select","30","select","30","30","","",""
"crm.event.call.duration.minutes.select","45","select","45","45","","",""
"crm.event.call.status.select","1","select","Incoming","Entrant","","",""
"crm.event.call.status.select","2","select","Outgoing","Sortant","","",""
"crm.event.primary.status.select","1","select","Tentative","","","",""
"crm.event.primary.status.select","2","select","Confirmed","Confirmé","","",""
"crm.event.related.to.select","com.axelor.apps.base.db.Partner","select","Partner/Contact","Tiers/Contact","","",""
"crm.event.related.to.select","com.axelor.apps.crm.db.Lead","select","Lead","Prospect","","",""
"crm.event.related.to.select","com.axelor.apps.crm.db.Opportunity","select","Opportunity","Opportunité","","",""
"crm.event.related.to.select","com.axelor.apps.base.db.Product","select","Product","Produit","","",""
"crm.event.related.to.select","com.axelor.apps.crm.db.Event","select","Event","Événement","","",""
"crm.event.related.to.select","com.axelor.apps.supplychain.db.SalesOrder","select","Quote/Order","Devis/Commande","","",""
"crm.event.related.to.select","com.axelor.apps.organisation.db.Project","select","Project/Affair","Projet/Affaire","","",""
"crm.event.related.to.select","com.axelor.apps.organisation.db.Task","select","Task (Project)","Tâche (Projet)","","",""
"crm.eventReminder.assign.to.select","1","select","For me","Pour moi","","",""
"crm.eventReminder.assign.to.select","2","select","For all","Pour tous","","",""
"crm.eventReminder.duration.type.select","1","select","Minutes","","","",""
"crm.eventReminder.duration.type.select","2","select","Hours","Heures","","",""
"crm.eventReminder.duration.type.select","3","select","Days","Jours","","",""
"crm.eventReminder.duration.type.select","3","select","Weeks","Semaines","","",""
"crm.event.reminder.type.select","1","select","Email","Email","","",""
"crm.event.reminder.type.select","2","select","SMS","","","",""
"crm.event.status.select","1","select","Planified","Planifié","","",""
"crm.event.status.select","2","select","Realized","Réalisé","","",""
"crm.event.status.select","3","select","Canceled","Annulé","","",""
"crm.event.task.priority.select","1","select","Low","Faible","","",""
"crm.event.task.priority.select","2","select","Medium","Moyen","","",""
