"importId";"code";"name";"_activeTaxLine"
"1";"N_C";"Output VAT (S) standard rate";"11"
"2";"R1_C";"Output VAT (S) reduced rate 10%";"12"
"3";"R2_C";"Output VAT (S) reduced rate 5.5%";"3"
"4";"U_C";"Output VAT (S) ultra-reduced rate";"4"
"5";"X_C";"VAT Exempted on Sales";"5"
"6";"UE_X_C";"VAT Exempted (S) Intra. Com. Deliv.";"15"
"7";"EXP_X_C";"VAT Exempted (S) Export";"16"
"8";"N_D";"Input VAT (P) standard rate";"13"
"9";"R1_D";"Input VAT (P) reduced rate 10%";"14"
"10";"R2_D";"Input VAT (P) reduced rate 5.5%";"8"
"11";"U_D";"Input VAT (P) ultra-reduced rate";"9"
"12";"X_D";"VAT Exempted on Purchases";"10"
"13";"UE_N_D";"Input Intracom. VAT (P) rate N";"18"
"14";"UE_R1_D";"Input Intracom. VAT (P) rate R 10%";"20"
"15";"UE_R2_D";"Input Intracom. VAT (P) rate R 5.5%";"21"
"16";"UE_U_D";"Input Intracom. VAT (P) rate UR";"22"
"17";"UE_X_D";"VAT Exempted Intracom. (P)";"23"
"18";"IMP_X_D";"VAT Exempted (P) Import";"24"
