"importId";"department.code";"code";"artmin";"name";"inhabitantsNbr "
1;"01";"0101";;"AMBERIEU-EN-BUGEY";
2;"01";"0102";;"ATTIGNAT";
3;"01";"0103";;"BELLEGARDE-SUR-VALSERINE";
4;"01";"0104";;"BELLEY";
5;"01";"0105";;"BOURG-EN-BRESSE-1";
6;"01";"0106";;"BOURG-EN-BRESSE-2";
7;"01";"0107";;"CEYZERIAT";
8;"01";"0108";;"CHATILLON-SUR-CHALARONNE";
9;"01";"0109";;"GEX";
10;"01";"0110";;"HAUTEVILLE-LOMPNES";
11;"01";"0111";;"LAGNIEU";
12;"01";"0112";;"MEXIMIEUX";
13;"01";"0113";;"MIRIBEL";
14;"01";"0114";;"NANTUA";
15;"01";"0115";;"OYONNAX";
16;"01";"0116";;"PONT-D'AIN";
17;"01";"0117";;"REPLONGES";
18;"01";"0118";;"SAINT-ETIENNE-DU-BOIS";
19;"01";"0119";;"SAINT-GENIS-POUILLY";
20;"01";"0120";;"THOIRY";
21;"01";"0121";;"TREVOUX";
22;"01";"0122";;"VILLARS-LES-DOMBES";
23;"01";"0123";;"VONNAS";
24;"02";"0201";;"BOHAIN-EN-VERMANDOIS";
25;"02";"0202";;"CHATEAU-THIERRY";
26;"02";"0203";;"CHAUNY";
27;"02";"0204";;"ESSOMES-SUR-MARNE";
28;"02";"0205";;"FERE-EN-TARDENOIS";
29;"02";"0206";;"GUIGNICOURT";
30;"02";"0207";;"GUISE";
31;"02";"0208";;"HIRSON";
32;"02";"0209";;"LAON-1";
33;"02";"0210";;"LAON-2";
34;"02";"0211";;"MARLE";
35;"02";"0212";;"RIBEMONT";
36;"02";"0213";;"SAINT-QUENTIN-1";
37;"02";"0214";;"SAINT-QUENTIN-2";
38;"02";"0215";;"SAINT-QUENTIN-3";
39;"02";"0216";;"SOISSONS-1";
40;"02";"0217";;"SOISSONS-2";
41;"02";"0218";;"TERGNIER";
42;"02";"0219";;"VERVINS";
43;"02";"0220";;"VIC-SUR-AISNE";
44;"02";"0221";;"VILLERS-COTTERETS";
45;"03";"0301";;"BELLERIVE-SUR-ALLIER";
46;"03";"0302";;"BOURBON-L'ARCHAMBAULT";
47;"03";"0303";;"COMMENTRY";
48;"03";"0304";;"CUSSET";
49;"03";"0305";;"DOMPIERRE-SUR-BESBRE";
50;"03";"0306";;"GANNAT";
51;"03";"0307";;"HURIEL";
52;"03";"0308";;"LAPALISSE";
53;"03";"0309";;"MONTLUCON-1";
54;"03";"0310";;"MONTLUCON-2";
55;"03";"0311";;"MONTLUCON-3";
56;"03";"0312";;"MONTLUCON-4";
57;"03";"0313";;"MOULINS-1";
58;"03";"0314";;"MOULINS-2";
59;"03";"0315";;"SAINT-POURCAIN-SUR-SIOULE";
60;"03";"0316";;"SOUVIGNY";
61;"03";"0317";;"VICHY-1";
62;"03";"0318";;"VICHY-2";
63;"03";"0319";;"YZEURE";
64;"04";"0401";;"BARCELONNETTE";
65;"04";"0402";;"CASTELLANE";
66;"04";"0403";;"CHATEAU-ARNOUX-SAINT-AUBAN";
67;"04";"0404";;"DIGNE-LES-BAINS-1";
68;"04";"0405";;"DIGNE-LES-BAINS-2";
69;"04";"0406";;"FORCALQUIER";
70;"04";"0407";;"MANOSQUE-1";
71;"04";"0408";;"MANOSQUE-2";
72;"04";"0409";;"MANOSQUE-3";
73;"04";"0410";;"ORAISON";
74;"04";"0411";;"REILLANNE";
75;"04";"0412";;"RIEZ";
76;"04";"0413";;"SEYNE";
77;"04";"0414";;"SISTERON";
78;"04";"0415";;"VALENSOLE";
79;"05";"0501";"(L')";"ARGENTIERE-LA-BESSEE";
80;"05";"0502";;"BRIANCON-1";
81;"05";"0503";;"BRIANCON-2";
82;"05";"0504";;"CHORGES";
83;"05";"0505";;"EMBRUN";
84;"05";"0506";;"GAP-1";
85;"05";"0507";;"GAP-2";
86;"05";"0508";;"GAP-3";
87;"05";"0509";;"GAP-4";
88;"05";"0510";;"GUILLESTRE";
89;"05";"0511";;"LARAGNE-MONTEGLIN";
90;"05";"0512";;"SAINT-BONNET-EN-CHAMPSAUR";
