"importId";"code";"name"
1;;"Afghans"
2;;"Albanians"
3;;"Algerians"
4;;"Americans"
5;;"Andorrans"
6;;"Angolans"
7;;"Antiguans and Barbudans"
8;;"Argentines"
9;;"Armenians"
10;;"Arubans"
11;;"Australians"
12;;"Austrians"
13;;"Azerbaijanis"
14;;"Bahamians"
15;;"Bahrainis"
16;;"Bangladeshis"
17;;"Barbadians"
18;;"Basques"
19;;"Belarusians"
20;;"Belgians"
21;;"Belizeans"
22;;"Beninese"
23;;"Bermudians"
24;;"Bhutanese"
25;;"Bolivians"
26;;"Bosniaks"
27;;"Bosnians and Herzegovinians"
28;;"Botswana"
29;;"Brazilians"
30;;"Bretons"
31;;"British"
32;;"British Virgin Islanders"
33;;"Bruneians"
34;;"Bulgarians"
35;;"Macedonian Bulgarians"
36;;"Burkinabés"
37;;"Burmese"
38;;"Burundians"
39;;"Cambodians"
40;;"Cameroonians"
41;;"Canadians"
42;;"Catalans"
43;;"Cape Verdeans"
44;;"Chadians"
45;;"Chileans"
46;;"Chinese"
47;;"Colombians"
48;;"Comorians"
49;;"Congolese"
50;;"Costa Ricans"
51;;"Croatians"
52;;"Cubans"
53;;"Cypriots"
54;;"Czechs"
55;;"Danes"
56;;"Greenlanders"
57;;"Djiboutians"
58;;"Dominicans (Commonwealth)"
59;;"Dominicans (Republic)"
60;;"Dutch"
61;;"East Timorese"
62;;"Ecuadorians"
63;;"Egyptians"
64;;"Emiratis"
65;;"English"
66;;"Equatoguineans"
67;;"Eritreans"
68;;"Estonians"
69;;"Ethiopians"
70;;"Falkland Islanders"
71;;"Faroese"
72;;"Fijians"
73;;"Finns"
74;;"Finnish Swedish"
75;;"Filipinos"
76;;"French citizens"
77;;"Gabonese"
78;;"Gambians"
79;;"Georgians"
80;;"Germans"
81;;"Baltic Germans"
82;;"Ghanaians"
83;;"Gibraltarians"
84;;"Greeks"
85;;"Greek Macedonians"
86;;"Grenadians"
87;;"Guatemalans"
88;;"Guianese (French)"
89;;"Guineans"
90;;"Guinea-Bissau nationals"
91;;"Guyanese"
92;;"Haitians"
93;;"Hondurans"
94;;"Hong Kongers"
95;;"Hungarians"
96;;"Icelanders"
97;;"I-Kiribati"
98;;"Indians"
99;;"Indonesians"
100;;"Iranians"
101;;"Iraqis"
102;;"Irish"
103;;"Israelis"
104;;"Italians"
105;;"Ivoirians"
106;;"Jamaicans"
107;;"Japanese"
108;;"Jordanians"
109;;"Kazakhs"
110;;"Kenyans"
111;;"Koreans"
112;;"Kosovars"
113;;"Kuwaitis"
114;;"Kyrgyzs"
115;;"Lao"
116;;"Latvians"
117;;"Lebanese"
118;;"Liberians"
119;;"Libyans"
120;;"Liechtensteiners"
121;;"Lithuanians"
122;;"Luxembourgers"
123;;"Macao"
124;;"Macedonians"
125;;"Malagasy"
126;;"Malawians"
127;;"Malaysians"
128;;"Maldivians"
129;;"Malians"
130;;"Maltese"
131;;"Manx"
132;;"Marshallese"
133;;"Mauritanians"
134;;"Mauritians"
135;;"Mexicans"
136;;"Micronesians"
137;;"Moldovans"
138;;"Monégasque"
139;;"Mongolians"
140;;"Montenegrins"
141;;"Moroccans"
142;;"Mozambicans"
143;;"Namibians"
144;;"Naurans"
145;;"Nepalese"
146;;"New Zealanders"
147;;"Nicaraguans"
148;;"Nigeriens"
149;;"Nigerians"
150;;"Norwegians"
151;;"Omani"
152;;"Pakistanis"
153;;"Palauans"
154;;"Palestinians"
155;;"Panamanians"
156;;"Papua New Guineans"
157;;"Paraguayans"
158;;"Peruvians"
159;;"Poles"
160;;"Portuguese"
161;;"Puerto Ricans"
162;;"Qatari"
163;;"Quebecers"
164;;"Réunionnais"
165;;"Romanians"
166;;"Russians"
167;;"Baltic Russians"
168;;"Rwandans"
169;;"Saint Kitts and Nevis"
170;;"Saint Lucians"
171;;"Salvadorans"
172;;"Sammarinese"
173;;"Samoans"
174;;"São Tomé and Príncipe"
175;;"Saudis"
176;;"Scots"
177;;"Senegalese"
178;;"Serbs"
179;;"Seychellois"
180;;"Sierra Leoneans"
181;;"Singaporeans"
182;;"Slovaks"
183;;"Slovenes"
184;;"Solomon Islanders"
185;;"Somalis"
186;;"Somalilanders"
187;;"Sotho"
188;;"South Africans"
189;;"Spaniards"
190;;"Sri Lankans"
191;;"Sudanese"
192;;"Surinamese"
193;;"Swazi"
194;;"Swedes"
195;;"Swiss"
196;;"Syriacs"
197;;"Syrians"
198;;"Taiwanese"
199;;"Tamils"
200;;"Tajik"
201;;"Tanzanians"
202;;"Thais"
203;;"Tibetans"
204;;"Tobagonians"
205;;"Togolese"
206;;"Tongans"
207;;"Trinidadians"
208;;"Tunisians"
209;;"Turks"
210;;"Tuvaluans"
211;;"Ugandans"
212;;"Ukrainians"
213;;"Uruguayans"
214;;"Uzbeks"
215;;"Vanuatuans"
216;;"Venezuelans"
217;;"Vietnamese"
218;;"Vincentians"
219;;"Welsh"
220;;"Yemenis"
221;;"Zambians"
222;;"Zimbabweans"
