"importId";"code";"hasExpirationDate";"name"
"1";"CI";"true";"Carte Identité ou Passeport"
"2";"CS";"true";"Carte de Séjour"
"3";"PC";"true";"Permis de Conduire"
"4";"AE";"false";"Autorisation Exercice à l'étranger"
"5";"DIV";"false";"Divers"
"6";"RIB";"false";"RIB"
"7";"MUT";"false";"Justificatif affiliation mutuelle"
"8";"COU";"false";"Courrier du salarié"
"9";"DPAE";"false";"Déclarations uniques d'embauche."
"10";"RMU";"false";"Refus de la mutuelle"
"11";"DIPL";"false";"Diplômes"
"12";"CTIF";"false";"Certificats"
"13";"ATTE";"false";"Attestations"
