"metaModel";"metaField";"anonymizer_importId";"useFakeData"
"Address";"addressL2";"1";"false"
"Address";"addressL3";"1";"false"
"Address";"addressL4";"1";"false"
"Address";"addressL5";"1";"false"
"Address";"addressL6";"1";"false"
"Address";"inseeCode";"1";"false"
"Address";"latit";"1";"false"
"Address";"zip";"1";"false"
"Address";"streetNumber";"1";"false"
"Address";"fullName";"1";"false"
"Address";"longit";"1";"false"
"EmailAddress";"address";"1";"false"
"EmailAddress";"name";"1";"false"
"User";"name";"1";"false"
"User";"email";"1";"false"
"User";"fullName";"1";"false"
"Partner";"siren";"1";"false"
"Partner";"companyStr";"1";"false"
"Partner";"taxNbr";"1";"false"
"Partner";"registrationCode";"1";"false"
"Partner";"fullName";"1";"false"
"Partner";"functionBusinessCard";"1";"false"
"Partner";"simpleFullName";"1";"false"
"Partner";"name";"1";"false"
"Partner";"firstName";"1";"false"
"Partner";"mobilePhone";"1";"false"
"Partner";"webSite";"1";"false"
"Partner";"headOfficeAddress";"1";"false"
"Partner";"fixedPhone";"1";"false"
