"importId";"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.importId"
100;"accountClearance";"Overpayment clearance";1;6;"ACCCLR%YY";;1;1;1
101;"chequeReject";"Cheque reject";1;6;"CHQREJ%YY";;1;1;1
102;"invoice";"Customer Invoice";1;9;"INV%YY";;1;1;1
103;"invoice";"Customer Refund";1;9;"REF%YY";;1;1;1
104;"invoice";"Supplier Invoice";1;8;"SINV%YY";;1;1;1
105;"invoice";"Supplier Refund";1;8;"SREF%YY";;1;1;1
106;"debit";"Direct debit (invoice and installments)";1;7;"DDINV%YY";;1;1;1
107;"debitReject";"Direct debit reject";1;7;"REJDD%YY";;1;1;1
108;"doubtfulCustomer";"Transfer in doubtful receivables";1;6;"DBTREC%YY";;1;1;1
109;"irrecoverable";"Transfer in irrecoverables";1;5;"IRRECOV%YY";;1;1;1
110;"move";"Sales move line";1;7;"MVSAL%YY";;1;1;1
111;"move";"Refund move line";1;7;"MVREF%YY";;1;1;1
112;"move";"Purchase move line";1;7;"MVPUR%YY";;1;1;1
113;"move";"Purchase refund move line";1;6;"MVSREF%YY";;1;1;1
114;"move";"Virtual move line";1;6;"MVVIRT%YY";;1;1;1
115;"move";"Move line for payments received in Cash";1;7;"MVCSH%YY";;1;1;1
116;"move";"Move line for payments received in Cheque";1;7;"MVCHQ%YY";;1;1;1
117;"move";"Move line for payments received in Credit Card";1;8;"MVCC%YY";;1;1;1
118;"move";"Move line for payments received in Internet";1;7;"MVWEB%YY";;1;1;1
119;"move";"Move line for payments received in IPO";1;7;"MVIPO%YY";;1;1;1
120;"move";"Move line for payments received in IPOC";1;6;"MVIPOC%YY";;1;1;1
121;"move";"Move line for payments received in Wire Transfer";1;8;"MVWT%YY";;1;1;1
122;"move";"Move line for payments received in Direct Debit (invoice and installments)";1;8;"MVDD%YY";;1;1;1
123;"move";"Move line for payments received in Other means";1;7;"MVOTH%YY";;1;1;1
124;"move";"Move line for payments received but rejected by the bank";1;7;"MVREJ%YY";;1;1;1
125;"move";"Move line for automatic reimbursement";1;4;"MVCLTRBT%YY";;1;1;1
126;"move";"Move line for payments executed by Cash";1;7;"MVCSH%YY";;1;1;1
127;"move";"Move line for payments executed by Cheque";1;7;"MVCHQ%YY";;1;1;1
128;"move";"Move line for payments executed by Credit Card";1;8;"MVCC%YY";;1;1;1
129;"move";"Move line for payments executed by IPO";1;7;"MVIPO%YY";;1;1;1
