name;typeSelect;bindMetaFile.fileName;dataMetaFile.fileName
Import Addresses;csv;import-config-address.xml;import-data-address.csv
Impot BankDetails;csv;import-config-bank-details.xml;import-data-bank-details.csv
Import Candidates;csv;import-config-candidate.xml;import-data-candidate.csv
Import Cities;csv;import-config-cities.xml;import-data-city.csv
Import Degrees;csv;import-config-degree.xml;import-data-degree.csv
Import Groups;csv;import-config-group.xml;import-data-group.csv
Importing Keywords;csv;import-config-keyword.xml;import-data-keyword.csv
Importing Leads;csv;import-config-lead.xml;import-data-lead.csv
Importing Locations;csv;import-config-location.xml;import-data-location.csv
Importing Machines;csv;import-config-machine.xml;import-data-machine.csv
Importing StockRules;csv;import-config-stock-rules.xml;import-data-stock-rules.csv
Importing Opportunities;csv;import-config-opportunity.xml;import-data-opportunity.csv
Importing PaymentConditions;csv;import-config-payment-condition.xml;import-data-payment-condition.csv
Importing PaymentModes;csv;import-config-payment-mode.xml;import-data-payment-mode.csv
Importing Permissions;csv;import-config-permission.xml;import-data-permission.csv
Importing Products;csv;import-config-product.xml;import-data-product.csv
Importing Projects;csv;import-config-project.xml;import-data-project.csv
Importing Roles;csv;import-config-role.xml;import-data-role.csv
Importing Sequences;csv;import-config-sequence.xml;import-data-sequence.csv
Importing SupplierCatalog;csv;import-config-supplier-catalog.xml;import-data-supplier-catalog.csv
Importing Tasks;csv;import-config-task.xml;import-data-task.csv
Importing Teams;csv;import-config-team.xml;import-data-team.csv
Importing Units;csv;import-config-unit.xml;import-data-unit.csv
Importing UnitConversions;csv;import-config-unit-conversion.xml;import-data-unit-conversion.csv
Importing Users;csv;import-config-user.xml;import-data-user.csv
Importing Partners;csv;import-config-partner.xml;import-data-partner.csv
