"importId";"internalUser.code";"companySet.importId";"activeCompany.id";"partner.importId";"teamSet.importId";"employee.importId";"activeTeam.id"
1;"admin";"1";1;90000;;;4
2;"demo";"1";1;90000;;;4
3;"psdt";"1";1;90001;;1;4
4;"assist";"1";1;90002;;2;4
5;"projdir";"1";1;90003;;3;4
6;"projmg";"1";1;90004;;4;4
7;"consultant";"1";1;90005;;5;4
8;"demoerp";"1";1;90006;;6;4
9;"democrm";"1";1;90007;;7;1
10;"smn2";"1";1;90008;;8;1
11;"sms1";"1";1;90009;;9;2
12;"sms2";"1";1;90010;;10;2
13;"smi1";"1";1;90011;;11;3
14;"purch";"1";1;90012;;12;4
15;"prod";"1";1;90013;;13;4
16;"suppmg";"1";1;90014;;14;4
17;"supp1";"1";1;90015;;15;4
18;"supp2";"1";1;90016;;16;4
19;"hrmg";"1";1;90017;;17;4
20;"account";"1";1;90018;;18;4
21;"client";"1";1;88;;;
22;"supplier";"1";1;148;;;
