"anonymizer.name";"metaModel";"metaField";"useFakeData";"fakerApiField.name"
"GDPRAnonymizer";"Lead";"name";"true";"name.lastName"
"GDPRAnonymizer";"Lead";"firstName";"true";"name.firstName"
"GDPRAnonymizer";"Lead";"primaryAddress";"true";"address.streetAddress"
"GDPRAnonymizer";"Lead";"fixedPhone";"true";"phoneNumber.phoneNumber"
"GDPRAnonymizer";"Lead";"mobilePhone";"true";"phoneNumber.cellPhone"
"GDPRAnonymizer";"Lead";"primaryPostalCode";"true";"address.zipCode"
"GDPRAnonymizer";"Address";"addressL2";"true";"address.streetAddress"
"GDPRAnonymizer";"EmailAddress";"address";"true";"internet.emailAddress"
"GDPRAnonymizer";"Partner";"mobilePhone";"true";"phoneNumber.cellPhone"
"GDPRAnonymizer";"Partner";"fixedPhone";"true";"phoneNumber.phoneNumber"
"GDPRAnonymizer";"Partner";"firstName";"true";"name.firstName"
"GDPRAnonymizer";"Partner";"name";"true";"name.lastName"
