"importId";"tax_code";"startDate";"endDate";"value"
"IND_COA1";"IND_IGST_5";"2023-07-01";;"5"
"IND_COA2";"IND_IGST_12";"2023-07-01";;"12"
"IND_COA3";"IND_IGST_18";"2023-07-01";;18
"IND_COA4";"IND_IGST_28";"2023-07-01";;28
"IND_COA5";"IND_CGST_2.5";"2023-07-01";;"2.5"
"IND_COA6";"IND_CGST_6";"2023-07-01";;"6"
"IND_COA7";"IND_CGST_9";"2023-07-01";;9
"IND_COA8";"IND_CGST_14";"2023-07-01";;14
"IND_COA9";"IND_SGST_2.5";"2023-07-01";;"2.5"
"IND_COA10";"IND_SGST_6";"2023-07-01";;"6"
"IND_COA11";"IND_SGST_9";"2023-07-01";;9
"IND_COA12";"IND_SGST_14";"2023-07-01";;14
"IND_COA13";"IND_GST_ZR";"2023-07-01";;0
"IND_COA14";"IND_GST_EX";"2023-07-01";;0
"IND_COA15";"IND_GST_ZR_EX";"2023-07-01";;0
"IND_COA16";"IND_GST_ZR_IM";"2023-07-01";;0
"IND_COA17";"SP_GST_3";"2023-07-01";;3
"IND_COA18";"SP_GST_0.25";"2023-07-01";;0.25
"IND_COA19";"IND_TDS_10";"2023-07-01";;10
"IND_COA20";"IND_TDS_20";"2023-07-01";;20
