"code";"parent_code";"name";"accountType.importId";"reconcileOk";"isRegulatoryAccount";"commonPosition";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"defaultTaxSet";"vatSystemSelect";"isRetrievedOnPaymentSession";"manageCutOffPeriod";"statusSelect"
0;;"IND-COA";"IND_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"BAL";0;"Balance sheet";"IND_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"A000";"BAL";"Current Assets";"IND_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"A050";"A000";"Bank and Cash";"IND_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
100101;"A010";"Cash in National currency";"IND_COA130";"FALSE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
100201;"A010";"Bank Suspense Account";"IND_COA130";"TRUE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
100202;"A010";"Outstanding Receipts";"IND_COA130";"TRUE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
100203;"A010";"Outstanding Payments";"IND_COA130";"TRUE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
100204;"A010";"Bank in National currency";"IND_COA130";"FALSE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
100250;"A010";"Cashier closure differences";"IND_COA130";"FALSE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
"A010";"A000";"Stocks & WIP";"IND_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
100310;"A010";"Inventories Raw";"IND_COA120";"FALSE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
100311;"A010";"WIP Inventories";"IND_COA120";"FALSE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
100312;"A010";"Finished Goods";"IND_COA120";"FALSE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
"A020";"A000";"Account Receivable";"IND_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
100400;"A020";"Debtors";"IND_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
100410;"A020";"Debtors (PoS)";"IND_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
100420;"A020";"Debtors Unbilled";"IND_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
100425;"A020";"Debtors Exchange Account";"IND_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
100430;"A020";"Debtors Holdback";"IND_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
100435;"A020";"Debtors factor account";"IND_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
100510;"A020";"SGST Receivable";"IND_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
100520;"A020";"CGST Receivable";"IND_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
100530;"A020";"IGST Receivable";"IND_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
100550;"A020";"CESS Receivable";"IND_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
100560;"A020";"GST Special rate Tax Receivable";"IND_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
100570;"A020";"Reverse Charge Tax Receivable";"IND_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
100580;"A020";"TDS Receivable";"IND_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
