"importId";"reportType_importId";"reportTypeColumnId";"sequence";"typeSelect";"ruleTypeSelect";"label";"code";"styleSelect";"percentageTotalLine";"detailBySelect";"resultSelect";"negateValue";"rule";"accountCode";"analyticAccountCode";"accountTypeSet_code";"accountSet_code";"analyticAccountSet_code";"hidden";"notComputedIfIntersect";"balanceBeforePeriod"
"IND_COA10101";;"IND_COA101";;1;2;"Balance";"bal";0;;0;4;"false";;;;;;;;;
"IND_COA10102";"IND_COA101";;0;1;1;"Revenue";"RV";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10103";"IND_COA101";;1;1;2;"Local Sales";"LS";0;;0;1;"true";;"40011%";;;;;"false";"false";"false"
"IND_COA10104";"IND_COA101";;2;1;2;"Retail Sales";"RS";0;;0;1;"true";;"40012%";;;;;"false";"false";"false"
"IND_COA10105";"IND_COA101";;3;1;2;"Export Sales";"EXS";0;;0;1;"true";;"40013%";;;;;"false";"false";"false"
"IND_COA10106";"IND_COA101";;4;1;2;"Local Services";"LSRV";0;;0;1;"true";;"40021%";;;;;"false";"false";"false"
"IND_COA10107";"IND_COA101";;5;1;2;"Export Services";"EXSRV";0;;0;1;"true";;"40022%";;;;;"false";"false";"false"
"IND_COA10108";"IND_COA101";;6;1;3;"Total Sales revenue";"TS";1;;0;;"false";"LS + RS + EXS + EXSRV + LSRV";;;;;;"false";"false";"false"
"IND_COA10109";"IND_COA101";;7;1;1;"Expenses";"EX";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10110";"IND_COA101";;8;1;2;"Cost of Sales – Product";"COS1";0;;0;1;"false";;"51001%";;;;;"false";"false";"false"
"IND_COA10111";"IND_COA101";;9;1;2;"Cost of Sales – Product Export";"COS2";0;;0;1;"false";;"51002%";;;;;"false";"false";"false"
"IND_COA10112";"IND_COA101";;10;1;2;"Cost of Sales – Services";"COS3";0;;0;1;"false";;"51011%";;;;;"false";"false";"false"
"IND_COA10113";"IND_COA101";;11;1;2;"Cost of Sales – Services Export";"COS4";0;;0;1;"false";;"51012%";;;;;"false";"false";"false"
"IND_COA10114";"IND_COA101";;12;1;3;"Total Sales expenses";"TSE";1;;0;;"false";"COS1 + COS2 + COS3 + COS4";;;;;;"false";"false";"false"
"IND_COA10115";"IND_COA101";;13;1;3;"Gross Profit/Loss (Revenue – Expenses)";"GP";1;;0;;"false";"TS - TSE";;;;;;"false";"false";"false"
"IND_COA10116";"IND_COA101";;14;1;1;"Other Revenue";"OR";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10117";"IND_COA101";;15;1;2;"Interest Revenues";"IR";0;;0;1;"true";;401000;;;;;"false";"false";"false"
"IND_COA10118";"IND_COA101";;16;1;2;"Gain on Sale of Assets";"GSA";0;;0;1;"true";;401100;;;;;"false";"false";"false"
"IND_COA10119";"IND_COA101";;17;1;2;"Write off Income";"WOI";0;;0;1;"true";;401200;;;;;"false";"false";"false"
"IND_COA10120";"IND_COA101";;18;1;2;"Foreign Exchange Profit";"FEP";0;;0;1;"true";;401300;;;;;"false";"false";"false"
;"IND_COA101";;19;1;2;"Other Income received";"OIR";0;;0;1;"true";;401400;;;;;"false";"false";"false"
"IND_COA10121";"IND_COA101";;20;1;3;"Total Other Revenue";"TOR";1;;0;;"false";"IR + GSA + WOI + FEP + OIR";;;;;;"false";"false";"false"
"IND_COA10122";"IND_COA101";;21;1;1;"Operative Expenses";"OE";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10123";"IND_COA101";;22;1;2;"Administrative Expenses";"AE";0;;0;1;"false";;"5102%; 5103%; 5104%; 5105%; 5106%; 5107%; 5108%; 5109%";;;;;"false";"false";"false"
"IND_COA10124";"IND_COA101";;23;1;2;"Office and other expenses";"OOE";0;;0;1;"FALSE";;"511%";;;;;"false";"false";"false"
"IND_COA10125";"IND_COA101";;24;1;2;"Stock Expenses";"SE";0;;0;1;"false";;"512%";;;;;"false";"false";"false"
;"IND_COA101";;25;1;2;"Asset Expenses";"ASE";0;;0;1;"false";;"513%;810%;8200%";;;;;"false";"false";"false"
"IND_COA10126";"IND_COA101";;26;1;3;"Total Operative expenses";"TOE";1;;0;;"false";"AE+OOE+SE+ASE";;;;;;"false";"false";"false"
"IND_COA10201";;"IND_COA102";;1;2;"Balance";"bal";0;;0;4;"false";;;;;;;"false";"false";"false"
"IND_COA10202";"IND_COA102";;0;1;1;"Assets";"AST";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10203";"IND_COA102";;1;1;1;"Current Assets";"CAST";0;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10204";"IND_COA102";;2;1;1;"Cash";"CSH";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10205";"IND_COA102";;3;1;2;"Cash in national currency";"CSH_NC";0;;0;1;"false";;"10010%";;;;;"false";"false";"false"
"IND_COA10206";"IND_COA102";;4;1;2;"Bank in national currency";"BNK";0;;0;1;"false";;100204;;;;;"false";"false";"false"
"IND_COA10207";"IND_COA102";;5;1;3;"Total cash";"TCH";1;;0;;"false";"CSH_NC + BNK";;;;;;"false";"false";"false"
"IND_COA10208";"IND_COA102";;6;1;1;"Account Receivables";"AR";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10209";"IND_COA102";;7;1;2;"Debtors";"DB";0;;0;1;"false";;"100400%";;;;;"false";"false";"false"
"IND_COA10210";"IND_COA102";;8;1;2;"Other debtors";"OD";0;;0;1;"false";;"100410%;10042%;10043%";;;;;"false";"false";"false"
"IND_COA10211";"IND_COA102";;9;1;3;"Total AR";"TAR";1;;0;;"false";"DB + OD";;;;;;"false";"false";"false"
"IND_COA10212";"IND_COA102";;10;1;1;"Inventory";"INV";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10213";"IND_COA102";;11;1;2;"Inventories Raw";"RM";0;;0;1;"false";;"100310%";;;;;"false";"false";"false"
"IND_COA10214";"IND_COA102";;12;1;2;"WIP Inventories";"WIP";0;;0;1;"false";;"100311%";;;;;"false";"false";"false"
"IND_COA10215";"IND_COA102";;13;1;2;"Finished Goods";"FG";0;;0;1;"false";;"100312%";;;;;"false";"false";"false"
"IND_COA10216";"IND_COA102";;14;1;3;"Total goods";"TG";1;;0;;"false";"RM + WIP + FG";;;;;;"false";"false";"false"
"IND_COA10217";"IND_COA102";;15;1;1;"Fixed Asset";"FA";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10218";"IND_COA102";;16;1;1;"Intangible Asset";"INT";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10219";"IND_COA102";;17;1;2;"Software & Patents";"SW";0;;0;1;"false";;101200;;;;;"false";"false";"false"
"IND_COA10220";"IND_COA102";;18;1;3;"Total Intangible Assets";"TINT";1;;0;;"false";"SW";;;;;;"false";"false";"false"
"IND_COA10221";"IND_COA102";;19;1;1;"Tangible Assets";"TA";1;;0;;"false";;;;;;;"false";"false";"false"
"IND_COA10222";"IND_COA102";;20;1;2;"Fixtures and fittings";"FF";0;;0;1;"false";;101600;;;;;"false";"false";"false"
"IND_COA10223";"IND_COA102";;21;1;2;"Land and buildings";"LB";0;;0;1;"false";;101100;;;;;"false";"false";"false"
"IND_COA10224";"IND_COA102";;22;1;2;"Motor vehicles";"MV";0;;0;1;"false";;101400;;;;;"false";"false";"false"
"IND_COA10225";"IND_COA102";;23;1;2;"Office equipment (inc computer equipment)";"OE";0;;0;1;"false";;101500;;;;;"false";"false";"false"
"IND_COA10226";"IND_COA102";;24;1;2;"Plant and machinery";"PM";0;;0;1;"false";;101300;;;;;"false";"false";"false"
