"importId";"code";"name";"_activeTaxLine";"taxType.importId"
"IND_COA1";"IND_IGST_5";"Standard IGST (5%)";"IND_COA1";"IND_COA1"
"IND_COA2";"IND_IGST_12";"Standard IGST (12%)";"IND_COA2";"IND_COA1"
"IND_COA3";"IND_IGST_18";"Standard IGST (18%)";"IND_COA3";"IND_COA1"
"IND_COA4";"IND_IGST_28";"Standard IGST (28%)";"IND_COA4";"IND_COA1"
"IND_COA5";"IND_CGST_2.5";"Standard CGST (2.5%)";"IND_COA5";"IND_COA1"
"IND_COA6";"IND_CGST_6";"Standard CGST (6%)";"IND_COA6";"IND_COA1"
"IND_COA7";"IND_CGST_9";"Standard CGST (9%)";"IND_COA7";"IND_COA1"
"IND_COA8";"IND_CGST_14";"Standard CGST (14%)";"IND_COA8";"IND_COA1"
"IND_COA9";"IND_SGST_2.5";"Standard SGST (2.5%)";"IND_COA9";"IND_COA1"
"IND_COA10";"IND_SGST_6";"Standard SGST (6%)";"IND_COA10";"IND_COA1"
"IND_COA11";"IND_SGST_9";"Standard SGST (9%)";"IND_COA11";"IND_COA1"
"IND_COA12";"IND_SGST_14";"Standard SGST (14%)";"IND_COA12";"IND_COA1"
"IND_COA13";"IND_GST_ZR";"Nil Rated GST (0%)";"IND_COA13";"IND_COA1"
"IND_COA14";"IND_GST_EX";"GST Exempted";"IND_COA14";"IND_COA1"
"IND_COA15";"IND_GST_ZR_EX";"Zero Rate GST Export";"IND_COA15";"IND_COA1"
"IND_COA16";"IND_GST_ZR_IM";"Zero Rated GST Import";"IND_COA16";"IND_COA1"
"IND_COA17";"SP_GST_3";"Special GST Rate (3%)";"IND_COA17";"IND_COA1"
"IND_COA18";"SP_GST_0.25";"Special GST Rate (0.25%)";"IND_COA18";"IND_COA1"
"IND_COA19";"IND_TDS_10";"Standard TDS (10%)";"IND_COA19";"IND_COA2"
"IND_COA20";"IND_TDS_20";"Standard TDS (20%)";"IND_COA20";"IND_COA2"
