"importId";"typeSelect";"product_importId";"tax_code";"productFamily_importId";"paymentMode.code";"saleAccount_code";"saleTaxVatSystem1Account_code";"saleTaxVatSystem2Account_code";"saleTax_code";"purchaseAccount_code";"purchaseTaxVatSystem1Account_code";"purchaseTaxVatSystem2Account_code";"purchaseTax_code";"cashAccount_code";"journal_code";"sequence_importId";"bankDetails_importId";"purchFixedAssetsAccount_code";"purchFixedAssetsTaxVatSystem1Account_code";"purchFixedAssetsTaxVatSystem2Account_code";"fixedAssetCategory_importId";"interbankCodeLine_importId";"allowedFinDiscountTaxVatSystem1Account_code";"allowedFinDiscountTaxVatSystem2Account_code";"obtainedFinDiscountTaxVatSystem1Account_code";"obtainedFinDiscountTaxVatSystem2Account_code";"purchVatRegulationAccount_code";"saleVatRegulationAccount_code";"globalAccountingCashAccount_code";"chequeDepositJournal_code";"financialDiscountAccount_code";"vatPendingAccount_code"
"IND_COA200";2;;"IND_IGST_5";;;100530;100530;100530;;;212340;212340;;;;;;;;;;;;;;;;;;;;
"IND_COA205";2;;"IND_IGST_12";;;100530;100530;100530;;;212340;212340;;;;;;;;;;;;;;;;;;;;
"IND_COA210";2;;"IND_IGST_18";;;100530;100530;100530;;;212340;212340;;;;;;;;;;;;;;;;;;;;
"IND_COA215";2;;"IND_IGST_28";;;100530;100530;100530;;;212340;212340;;;;;;;;;;;;;;;;;;;;
"IND_COA220";2;;"IND_CGST_2.5";;;100520;100520;100520;;;212330;212330;;;;;;;;;;;;;;;;;;;;
"IND_COA225";2;;"IND_CGST_6";;;100520;100520;100520;;;212330;212330;;;;;;;;;;;;;;;;;;;;
"IND_COA230";2;;"IND_CGST_9";;;100520;100520;100520;;;212330;212330;;;;;;;;;;;;;;;;;;;;
"IND_COA235";2;;"IND_CGST_14";;;100520;100520;100520;;;212330;212330;;;;;;;;;;;;;;;;;;;;
"IND_COA240";2;;"IND_SGST_2.5";;;100510;100510;100510;;;212320;212320;;;;;;;;;;;;;;;;;;;;
"IND_COA245";2;;"IND_SGST_6";;;100510;100510;100510;;;212320;212320;;;;;;;;;;;;;;;;;;;;
"IND_COA250";2;;"IND_SGST_9";;;100510;100510;100510;;;212320;212320;;;;;;;;;;;;;;;;;;;;
"IND_COA255";2;;"IND_SGST_14";;;100510;100510;100510;;;212320;212320;;;;;;;;;;;;;;;;;;;;
"IND_COA260";2;;"IND_GST_ZR";;;100590;100590;100590;;;212370;212370;;;;;;;;;;;;;;;;;;;;
"IND_COA265";2;;"IND_GST_EX";;;100590;100590;100590;;;212370;212370;;;;;;;;;;;;;;;;;;;;
"IND_COA270";2;;"IND_GST_ZR_EX";;;100590;100590;100590;;;212370;212370;;;;;;;;;;;;;;;;;;;;
"IND_COA275";2;;"IND_GST_ZR_IM";;;100590;100590;100590;;;212370;212370;;;;;;;;;;;;;;;;;;;;
"IND_COA280";2;;"SP_GST_3";;;100560;100560;100560;;;212360;212360;;;;;;;;;;;;;;;;;;;;
"IND_COA285";2;;"SP_GST_0.25";;;100560;100560;100560;;;212360;212360;;;;;;;;;;;;;;;;;;;;
"IND_COA290";2;;"IND_TDS_10";;;100580;100580;100580;;;212310;212310;;;;;;;;;;;;;;;;;;;;
"IND_COA295";2;;"IND_TDS_20";;;100580;100580;100580;;;212310;212310;;;;;;;;;;;;;;;;;;;;
"IND_COA300";3;;;;"INC_WT";;;;;;;;;100204;"BNK";6100;;;;;;5;;;;;;;;;;
"IND_COA305";3;;;;"INC_CHQ";;;;;;;;;100204;"BNK";6110;;;;;;2;;;;;;;100204;"BNK";;
"IND_COA310";3;;;;"INC_CC";;;;;;;;;100204;"BNK";6120;;;;;;24;;;;;;;;;;
"IND_COA315";3;;;;"INC_WEB";;;;;;;;;100204;"BNK";6130;;;;;;30;;;;;;;;;;
"IND_COA320";3;;;;"INC_DBT";;;;;;;;;100204;"BNK";6140;;;;;;89;;;;;;;;;;
"IND_COA325";3;;;;"INC_CSH";;;;;;;;;100101;"BNK";6150;;;;;;4;;;;;;;;;;
"IND_COA330";3;;;;"INC_OTH";;;;;;;;;100204;"BNK";6160;;;;;;16;;;;;;;;;;
"IND_COA335";3;;;;"OUT_WT";;;;;;;;;100204;"BNK";6200;;;;;;6;;;;;;;;;;
"IND_COA340";3;;;;"OUT_CHQ";;;;;;;;;100204;"BNK";6210;;;;;;1;;;;;;;;;;
"IND_COA345";3;;;;"OUT_CC";;;;;;;;;100204;"BNK";6220;;;;;;11;;;;;;;;;;
"IND_COA350";3;;;;"OUT_DBT";;;;;;;;;100204;"BNK";6230;;;;;;89;;;;;;;;;;
"IND_COA355";3;;;;"OUT_CSH";;;;;;;;;100101;"BNK";6240;;;;;;23;;;;;;;;;;
"IND_COA360";3;;;;"OUT_OTH";;;;;;;;;100204;"BNK";6260;;;;;;86;;;;;;;;;;
