"name";"roles"
"menu-team-tasks";"Base Read|Base User|Base Manager"
"menu-team-teams";"Base Read|Base User|Base Manager"
"menu-team-tasks-due";"Base Read|Base User|Base Manager"
"menu-team-tasks-todo";"Base Read|Base User|Base Manager"
"menu-team-tasks-open";"Base Read|Base User|Base Manager"
"menu-team-tasks-assigned";"Base Read|Base User|Base Manager"
"menu-team-tasks-created";"Base Read|Base User|Base Manager"
"menu-team-teams-all";"Base Read|Base User|Base Manager"
"menu-team-teams-my";"Base Read|Base User|Base Manager"
"menu-dms-all";"Base Read|Base User|Base Manager"
"menu-dms-my";"Base Read|Base User|Base Manager"
"menu-dms-config-tags";"Base Read|Base User|Base Manager"
"menu-mail-inbox";"Base Read|Base User|Base Manager"
"menu-mail-important";"Base Read|Base User|Base Manager"
"menu-mail-archive";"Base Read|Base User|Base Manager"
"menu-mail";"Base Read|Base User|Base Manager"
"menu-dms";"Base Read|Base User|Base Manager"
"menu-dms-config";"Base Read|Base User|Base Manager"
"menu-team";"Base Read|Base User|Base Manager"
"menu-admin";"Base Read|Base User|Base Manager"
"menu-auth";"Base Read|Base User|Base Manager"
"menu-auth-groups";"Base Read|Base User|Base Manager"
"menu-auth-permissions";"Base Read|Base User|Base Manager"
"menu-auth-roles";"Base Read|Base User|Base Manager"
"menu-auth-users";"Base Read|Base User|Base Manager"
"menu-custom-fields";"Base Read|Base User|Base Manager"
"menu-custom-models";"Base Read|Base User|Base Manager"
"menu-help-management";"Base Read|Base User|Base Manager"
"menu-job-all";"Base Read|Base User|Base Manager"
"menu-job-management";"Base Read|Base User|Base Manager"
"menu-meta-model";"Base Read|Base User|Base Manager"
"menu-meta-module";"Base Read|Base User|Base Manager"
"menu-model";"Base Read|Base User|Base Manager"
"menu-module-management";"Base Read|Base User|Base Manager"
"menu-view-action-menus";"Base Read|Base User|Base Manager"
"menu-view-actions";"Base Read|Base User|Base Manager"
"menu-view-all";"Base Read|Base User|Base Manager"
"menu-view-charts";"Base Read|Base User|Base Manager"
"menu-view-help-menus";"Base Read|Base User|Base Manager"
"menu-view-help-views";"Base Read|Base User|Base Manager"
"menu-view-management";"Base Read|Base User|Base Manager"
"menu-view-menus";"Base Read|Base User|Base Manager"
"menu-view-my";"Base Read|Base User|Base Manager"
"menu-view-selects";"Base Read|Base User|Base Manager"
"menu-view-translations";"Base Read|Base User|Base Manager"
"admin-root-general";"Base Read|Base User|Base Manager"
"admin-root-general-unit";"Base Read|Base User|Base Manager"
"admin-root-general-currency";"Base Read|Base User|Base Manager"
"admin-root-general-unit-conversion";"Base Read|Base User|Base Manager"
"admin-root-general-year";"Base Read|Base User|Base Manager"
"admin-root-general-sequence-generic";"Base Read|Base User|Base Manager"
"admin-root-general-barcode";"Base Read|Base User|Base Manager"
"admin-root-general-language";"Base Read|Base User|Base Manager"
"admin-root-organisation-territory";"Base Read|Base User|Base Manager"
"admin-root-batch-mail";"Base Read|Base User|Base Manager"
"admin-root-maintenance-trace-back";"Base Read|Base User|Base Manager"
"admin-root-import";"Base Read|Base User|Base Manager"
"admin-root-indicator-generator-grouping";"Base Read|Base User|Base Manager"
"admin-root-indicator-generator";"Base Read|Base User|Base Manager"
"admin-root-calendars";"Base Read|Base User|Base Manager"
"admin-root-calendars-icalendars";"Base Read|Base User|Base Manager"
"admin-root-calendars-ievents";"Base Read|Base User|Base Manager"
"admin-root-calendars-config";"Base Read|Base User|Base Manager"
"admin-root-organisation";"Base Read|Base User|Base Manager"
"admin-root-organisation-territory-city";"Base Read|Base User|Base Manager"
"admin-root-organisation-territory-department";"Base Read|Base User|Base Manager"
"admin-root-organisation-region";"Base Read|Base User|Base Manager"
"admin-root-organisation-country";"Base Read|Base User|Base Manager"
"admin-root-organisation-territory-canton";"Base Read|Base User|Base Manager"
"admin-root-user";"Base Read|Base User|Base Manager"
"admin-root-user-user";"Base Read|Base User|Base Manager"
"admin-root-user-company";"Base Read|Base User|Base Manager"
"admin-root-user-configuration";"Base Read|Base User|Base Manager"
"admin-root-batch";"Base Read|Base User|Base Manager"
"admin-root-batch-dashboard";"Base Read|Base User|Base Manager"
"admin-root-batch-base";"Base Read|Base User|Base Manager"
"mail-conf";"Base Read|Base User|Base Manager"
"mail-conf-pdf-templates";"Base Read|Base User|Base Manager"
"company-department-all";"Base Read|Base User|Base Manager"
"menu-advanced-export";"Base Read|Base User|Base Manager"
"product-root-product";"Base Read|Base User|Base Manager"
"product-root-product-model";"Base Read|Base User|Base Manager"
"product-root-service";"Base Read|Base User|Base Manager"
"referential-conf";"Base Read|Base User|Base Manager"
"referential-conf-address";"Base Read|Base User|Base Manager"
"referential-conf-industry-sector-config";"Base Read|Base User|Base Manager"
"referential-conf-invoice-bank";"Base Read|Base User|Base Manager"
"referential-conf-invoice-rib";"Base Read|Base User|Base Manager"
"referential-conf-partner-category";"Base Read|Base User|Base Manager"
"referential-conf-partner-sources";"Base Read|Base User|Base Manager"
"referential-conf-product-category";"Base Read|Base User|Base Manager"
"referential-conf-product-family";"Base Read|Base User|Base Manager"
"referential-conf-product-variant-attr";"Base Read|Base User|Base Manager"
"referential-conf-stop-reason";"Base Read|Base User|Base Manager"
"referential-report";"Base Read|Base User|Base Manager"
"referential-report-dashboards-customers";"Base Read|Base User|Base Manager"
"referential-report-maps";"Base Read|Base User|Base Manager"
