"importId";"technicalName";"name"
"1";"stock_menu_product";"Produit"
"2";"stock_menu_stock_correction";"Correction de stock"
"3";"stock_menu_internal_move";"Mouvement interne"
"4";"stock_menu_customer_delivery";"Livraison client"
"5";"stock_menu_supplier_arrival";"Réception fournisseur"
"6";"stock_menu_inventory";"Inventaire"
"7";"manufacturing_menu_manufacturing_order";"Ordre de fabrication"
"8";"manufacturing_menu_operation_order";"Opération de fabrication"
"9";"manufacturing_menu_operation_order_planning";"Opérations planifiées"
"10";"crm_menu_lead";"Piste"
"11";"crm_menu_prospect";"Prospect"
"12";"crm_menu_opportunity";"Opportunité"
"13";"crm_menu_client";"Client"
"14";"crm_menu_contact";"Contact"
"15";"crm_menu_catalog";"Catalogue"
"16";"crm_menu_event";"Événement"
"17";"helpdesk_menu_createTicket";"Créer un ticket"
"18";"helpdesk_menu_myTickets";"Mes tickets"
"19";"helpdesk_menu_myTeamTickets";"Les tickets de mon équipe"
"20";"hr_menu_expenses";"Notes de frais"
"21";"hr_menu_expenseLines";"Frais"
"22";"hr_menu_activeTimer";"Chronomètre actif"
"23";"hr_menu_timesheets";"Feuilles de temps"
"24";"hr_menu_timers";"Chronomètres"
