"importId";"operationDate";"origin";"description";"bankStatement_importId";"reference";"bankDetails_importId";"commissionExemptionIndexSelect";"unavailabilityIndexSelect";"operationInterbankCodeLine_importId";"currency_code";"credit";"debit";"lineTypeSelect";"amountRemainToReconcile";"valueDate";"sequence"
1;"TODAY[-2d]";;;"1";;"90000";"0";"0";;"EUR";"268597.01";"0.00";"1";"0.00";;"0"
2;"TODAY[-1d]";"4006571";"CHEQUE N.4006571";"1";;"90000";"0";"0";"1";"EUR";"0.00";"259.20";"2";"259.20";"TODAY[-2d]";"1"
3;"TODAY[-1d]";"4006572";"CHEQUE N.4006572";"1";;"90000";"0";"0";"1";"EUR";"0.00";"282.60";"2";"282.60";"TODAY[-2d]";"2"
4;"TODAY[-1d]";"0000000";"123 SERVICES
NREF 8736, VREF SO0004
FC200001";"1";;"90000";"0";"0";"16";"EUR";"34882.47";"0.00";"2";"34882.47";"TODAY[-1d]";"3"
5;"TODAY[-1d]";;;"1";;"90000";"0";"0";;"EUR";"202937.68";"0.00";"3";"0.00";;"4"
6;"TODAY[-1d]";;;"1";;"90000";"0";"0";;"EUR";"202937.68";"0.00";"1";"0.00";;"5"
7;"TODAY";"4006578";"CHEQUE N.4001234";"1";;"90000";"0";"0";"1";"EUR";"0.00";"147.33";"2";"147.33";"TODAY[-1d]";"6"
8;"TODAY";"4006581";"CHEQUE N.4001235";"1";;"90000";"0";"0";"1";"EUR";"0.00";"1573.90";"2";"1573.90";"TODAY[-1d]";"7"
9;"TODAY";;"PRLV SEPA/MOBILE PHONE
ERRRTEL
FR14ZZZ012345
MOBENT - P - FACTURE  2456525 - COMPTE FACT  2456528 - IDENT  1800054
08450414570000543921               RCUR";"1";"2456525";"90000";"0";"0";"95";"EUR";"0.00";"213.38";"2";"213.38";"TODAY";"8"
10;"TODAY";;"VIREMENT T0008
FACTURE INV0005";"1";"INV0005";"90000";"0";"0";"95";"EUR";"0.00";"522.72";"2";"522.72";"TODAY";"9"
11;"TODAY";;"PAIEMENT CB FACTURE INV0002";"1";"INV0002";"90000";"0";"0";"95";"EUR";"0.00";"6119.40";"2";"6119.40";"TODAY";"10"
12;"TODAY";;;"1";;"90000";"0";"0";;"EUR";"294360.95";"0.00";"3";"0.00";;"11"
