"importId";"code";"name";"company.importId";"branch.importId"
"1";"HOM1";"Choc ou maladresse";"1";"2"
"2";"MIL1";"Défaut de température/humidité";"1";"5"
"3";"MAT1";"Défaut matière";"1";"1"
"4";"MOY1";"Défaut outillage";"1";"3"
"5";"MET1";"Erreur de programmation";"1";"4"
"6";"HOM4";"Erreur humaine";"1";"2"
"7";"MET2";"Erreur industrialisation";"1";"4"
"8";"STK";"FIFO non respecté";"1";"1"
"9";"MAN1";"Information FAI manquante";"1";"6"
"10";"MAI";"Maintenance préventive non réalisée";"1";"8"
"11";"HOM2";"Manque formation";"1";"2"
"12";"MOY3";"Mauvais étalonnage";"1";"3"
"13";"MOF";"Non remplacement matériel";"1";"7"
"14";"HOM3";"Non respect des consignes";"1";"2"
"15";"MOY2";"Panne";"1";"3"
"16";"MAT2";"Qualification matière";"1";"1"
"17";"MAT3";"Traitement de surface";"1";"1"
