scheduleLine.importId;daySelect;startPeriod1;endPeriod1;startPeriod2;endPeriod2
1;1;09:00;12:00;13:00;18:00
1;2;09:00;12:00;13:00;18:00
1;3;09:00;12:00;13:00;18:00
1;4;09:00;12:00;13:00;18:00
1;5;09:00;12:00;13:00;17:00
2;1;09:00;12:00;13:00;17:30
2;2;09:00;12:00;13:00;17:30
2;3;09:00;12:00;13:00;17:30
2;4;09:00;12:00;13:00;17:30
2;5;09:00;12:00;13:00;17:00
3;1;09:00;12:00;13:00;17:00
3;2;09:00;12:00;13:00;17:00
3;3;09:00;12:00;13:00;17:00
3;4;09:00;12:00;13:00;17:00
3;5;09:00;12:00;13:00;17:00
