"importId";"keyWord";"typeSelect"
"1";"Access";1
"2";"Achats";1
"3";"Administration réseau";1
"4";"Administration système";1
"5";"ANSYS";1
"6";"ASP.NET";1
"7";"Asterisk";1
"8";"AUTOCAD";1
"9";"Axelor Platform";1
"10";"Business Intelligence";1
"11";"C";1
"12";"C++";1
"13";"CATIA";1
"14";"CMMI";1
"15";"COBOL";1
"16";"Commerce International";1
"17";"Communication";1
"18";"Comptabilité";1
"19";"Contrôle qualité";1
"20";"DELMIA";1
"21";"Delphi";1
"22";"Droit des affaires";1
"23";"Eagle";1
"24";"Electronique";1
"25";"ERP/CRM";1
"26";"Flash";1
"27";"Fortran";1
"28";"GANTT Project";1
"29";"Groovy";1
"30";"HQSE";1
"31";"Hyperlynx";1
"32";"InCa3D";1
"33";"INVENTOR";1
"34";"ISO 14001";1
"35";"ISO 9001";1
"36";"Java";1
"37";"Javascript";1
"38";"JPQL";1
"39";"JSP";1
"40";"Kanban";1
"41";"KiCas";1
"42";"LabVIEW";1
"43";"Linux";1
"44";"Maple";1
"45";"Marketing";1
"46";"MATLAB";1
"47";"Maxwell";1
"48";"Maya";1
"49";"Merise";1
"50";"Microsoft Office";1
"51";"Microsoft Project";1
"52";"Moulage";1
"53";"MySQL";1
"54";"Négociation";1
"55";"NoSQL";1
"56";"Objective-C";1
"57";"OpenOffice";1
"58";"Oracle";1
"59";"Photoshop";1
"60";"PHP";1
"61";"Planication ressources";1
"62";"PostgreSQL";1
"63";"ProEngineer";1
"64";"Proteus";1
"65";"Python";1
"66";"Rédaction spécifications";1
"67";"Ressources Humaines";1
"68";"Ruby";1
"69";"Scala";1
"70";"Scilab";1
"71";"Shell";1
"72";"SolidEdge";1
"73";"SOLIDWORKS";1
"74";"Soudage";1
"75";"SQL";1
"76";"Management d'Equipes";1
"77";"TopSolid";1
"78";"UML";1
"79";"Usinage";1
"80";"VHDL";1
"81";"Ventes B2B";1
"82";"Ventes B2C";1
"83";"VisualBasic";1
"84";"Windows";1
"85";"Aéronautique";2
"86";"Agro-alimentaire";2
"87";"Automobile";2
"88";"Autres industries";2
"89";"Banque et assurance";2
"90";"Défense";2
"91";"Energie";2
"92";"Pharmacie et Medical";2
"93";"Secteur publiques et administrations";2
"94";"Services";2
"95";"Administrateur réseau";3
"96";"Administrateur système";3
"97";"Agent de contrôle qualité";3
"98";"Agent de fabrication";3
"99";"Agent de production";3
"100";"Agent d'ordonnancement";3
"101";"Assistant commercial";3
"102";"Assistante de Direction";3
"103";"Chargé d'affaires";3
"104";"Chef de département";3
"105";"Chef de produit";3
"106";"Chef de programme";3
"107";"Chef de projet";3
"108";"Chef de service";3
"109";"Commercial";3
"110";"Consultant";3
"111";"Designer";3
"112";"Dessinateur-Projeteur";3
"113";"Directeur Achat";3
"114";"Directeur Administratif et financier";3
"115";"Directeur commercial";3
"116";"Directeur Communication";3
"117";"Directeur de projet";3
"118";"Directeur d'usine";3
"119";"Directeur Général";3
"120";"Directeur Marketing";3
"121";"Directeur Qualité";3
"122";"Directeur R&D";3
"123";"Electro-technicien";3
"124";"Formateur certifié";3
"125";"Ingénieur d'Etudes";3
"126";"Ingénieur généraliste";3
"127";"Ingénieur mécanicien";3
"128";"Ingénieur R&D";3
"129";"Opérateur";3
"130";"Qualiticien";3
"131";"Technicien";3
"132";"Technicien Hotline";3
"133";"Technicien Electronicien";3
"134";"Technicien en automatismes";3
"135";"Technicien maintenance";3
"136";"Technicien SAV";3
"137";"Technico-commercial";3
"138";"VRP";3
"139";"Directeur Ressources Humaines";3
