"inventory.inventorySeq";"product.importId";"currentQty";"realQty";"description";"productVariant_importId";"trackingNumber_importId"
"INV0001";111;"0.00";"25.00";;;
"INV0001";110;"0.00";"35.00";;;
"INV0001";120;"0.00";"40.00";;;
"INV0001";121;"0.00";"20.00";;;
"INV0001";130;"0.00";"15.00";;;
"INV0001";131;"0.00";"10.00";;;
"INV0001";200;"0.00";"10.00";;;
"INV0001";201;"0.00";"5.00";;;
"INV0001";210;"0.00";"8.00";;;
"INV0001";211;"0.00";"7.00";;;
"INV0001";220;"0.00";"30.00";;;
"INV0001";230;"0.00";"26.00";;;
"INV0001";231;"0.00";"19.00";;;
"INV0001";240;"0.00";"13.00";;;
"INV0001";241;"0.00";"9.00";;;
"INV0001";250;"0.00";"13.00";;;
"INV0001";300;"0.00";"50.00";;;
"INV0001";301;"0.00";"50.00";;;
"INV0001";302;"0.00";"60.00";;;
"INV0001";303;"0.00";"40.00";;;
"INV0001";304;"0.00";"19.00";;;
"INV0001";305;"0.00";"7.00";;;
"INV0001";306;"0.00";"10.00";;;
"INV0001";307;"0.00";"20.00";;;
