"importId";"code";"name";"type.importId";"excessPaymentOk";"editReceiptOk";"descriptionModel";"descriptionIdentificationOk";"notExportOk";"exportCode";"inactiveOk"
1;"VTE";"Ventes";1;"false";"false";"Facture client";"true";"false";;"false"
2;"AVR";"Avoirs";2;"false";"false";"Avoir client";"true";"false";;"false"
3;"ACH";"Achats";4;"false";"false";"Facture fournisseur";"true";"false";;"false"
4;"AVRF";"Avoirs achats";2;"false";"false";"Avoir fournisseur ";"true";"false";;"false"
5;"ENC_ESP";"Encaissement en espèces";3;"false";"true";"Encaissement ";"true";"false";;"false"
6;"ENC_CHQ";"Encaissement par chèque";3;"true";"false";"Encaissement ";"true";"false";;"false"
7;"ENC_CB";"Encaissement par CB";3;"false";"false";"Encaissement ";"true";"false";;"false"
8;"ENC_WEB";"Encaissement par internet";3;"false";"false";"Encaissement ";"true";"false";;"false"
9;"ENC_TIP";"Encaissement par TIP";3;"true";"false";"Encaissement ";"true";"false";;"false"
10;"ENC_TEC";"Encaissement par TIP + chèques";3;"true";"false";"Encaissement ";"true";"false";;"false"
11;"ENC_VIR";"Encaissement par virement";3;"true";"false";"Encaissement ";"true";"false";;"false"
12;"ENC_PRE";"Encaissement par prélèvement";3;"false";"false";"Encaissement ";"true";"false";;"false"
13;"ENC_OTH";"Encaissement autres";3;"false";"false";"Encaissement ";"true";"false";;"false"
14;"RBT_CLT";"Remboursement client EUR";3;"false";"false";"Remboursement ";"true";"false";;"false"
15;"DEC_ESP";"Décaissement en espèces";3;"true";"true";"Décaissement ";"true";"false";;"false"
16;"DEC_CHQ";"Décaissement par chèque";3;"true";"false";"Décaissement ";"true";"false";;"false"
17;"DEC_CB";"Décaissement par CB";3;"true";"false";"Décaissement ";"true";"false";;"false"
18;"DEC_TIP";"Décaissement par TIP";3;"true";"false";"Décaissement ";"true";"false";;"false"
19;"DEC_VIR";"Décaissement par virement";3;"true";"false";"Décaissement ";"true";"false";;"false"
20;"DEC_PRE";"Décaissement par prélèvement";3;"true";"false";"Décaissement ";"true";"false";;"false"
21;"DEC_OTH";"Décaissement autres";3;"true";"false";"Décaissement ";"true";"false";;"false"
22;"APU_TP";"Apurements des trop perçus";3;"true";"false";;"false";"false";;"false"
23;"OD_AUTO";"O.D. automatique sur facturation ou règlement";3;"false";"false";;"false";"false";;"false"
24;"OD_MAN";"O.D. manuelles";3;"false";"false";;"false";"false";;"false"
25;"REJ_BNQ";"Rejet opérations bancaires";3;"false";"false";"Rejet ";"true";"false";;"false"
26;"ECHMENSU";"Echéances de mensualisation";3;"false";"false";"Echéance ";"true";"false";;"false"
27;"TECH";"Technique";5;"false";"false";;"false";"true";;"false"
28;"IRRECOUV";"Irrécouvrables";4;"false";"false";;"false";"false";;"false"
29;"NDF";"Notes de frais";4;"false";"false";"NDF ";"true";"false";;"false"
