"name";"metaModel.name";"target";"birtTemplate";"filePath";"isDefault";"templateContext";"subject";"content";"toRecipients";"ccRecipients";"bccRecipients"
"Confirmation coordonnées";"Partner";;;;"true";;"Mise à jour de vos coordonnées";"<p>Madame, Monsieur,<br/>
Nous sommes actuellement en phase de mise à jour de notre répertoire de contacts.<br/> 
A ce jour voici les informations dont nous disposons : </p>
 
<p>Téléphone fixe : $Partner.fixedPhone$<br/>
Mobile : $Partner.mobilePhone$<br/>
Fax : $Partner.fax$<br/>
Email : $Partner.emailAddress.address$<br/>
Adresse : <br/>
$Partner.mainInvoicingAddress.fullName$<br/></p>

<p>Si parmi les coordonnées ci-dessus, certaines sont erronées ou manquantes, merci de nous le faire savoir en répondant directement à cet email.</p>

<p>Cordialement<br/>
L'équipe Axelor</p>
";"$Partner.emailAddress.address$";;
"Envoi Devis Client";"SalesOrder";;;;"true";;"Votre Devis N° $SalesOrder.salesOrderSeq$";"<p>Bonjour,</p> 

<p>Suite à nos précédents échanges, je vous prie de bien vouloir trouver ci-joint le devis $SalesOrder.salesOrderSeq$.</p>

<p>Je reste à votre disposition pour des informations complémentaires sur ce devis.</p>
";"$SalesOrder.clientPartner.emailAddress.address$";;
"Envoi BL Client";"StockMove";;;;"true";;"Commande $StockMove.SalesOrder.SalesOrderSeq$ expédiée";"<p>Bonjour,</p>

<p>Nous tenons à vous informer que votre commande $StockMove.salesOrder.salesOrderSeq$ a été expédiée.<br/>
Vous trouverez en pièce jointe le Bon de Livraison associé. Si des articles sont manquants, le reste de votre commande sera expédiée dans les prochains jours.</p>";"$StockMove.partner.emailAddress.address$";;
"Réception BL Fournisseur";"StockMove";;;;"false";;"Commande $StockMove.PurchaseOrder.PurchaseOrderSeq$ expédiée";"<p>Bonjour,</p>

<p>Nous avons bien reçu notre commande $StockMove.purchaseOrder.purchaseOrderSeq$ (votre Référence $StockMove.purchaseOrder.externalReference$).<br/>
Toutefois, la commande reçu est incomplète comme vous pourrez le constater.<br/>
Merci de nous faire parvenir le complément de commande le plus rapidement possible.</p>
";"$StockMove.partner.emailAddress.address$";;
"Facture Client";"Invoice";;;;"true";;"Votre facture N° $Invoice";"<p>Bonjour,</p>

<p>Vous trouverez ci-joint la facture N° $Facture.invoiceId.</p>

<p>Nous vous remercions pour votre fidélité et nous espérons que vous avez été pleinement satisfait.</p>

<p>En espérant que vous nous renouvellerez votre confiance, </p>

";;;
"Demande de prix";"PurchaseOrder";;;;"true";;"Demande de cotation N° $PurchaseOrder.PurchaseOrderSeq$";"<p>Bonjour, </p>

<p>Vous trouverez ci-joint notre demande de cotation N° $PurchaseOrder.PurchaseOrderSeq$.</p>

<p>Merci de nous indiquer pour chaque produit le délai de livraison et les conditions de paiements.</p>
";;;
"Contact details confirmation";"Partner";;;;"true";;"Contact details update";"<p>Dear &Partner.firstName$,<br/>
We are currently proceeding to an update of  our contact database. Can you please confirm the following information about you are up to date :  </p>
 
<p>Fixed phone : $Partner.fixedPhone$<br/>
Mobile : $Partner.mobilePhone$<br/>
Fax : $Partner.fax$<br/>
Email : $Partner.emailAddress.address$<br/>
Address : <br/>
$Partner.mainInvoicingAddress.fullName$</p>

<p>If among those information upwards, some are biased, please do inform us by reply thie email.</p>

<p>Best regards<br/>
Axelor Team</p>";;;
"Sale order";"SalesOrder";;;;"true";;"Quote N° $SalesOrder.salesOrderSeq$";"<p>Good morning,</p> 

<p>Following our conversations, please find attached our quote $SalesOrder.salesOrderSeq$.</p>

<p>Please do not hesitate to contact me for any further explanation regarding the quote.</p>

<p>Best regards<br/>
$SalesOrder.userInfo.partner.firstName$ $SalesOrder.userInfo.partner.name$</p>
";;;
"Delivery Order";"StockMove";;;;"true";;"Order $StockMove.SalesOrder.SalesOrderSeq$ shipped";"<p>Good morning,</p>

<p>We are pleased to inform you that your order $StockMove.salesOrder.salesOrderSeq$ has been shipped.<br/>
Please find attached to this mail the delivery order associated. If goods are missing, the remaining goods will be shipped in the next coming days.</p>

<p>Best regards<br/>
Axelor Team</p>";;;
"Goods Reception Slip";"StockMove";;;;"false";;"Order $StockMove.PurchaseOrder.PurchaseOrderSeq$ received";"<p>Good morning,</p>

<p>We confirm the reception of our order $StockMove.purchaseOrder.purchaseOrderSeq$ (your reference $StockMove.purchaseOrder.externalReference$).<br/>
However, as per the attached receipt slip, the order is incomplete.<br/>
Please let us know when you estimate to deliver the remaining goods.</p>

<p>Best regards<br/>
Axelor Team</p>";;;
"Customer Invoice";"Invoice";;;;"true";;"Invoice N° $Invoice.invoiceId";"<p>Good morning,</p> 

<p>Please find attached the invoice N° $Invoice.invoiceId.</p>

<p>We are glad to count you as one of our customers and we hope you have been completely satisfied with our products and services.</p>

<p>Best regards<br/>
Axelor Team</p>";;;
"Price inquiry";"PurchaseOrder";;;;"true";;"Request for quotation N° $PurchaseOrder.PurchaseOrderSeq$";"<p>Good morning,</p>

<p>Please find attached our request for quotation N° $PurchaseOrder.PurchaseOrderSeq$.</p>

<p>Can you please indicate to us for each product the expected delivery date and if some products are subjected to special discounts.</p>

<p>Best regards<br/>
$PurchaseOrder.buyerUserInfo.partner.firstName$ $PurchaseOrder.buyerUserInfo.partner.name$</p>
";;;
