"importId";"salesOrderSeq";"externalReference";"invoicingTypeSelect";"clientPartner.importId";"contactPartner.importId";"mainInvoicingAddress.importId";"deliveryAddress.importId";"salesmanUserInfo.importId";"team.importId";"paymentMode.importId";"paymentCondition.importId";"currency.code";"creationDate";"statusSelect";"company.importId";"location.id";"validatedByUserInfo.importId";"validationDate";"shipmentDate"
1;"VTE00001";"8736";1;88;89;590;590;9;1;6;2;"EUR";"TODAY[-5M]";3;1;1;9;"TODAY[-5M+7d]";
2;"VTE00002";"CF_1342";4;20;21;62;62;11;2;8;6;"EUR";"TODAY[-4M]";3;1;1;11;"TODAY[-4M+7d]";
3;"VTE00003";"F-2549";1;44;45;13002;13002;11;2;8;6;"EUR";"TODAY[-3M]";3;1;1;11;"TODAY[-3M+14d]";
4;"VTE00004";"CF_2014_032";4;132;133;940;940;8;3;6;2;"EUR";"TODAY[-2M]";3;1;1;12;"TODAY[-2M+14d]";
5;"VTE00005";"2014-134";1;77;79;330;330;12;2;8;2;"EUR";"TODAY[-1M-15d]";3;1;1;12;"TODAY[-1M]";
6;"VTE00006";"CF-2014-342";1;88;89;590;590;9;1;6;2;"EUR";"TODAY[-1M-7d]";2;1;1;;;
7;"VTE00007";"PO001236";1;205;206;3002;3002;13;3;8;5;"EUR";"TODAY[-1M]";3;1;1;8;"TODAY[-1M+7d]";
8;"VTE00008";;1;132;133;940;940;8;3;6;2;"EUR";"TODAY[-14d]";2;1;1;;;
9;"VTE00009";;1;136;139;950;950;8;3;6;2;"EUR";"TODAY[-7d]";2;1;1;;;
10;"VTE00010";;4;1012;;671;671;9;1;4;2;"EUR";"TODAY[-7d]";3;1;1;9;"TODAY[-6d]";
11;"VTE00011";;4;224;225;10010;10010;13;3;8;5;"EUR";"TODAY";1;1;1;;;
