"product.importId";"supplierPartner.importId";"productSupplierName";"productSupplierCode";"price";"updateDate";"description";"minQty"
120;148;"InkJet Printer PRINTO";"IP-PRINTQ";"279.65";"2013-02-01";;5
120;170;"PRINTO Inkjet";6541241;"293.6325";"2013-03-15";;1
121;148;"Laser Printer PROPRINT";"LP-PROPRINT";"343.2";"2013-02-01";;5
121;170;"PROPRINT Laser";6543248;"370.656";"2013-03-15";;1
130;170;"LED Screen HD 22 Inch ProViz";7545678;156;"2013-03-15";;1
131;170;"LED Screen HD 24 Inch ProViz";7545680;"197.5";"2013-03-15";;1
200;148;"HDD HARDSHARK 1 To ";"HD-HSHARK1T";45;"2013-02-01";;5
200;170;"HARDSHARK SATA 1 To ";7458764;"47.7";"2013-03-15";;1
201;148;"HDD SSDSHARK 100 Go ";"HD-SSHARK100G";"57.6";"2013-02-01";;5
201;170;"SSDSHARK 100 Go ";7458897;"62.208";"2013-03-15";;1
210;152;"Processor 4x3,4 GHz POWER4CORE";"PROC-651245";"133.2";"2013-04-20";;1
211;152;"Processor 6x3,2 GHz POWER6CORE";"PROC-651257";432;"2013-04-20";;1
220;148;"Rack Casing";"CS-RACK";"58.8";"2013-02-01";;5
230;170;"RAMTOP 8 Go DDR3 ";8000024;"59.2";"2013-03-15";;1
231;170;"RAMEXTRA 16 Go DDR3 ";8000026;"121.6";"2013-03-15";;1
240;152;"Classic MotherBoard";"MOTH-45678C";114;"2013-04-20";;5
241;152;"High Performance MotherBoard";"MOTH-45678HP";195;"2013-04-20";;1
250;152;"Power Supply ";"POWS-21471S";"30.4";"2013-04-20";;5
300;70;"Set connectique serveur";"C.ER0142";16;"2013-06-01";;10
301;70;"Set visserie serveur";"C.RM4571";"2.8";"2013-06-01";;10
302;70;"Cartouche jet d'encre FLUID";"C.MH0100";21;"2013-06-01";;20
303;70;"Cartouche encre laser POWDER";"C.TH0850";54;"2013-06-01";;20
304;70;"Ramette 500 Feuilles A4 Standard 80 g";"P.AS8005";"4.9629";"2013-06-01";;100
305;70;"Stylos billes medium (Bte 50)";"F.SM74851";12;"2013-06-01";;10
306;70;"Café moulu 250g";"A.CF0005";"2.43";"2013-06-01";;5
307;70;"Bouteille Eau (1,5L)";"A.BE0002";"0.675";"2013-06-01";;6
