"importId";"internalUser.code";"companySet.importId";"activeCompany.id";"partner.importId";"activeCashRegister.id";"teamSet.importId";"employee.importId";"activeTeam.id"
1;"admin";"1";1;90000;1;;;4
2;"demo";"1";1;90000;1;;;4
3;"dirg";"1";1;90001;1;;1;4
4;"assist";"1";1;90002;1;;2;4
5;"dirpro";"1";1;90003;1;;3;4
6;"chefpro";"1";1;90004;1;;4;4
7;"consultant";"1";1;90005;1;;5;4
8;"demoerp";"1";1;90006;1;;6;3
9;"democrm";"1";1;90007;2;;7;1
10;"comn";"1";1;90008;4;;8;1
11;"coms1";"1";1;90009;3;;9;2
12;"coms2";"1";1;90010;5;;10;2
13;"comi";"1";1;90011;1;;11;3
14;"achat";"1";1;90012;1;;12;4
15;"prod";"1";1;90013;1;;13;4
16;"dirsupp";"1";1;90014;1;;14;4
17;"supp1";"1";1;90015;1;;15;4
18;"supp2";"1";1;90016;1;;16;4
19;"dirrh";"1";1;90017;1;;17;4
20;"compta";"1";1;90018;1;;18;4
21;"client";"1";1;88;1;;;
22;"fournisseur";"1";1;148;1;;;
