"name";"location.importId";"product.importId";"minQty";"reOrderQty";"typeSelect";"orderAlertSelect"
"Serveur classique";1;110;5;15;1;3
"Serveur haute performance";1;111;1;5;1;3
"Imprimante Jet d'encre";1;120;10;20;1;2
"Imprimante Laser";1;121;5;15;1;2
"Ecran LED HD 22 pouces";1;130;3;9;1;2
"Ecran LED HD 24 pouces";1;131;5;15;1;2
"Disque dur SATA 1To";1;200;10;30;1;2
"Disque dur SSD 100 Go";1;201;5;20;1;2
"Processeur 4x3,4 GHz";1;210;10;20;1;2
"Processeur 6x3,2 GHz";1;211;5;15;1;2
"Boîtier Rack";1;220;25;60;1;2
"Mémoire 8 Go DDR3";1;230;10;30;1;2
"Mémoire 16 Go DDR3";1;231;5;15;1;2
"Carte mère classique";1;240;10;30;1;2
"Carte mère haut de gamme";1;241;5;15;1;2
"Alimentation";1;250;30;60;1;2
"Set connectique";1;300;40;100;1;1
"Set visserie";1;301;40;100;1;1
"Cartouche jet d'encre";1;302;20;80;1;2
"Cartouche encre laser";1;303;20;80;1;2
"Ramette 500 Feuilles A4 Standard 80 g";1;304;10;50;1;2
"Stylos billes medium (Bte 50)";1;305;2;20;1;1
"Café moulu 250g";1;306;4;30;1;1
"Bouteille Eau (1,5L)";1;307;12;48;1;1
